,Abrangência/ Cobertura,Assunto/ palavras-chave,Descrição,Identifier,Título
33,"Goiás, Goiás (GO)
","Obras
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Setor Santana||Rua Direita do Palácio||Agência do Banco do Estado de Goiás (BEG)||Agência Bancária ITAÚ||textual
","92 folhas textuais; 12 plantas.
||Documentação abrangendo o período de 1988 - 2013.
",,"Imóvel à Rua Moretti Foggia, nº 04"
34,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||Requerimento||textual
","02 folhas textuais.
||Documentação abrangendo o período de 2003 - 2009 .
",,"Imóvel à Rua Coronel Santa Cruz, s/n (11)"
35,"Goiás, Goiás (GO)
","Obras
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Rua Bartolomeu Bueno||Intervenção||textual
","10 folhas textuais.
||Documentação abrangendo o período de 2002 - 2012, mormente requerimento para intervenção e relatórios de fiscalização.
",,"Imóvel à Rua da Cambaúba, n° 09"
36,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Rua do Fórum||Rua Coronel Luiz Guedes Amorim||textual
","04 folhas textuais (com 01 croqui de fachada frontal).
||Parecer técnico.
",,"Imóvel à Rua Monsenhor Azevedo, n° 09"
37,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara||textual
","01 folha textual.
||Documentação referente ao ano de 2011.
",,"Imóvel à Rua Hugo Ramos, nº 25"
38,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 01 foto.
||Documentação abrangendo o período de 1996 -1997.
",,"Imóvel à Rua da Carioca, n° 4 A"
39,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Notificação||Rua do Ouvidor||textual
","03 folhas textuais.
||Documentação abrangendo o período de 1999 - 2006.
",,"Imóvel à Rua Senador Eugênio Jardim, nº 20"
40,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","09 folhas textuais; 02 plantas.
||Documentação abrangendo o período de 2002 - 2004.
",,"Imóvel à Rua Santa Bárbara, Quadra A, Lote 05"
41,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","07 folhas textuais.
||Fichas do Cadastro de Bens Culturais Imóveis e parecer.
",,"Imóvel à Rua Santa Bárbara, n° 76"
42,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","06 folhas textuais.
||Documentação abrangendo o período de 2009 - 2011.
",,"Imóvel à Rua Santa Bárbara, s/n (5)"
43,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Notificação||Rua Corumbá||textual
","10 folhas textuais.
||Documentação abrangendo o período de 2002 - 2014.
",,"Imóvel à Rua Maximiano Mendes, nº 17"
44,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||textual
","06 folhas textuais.
||Documentação referente ao ano de 2014.
",,"Imóvel à Rua Maximiano Mendes, nº 22"
45,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","02 folhas textuais; 01  fotografia; 01 planta.
||Requerimento e parecer.
",,"Imóvel à Rua Santa Bárbara, Quadra 02, Lote 04"
46,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||Rua Couto Magalhães||textual
","04 folhas textuais.
||Documentação referente ao ano de 2006.
",,"Imóvel à Rua Maximiano Mendes, s/n (04)"
