,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Fonte,Identifier,Título
60,Brasil > Goiás,Interiores > Acessório de Interiores (Acessório de Leito)||05 Interiores > 05.1 Acessório de Interiores||Acervo Museológico,Não identificado,30/07/1983||Século XX,"Colchão de capim, com fundo marrom escuro, com estamparias florais nas cores, bege e amarelo claro.",Célia Maria Corsino,05.01.05||83.115/030.294,Colchão||Colchão
61,Não identificado,Interiores > Peça de Mobiliário (fragmento)||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Religioso,Não identificado,1983||Não identificada,"Peça em madeira almofadada ao centro, em duas camadas, uma em faixa mais estreita, arredondada e plana ao centro e a outra circulada por faixa plana com bordas arredondadas. Do lado direito duas marcas onde se prendem as dobradiças. Ao centro do lado esquerdo o local do trinco, possuindo um espelho amarelado. Na parte posterior está esculpida uma cruz e o trinco em ferro.",Não identificada,05.05.51||83.118/030.297,Porta de Oratório||Porta de Oratório
62,Não identificado,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico||Navegação,Não identificado,06/10/1983||Século XIX,"Lampião do Vapor Colombo, em forma de cone, hexagonal, armação metálica com a base superior e inferior arrematados com frisos perfurados, tendo 02 arcos em sentido horizontal e outro em sentido vertical, que serve de sustentação para o corpo da peça. Interior de vidro com haste de metal, reforçando o encontro com 06 lados. Superfície da base superior em forma de cone entrecortado, onde está fixado a alça também metálica. Dois lados móveis servindo de abertura, que são fechados por um aro de metal. No interior, fixado na base inferior, um porta vela de metal.",João Ferreira da Silva,05.04.14||83.114/030.293,Lampião||Lampião
63,Não identificado,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico||Navegação,Não identificado,06/10/1983||Século XIX,"Lampião do Vapor Araguaya “Couto Magalhães”. Peça pentagonal de vidro mais largo na parte superior. Frisos metálicos reforçados nos encontros dos cinco lados. Na parte superior, arrematados por uma coroa metálica em forma arredondada e recortada, trazendo na superfície uma argola de metal anexada na tampa. No interior um porta vela fixado na base inferior.",João Ferreira da Silva,05.04.13||83.113/030.292,Lampião||Lampião
64,Não identificado,Transporte > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico,Não identificado,26/09/1952||Século XIX,"Hastes em curva trabalhadas em alto relevo, com bolotas de carvalho. Furos nas pontas. No centro da haste é fixado o suporte para a espora também trabalhada.",Umbelino Galvão de Moura Lacerda,11.3.11||83.111/030.290,Espora||Espora
65,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Não identificado,1983||Não identificada,"Fibra vegetal fixando as penas de cores: branca, preta e azul.",Não identificada,12.5.19||83.110/030.289,Cocar||Cocar
66,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Índios Carajás,29/09/1966||Século XX > 1960,"Palha formando rede com penas presas por um pedaço de bambu amarrado com a rede. Um trançado de palha para amarrar no pescoço. Penas nas cores: branca, marrom e preta.",Não identificada,12.5.18||83.109/030.288,Cocar||Cocar
67,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Índios Carajás,29/09/1966||Século XX > 1960,"Fio trançado fixando penas de cores: verde, amarela, azul, branca, rosa e marrom.",Não identificada,12.5.17||83.108/030.287,Colar||Colar
68,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Não identificado,1983||Não identificada,"Adorno de penas, presas por madrepérolas. Fio de algodão trançado formando barbante para amarrar. Penas nas cores: rosa, branca, azul, amarela e marrom.",Não identificada,12.5.16||83.107/030.286,Peitoral||Peitoral
69,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Índios Carajás,29/09/1966||Século XX > 1960,"Faixa de fio de algodão bege e vermelho formando 06 listras, 02 finas e 04 com quadrados. Franja nas extremidades.",Não identificada,12.5.15||83.106/030.285,Faixa||Faixa
70,Não identificado,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Não identificado,1983||Não identificada,"Faixa de fio de algodão branco com listras lilás, amarelo, roxo e rosa, com franjas nas extremidades.",Não identificada,12.5.14||83.105/030.284,Faixa||Faixa
71,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Índios Carajás,29/09/1966||Século XX > 1960,"Faixa de fio de algodão bege com decoração marrom claro em duas faixas, motivo central com listras sobrepostas por “x”.",Não identificada,12.5.13||83.104/030.283,Faixa||Faixa
72,Não identificado,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico,Não identificado,Déc. 1960||Século XIX | Século XX,"Traje feminino branco em brocado. Saia: godê em nesgas (7), abotoamento atrás na cintura com colchetes. Na parte de trás, saindo da cintura pregas, formando calda. Blusa: com peitilho em pregas ladeando macho; gola de “padre”; mangas longas, bufantes com pregas. Na parte de trás abotoamento com colchetes. Corpo terminando em curva, moldando a cintura. Peitilho: sobreposto, contornado de renda, prendendo à cintura e gola c/ colchetes. Forro branco.",Maria Carlota Guedes,12.8.13||83.103/030.282,Saia / Blusa / Peitilho||Saia / Blusa / Peitilho (conjunto)
73,Não identificado,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Século XX,"Lâmina retangular. Em uma extremidade decoração pintada em listras e com fio segurando pena. Na outra, mais afinada, haste arredondada para prender nos lábios.",Não identificada,12.5.12||83.102.IV/030.281,Adorno indígena||Adorno labial
74,Não identificado,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Século XX,"Lâmina retangular. Em uma extremidade decoração pintada em listras e com fio segurando pena. Na outra, mais afinada, haste arredondada para prender nos lábios.",Não identificada,12.5.11||83.102.III/030.280,Adorno indígena||Adorno labial
75,Não identificado,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Século XX,"Lâmina retangular. Em uma extremidade decoração pintada em listras e com fio segurando pena. Na outra, mais afinada, haste arredondada para prender nos lábios.",Não identificada,12.5.10||83.102.II/030.279,Adorno indígena||Adorno labial
76,Não identificado,Transporte > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico||História do Brasil | República,Não identificado,1954||Não identificada,Passadeira retangular com motivos florais e Brasão da República. É a 1ª à dir.,Francisco Assis Costa,11.3.10||83.100/030.274,Passadeira||Passadeira de Loro
77,Não identificado,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Século XX,"Lâmina retangular. Em uma extremidade decoração pintada em listras e com fio segurando pena. Na outra, mais afinada, haste arredondada para prender nos lábios.",Não identificada,12.5.09||83.102.I/030.278,Adorno indígena||Adorno labial
78,Não identificado,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Século XX,"Lâmina retangular. Em uma extremidade decoração pintada em listras e com fio segurando pena. Na outra, mais afinada, haste arredondada para prender nos lábios.",Não identificada,12.5.08||83.102/030.277,Adorno indígena||Adorno labial
79,Não identificado,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Arquitetura,Não identificado,1952||Século XVIII,"Cartela de madeira, em forma de coração, frisos em voluta com plumas rosa e centro azul.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.34||83.101.I/030.276,Cartela||Cartela
80,Não identificado,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Arquitetura,Não identificado,1952||Século XVIII,"Cartela de madeira, em forma de coração, frisos em voluta com plumas rosa e centro azul.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.33||83.101/030.275,Cartela||Cartela
81,Não identificado,Transporte > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico||História do Brasil | República,Não identificado,Déc. 1960||Não identificada,Passadeira retangular com motivos florais e Brasão da República. É a 1ª à esq.,Francisco Assis Costa,11.3.08||83.098/030.272,Passadeira||Passadeira de Loro
82,Não identificado,Transporte > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico||História do Brasil | República,Não identificado,1954||Não identificada,Passadeira retangular com motivos florais e Brasão da República. É a do meio.,Francisco Assis Costa,11.3.09||83.099/030.273,Passadeira||Passadeira de Loro
83,Brasil > Goiás,Caça/Guerra > Arma||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Século XX,"Madeira roliça e escura, trançado em palha escura, formando ziguezague no centro, terminando por fio de algodão e terminação em ponta. Na imagem é o 2º da esquerda p/ direita.",Não identificada,01.02.09||83.097/030.271,Tacape||Tacape
84,Brasil > Goiás,Caça/Guerra > Arma||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Século XX,"Madeira roliça e clara, trançada em palha escura, com motivos geométricos no centro. Terminando por um roliço em uma das extremidades. Na imagem é o 2º da direita p/ esquerda.",Não identificada,01.02.08||83.096.I/030.270,Tacape||Tacape
85,Brasil > Goiás,Caça/Guerra > Arma||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Século XX,"Madeira roliça e clara, trançado de palha escura e clara, formando labirintos no centro, terminando por um roliço em uma das extremidades. Na imagem é o 1º à direita.",Não identificada,01.02.07||83.096/030.269,Tacape||Tacape
86,Brasil > Goiás,Caça/Guerra > Arma||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Século XX,"Madeira roliça e escura, trançado de palha escura e clara, formando losangos no centro. Na extremidade terminada por um roliço com frisos que terminam na ponta. Na imagem é o 3º da esquerda p/ direita.",Não identificada,01.02.07||83.095/030.268,Tacape||Tacape
87,Brasil > Goiás,Caça/Guerra > Arma||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Século XX,"Madeira roliça, punho de palha trançada e de tom escuro formando losangos no centro. Em uma das extremidades 04 frisos e terminação em ponta. Na imagem é o 1º à esquerda.",Não identificada,01.02.05||83.093/030.266,Tacape||Tacape
88,Brasil > Goiás,Caça/Guerra > Arma||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Século XX,"Madeira roliça e escura, trançado de palha escura e clara, formando gregas, na extremidade terminada por um roliço com frisos que terminam na ponta. Aro de metal em uma das extremidades. Na imagem é o tacape mais escuro, o 4º da esquerda p/ direita.",Não identificada,01.02.06||83.094/030.267,Tacape||Tacape
89,Não identificado,Transporte > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico||História do Brasil | República,Não identificado,Déc. 1960||Não identificada,"Estribo para apoio dos pés. Forma losangular, tendo a parte superior ovalada, com furos em desenhos geométricos. Parte inferior recortada com as laterais salientadas. Das laterais saem duas hastes que tem em suas extremidades, forma triangular trabalhada para utilização da correia. Na frente e atrás Brasão da República.",Francisco Assis Costa,11.3.07||83.092.I/030.265,Estribo||Estribo
90,Não identificado,Transporte > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico||História do Brasil | República,Não identificado,Déc. 1960||Não identificada,"Estribo para apoio dos pés. Forma losangular, tendo a parte superior ovalada, com furos em desenhos geométricos. Parte inferior recortada com as laterais salientadas. Das laterais saem duas hastes que tem em suas extremidades, forma triangular trabalhada para utilização da correia. Na frente e atrás Brasão da República.",Francisco Assis Costa,11.3.06||83.092/030.264,Estribo||Estribo
91,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Índios Carajás,29/09/1966||Século XX > 1960,"Fio trançado, com penas de cores amarelas, verdes, azuis, brancas, rosas e marrons. Nas extremidades terminação em fibra vegetal para amarrar o colar.",Não identificada,12.5.07||83.091/030.263,Colar||Colar
92,Brasil > Goiás,Objetos Pessoais > Artigo de Toalete||12 Objetos Pessoais > 12.3 Artigo de Toalete||Acervo Museológico||Etnográfico,Não identificado,1983||Século XX,"Pente de palha trançada, com espinhos de coqueiro unidos em uma das extremidades. De formato retangular, com arremate lateral composto de penas brancas.",Não identificada,12.3.01||83.089/030.261,Pente||Pente
93,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Arquitetura,Não identificado,Déc. 1950||Século XVIII,"Frontão (fragmento arquitetônico) em calcário róseo trabalhado. A curva superior em asa de cesto e a ornamentação em medalhão central ladeado e encimado por volutas e cruz entre campo estriado. Formato triangular, bordas arredondadas, caneluras entre volutas.",Igreja do Rosário de Goiás,04.04.32||83.090/030.262,Frontão||Frontão da Igreja do Rosário
94,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Não identificado,1983||Século XX,"Tiara de cipó arredondado trançado em palha, com penas presas ao arco e 04 penas em pé, presas por palha. Penas nas cores azul, amarela, rosa, marrom, vermelha e preta.",Não identificada,12.5.06||83.088/030.260,Tiara||Tiara
95,Não identificado,Trabalho > Instrumento Musical||06 Trabalho > 06.10 Equipamento Musical||Acervo Museológico||Etnográfico | Música,Não identificado,Déc. 1960||Século XX,"Flauta de bambu, com amarrado de fibras vegetais nas 02 extremidades, uma rolha de madeira para reter o ar. Pequeno vão em formato retangular para saída do som. Alça de algodão.",Não identificada,06.10||83.087/030.259,Flauta||Flauta
96,Não identificado,Trabalho > Instrumento Musical||06 Trabalho > 06.10 Equipamento Musical||Acervo Museológico||Etnográfico | Música,Não identificado,1983||Século XX,"Haste de bambu com decoração de trançado preso por fio de algodão, na extremidade cabaça toda coberta com penas branca, preta e marrom.",Não identificada,06.10||83.086/030.258,Maracá||Maracá
97,Não identificado,Trabalho > Instrumento Musical||06 Trabalho > 06.10 Equipamento Musical||Acervo Museológico||Etnográfico | Música,Não identificado,1983||Século XX,"Flauta de bambu com desenhos geométricos feitos de fibra vegetal e formando losangos nas cores preto e amarelo. No centro dos losangos o desenho de uma cruz. Em uma das extremidades fios trançados, na outra extremidade recorte no bambu para saída do som, em formato quadrado, e fio enrolado feito da mesma fibra vegetal.",Não identificada,06.10||83.085/030.257,Flauta||Flauta
98,Não identificado,Trabalho > Instrumento Musical||06 Trabalho > 06.10 Equipamento Musical||Acervo Museológico||Etnográfico | Música,Não identificado,1983||Século XX,"Haste de bambu, na extremidade cabaça com penas brancas, escuras e vermelhas.",Não identificada,06.10||83.084/030.256,Maracá||Maracá
99,Brasil > Goiás,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico||Etnográfico,Não identificado,1983||Século XX,"Faixa trançada com palha, com argolas para a amarração nas extremidades, ornamentada com penas nas cores: verde, branco, azul, vermelho.",Não identificada,12.8.12||83.083/030.255,Tanga||Tanga
100,Brasil > Goiás,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico||Etnográfico,Não identificado,1983||Século XX,"Faixa trançada com palha, com argolas para a amarração nas extremidades, ornamentada com penas nas cores: azul, rosa, preto, amarelo e verde.",Não identificada,12.8.11||83.082/030.254,Tanga||Tanga
101,Brasil > Goiás,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico||Etnográfico,Não identificado,1983||Século XX,"Faixa com tecido trançado, na cor preta e branca, com argolas nas extremidades para amarrar. Ornamentadas com penas nas cores: azul, amarelo e marrom.",Não identificada,12.8.10||83.081/030.253,Tanga||Tanga
102,Não identificado,Objetos Pessoais > Objeto de Auxílio/Conforto Pessoais||12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais||Acervo Museológico,Não identificado,1983||Não identificada,"Forma ovalada, com o interior de seda em estamparia escura, revestida de penas de beija-flor nas cores: preto, azul e verde brilhantes. Abertura com acabamento e fecho de marfim, trazendo dois orifícios que servem de suportes para a alça.",Não identificada,12.6.01||83.080/030.252,Bolsa||Bolsa
103,Não identificado,Transporte > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico||História do Brasil | República,Não identificado,Déc. 1960||Não identificada,"Estribo com formato losangular na parte que serve de apoio para os pés, parte superior ovalada, com furos em desenhos geométricos, na frente e atrás, Brasão da República. Parte inferior recortada com as laterais salientadas. Das laterais saem duas hastes que tem em suas extremidades. Na parte superior das hastes, forma triangular trabalhada para uso da correia.",Francisco Assis Costa,11.3.05||83.079.I /030.251,Estribo||Estribo
104,Não identificado,Transporte > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico||História do Brasil | República,Não identificado,Déc. 1960||Não identificada,"Estribo para apoio dos pés durante a cavalgada. Forma losangular com a parte superior ovalada com furos em desenhos geométricos. Parte inferior recortada com as laterais salientadas. Das laterais saem duas hastes que tem em suas extremidades. Forma triangular trabalhada para utilização da correia, na frente e atrás Brasão da República.",Francisco Assis Costa,11.3.04||83.079/030.250,Estribo||Estribo
105,Não identificado,Transporte > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico||História do Brasil | República,Não identificado,Déc. 1960||Século XX,"Base ovalada, trazendo no centro o Brasão da República que é ladeado por entalhes vazados com motivos fitomorfos. Bordas recortadas. Das laterais saem duas hastes que são arrematadas por uma abertura em forma triangular que serve para prender a correia. Entre as hastes o apoio para os pés.",Não identificada,11.3.03||83.078/030.249,Estribo||Estribo
106,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Índios Carajás,29/09/1966||Século XX > 1960,"Palha trançada formando rede e prendendo penas nas cores: preta, marrom e branca.",Não identificada,12.5.04||83.076/030.247,Cocar||Cocar
107,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Índios Carajás,29/09/1966||Século XX > 1960,"Palha formando rede, com penas presas por um pedaço de bambu amarrado com a rede, um trançado de palha para amarrar o pescoço. Penas nas cores: amarela, azul, branca, verde, marrom, rosa e outras.",Não identificada,12.5.05||83.109/030.288,Cocar||Cocar
108,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Índios Carajás,29/09/1966||Século XX > 1960,"Palito de bambu, tendo nas extremidades penas encaixadas no torsal de algodão, penas nas cores: verde, amarela, azul.",Não identificada,12.5.03||83.075.I/030.246,Brincos||Brincos
109,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Etnográfico,Índios Carajás,29/09/1966||Século XX > 1960,"Palito de bambu, tendo nas extremidades penas encaixadas no torsal de algodão, penas nas cores: verde, amarela, azul.",Não identificada,12.5.02||83.075/030.245,Brincos||Brincos
110,Não identificado,Trabalho > Equipamento de Fiação/Tecelagem||06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem||Acervo Museológico||Tecelagem,Não identificado,Déc. 1950||Século XX,"Fuso de madeira roliça, no meio círculo de osso, onde está enrolado fios de algodão. Na imagem é o do meio.",Não identificada,06.05.06||83.074/030.244,Fuso||Fuso
111,Não identificado,Trabalho > Equipamento de Fiação/Tecelagem||06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem||Acervo Museológico||Tecelagem,Não identificado,Déc. 1950||Século XX,"Fuso de madeira roliça, punho com ponta que segue em forma retangular, que tem amarrado com cordão, no meio um disco de cerâmica. No fuso fios de algodão, enrolados. Na imagem é o 1º à esquerda.",Não identificada,06.05.04||83.072/030.242,Fuso||Fuso
112,Não identificado,Trabalho > Equipamento de Fiação/Tecelagem||06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem||Acervo Museológico||Tecelagem,Não identificado,Déc. 1950||Século XX,"Fuso de madeira roliça, disco de madeira, fios de algodão enrolados no fuso. Na imagem é o 1º à direita.",Não identificada,06.05.05||83.073/030.243,Fuso||Fuso
113,Não identificado,Interiores > Utensílio de Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,Déc. 1950||Século XVII,"Açucareiro em forma de urna com tampa campaniforme, base circular em 03 degraus, borda com motivos fitomórficos incisos, fundido e aparafusado, bojo junto à base com desenhos fitomórficos incisos, tampa côncava com motivos fitomórficos na borda, puxador em madeira e prata em forma de fruta, aparafusado. Bojo em tampa trabalhado em prata batida.",Não identificada,05.06.18||83.071.II/030.241,Açucareiro||Açucareiro
114,Brasil > Goiás,Interiores > Utensílio de Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,Déc. 1950||Século XVIII,"Pés circulares em 03 degraus, borda com motivos fitomórficos incisos, fundido e aparafusado. Bojo parte inferior lisa, junto à base motivo fitomórfico inciso, parte superior motivos fitomórficos incisos, tampa côncava com motivos fitomórficos na borda, puxador em madeira em prata em forma de círculo aparafusado, bico liso, friso no centro com tampa em dobradiças com motivos fitomórficos incisos. Bojo e bico trabalhados em prata batida. Alça recurva em madeira com cilindro em prata, onde se fixa na extremidade superior da alça voluta em prata.",Não identificada,05.06.17||83.071.I/030.240,Cafeteira||Cafeteira
115,Brasil > Goiás,Interiores > Utensílio de Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,Déc. 1950||Século XVIII,"Pés circulares em 03 degraus, borda com motivos fitomórficos incisos, fundido e aparafusado, bojo parte inferior lisa, parte superior com motivos fitomórficos incisos, tampa côncava com motivos fitomórficos na borda, puxador em madeira em prata em forma de fruta aparafusado, bico liso com friso no centro com tampa em dobradiças com motivos fitomórficos incisos. Bojo e bico trabalhado em prata batida. Alça recurva em madeira com cilindro em prata, onde se fixa na extremidade superior da alça voluta em prata. Junto à base motivo fitomórfico inciso.",Não identificada,05.06.16||83.071/030.239,Bule||Bule
116,Não identificado,Caça/Guerra > Arma||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Arma,Não identificado,1983||Não identificada,"Faca de prata, com cabo e bainha com decoração incisa. Na parte externa da bainha, em alto relevo também em prata, mão segurando um galho. Na ponta da bainha uma placa de prata em forma de losango com uma argola na ponta.",Pró Memória,01.02.04||83.069/030.236,Arma branca de choque||Faca
117,Não identificado,Interiores > Utensílio de Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,Déc. de 1960||Século XVIII,"Formato oval com curva, bordas recortadas com frisos acompanhando os recortes, intercalados com folhas de acanto e guirlandas. No centro abaixo de cada friso medalhões. Na superfície interna ramagens entrelaçadas incisas.",SPHAN,05.06.15||83.070.I/030.238,Bacia||Bacia
118,Não identificado,Interiores > Utensílio de Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,Déc. de 1960||Século XVIII,"Pé circular com friso tremido, liso, com desenho inciso representando elos entrelaçados em círculo, na vertical laço de fita em ponta, encimado por círculo de loiro, coluna em anel com tremido encimado por anel liso entre tremido. Bojo canelado com 04 medalhões na parte inferior, na parte superior 02 medalhões laterais, no centro abaixo do bico, figura mitológica. Tampa com elos entrelaçados na borda, com vieira, pluma, puxador em penha, alça representando serpente.",SPHAN,05.06.14||83.070/030.237,Gomil||Gomil (Jarra para água)
119,Não identificado,Caça/Guerra > Arma||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||História do Brasil | República,Não identificado,14/10/1960||Não identificada,"Lâmina prateada com desenhos fitomorfos alusivos a República, com as letras RFEUB. Guarda dourada com desenhos fitomorfos e emblema da República, punho de marfim com frisos torcidos dourados e parte de metal dourado com alamares trançados de couro com borla na ponta. Bainha em couro e metal dourado com motivos fitomorfos, tendo em cima uma argola com borla de metal.",Magnólia Castro Sócrates,01.02.02||83.067/030.234,Arma branca de choque||Espada
120,Não identificado,Caça/Guerra > Arma||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Armaria,Não identificado,1983||Não identificada,"Espingarda com sistema de pederneira, com cano longo e fino com vareta, cabo liso tendo em uma das laterais recipiente de ferro para guardar munição e alça de couro.",Não identificada,01.02.03||83.068 /030.235,Arma de fogo portátil||Espingarda
121,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Ciência | Tecnologia,Não identificado,Déc. 1950||Século XVIII,"Espelho de fechadura antigo, em ferro batido, recortado e vazado, com 04 grandes cravos encastoados em 03 e 01 circundando a fechadura, com terminação superior reproduzindo a cena da crucifixação. Cristo na cruz assistido por 02 figuras ajoelhadas, com um dos braços levantados e o outro flexionado, sendo que na da direita falta 01 braço. Com o orifício para chave em forma de gancho",Igreja de Nossa Senhora do Rosário,04.04.31||83.066/030.233,Espelho de fechadura||Espelho de fechadura
122,Não identificado,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Ciência | Tecnologia,Não identificado,1954||Século XVIII,Chave em forma do nº 3 e pegador circular ondulado.,Geraldo Pereira da Silva,04.04.30||83.065/030.232,Chave||Chave
123,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Ciência | Tecnologia,Não identificado,1954||Século XVIII,"Forma quadrada e lisa, com quatro cravos nos cantos e no centro fechadura em forma do nº 3.",Geraldo Pereira da Silva,04.04.29||83.064/030.231,Espelho de fechadura||Espelho de fechadura
124,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Arquitetura,Não identificado,02/10/1967||Não identificada,"Rosto oval, nariz afilado. Na cabeça ornamento com 03 plumas e com panejamento da altura de uma orelha na outra, por baixo do queixo.",Sebastião Veloso Peleja,04.04.28||83.063/030.230,Cabeça||Cabeça
125,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Arquitetura,Não identificado,02/10/1967||Não identificada,"Rosto oval, nariz afilado. Na cabeça ornamento com 03 plumas. Panejamento da altura de uma orelha a outra, por baixo do queixo.",Sebastião Veloso Peleja,04.04.27||83.062/030.229,Cabeça||Cabeça
126,Brasil > Goiás,Objetos Cerimoniais > Objeto Funerário||09 Objetos Cerimoniais > 09.4 Objeto Funerário||Acervo Museológico||Arquitetura,Não identificado,17/05/1967||Século XIX,"Elemento floral, em pedra sabão, vazado, dividido em cinco corpos. Ao centro coroado com elemento ornamental rematado por uma cruz.",Jerônimo de Carvalho Bueno,09.04.03||83.061/030.228,Elemento Floral||Elemento Floral (placas)
