,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Identifier,Título
281,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.021,Fotografia||Placas comemorativas e homenagens de Villa-Lobos
282,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.020,Fotografia||Ambiente de trabalho com a parede de fundo decorada com fotos e desenhos retratando Villa-Lobos
283,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.019,Fotografia||Batutas comemorativas de Villa-Lobos
284,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.018,Fotografia||Placas comemorativas e homenagens de Villa-Lobos
285,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.017,Fotografia||Placas comemorativas e homenagens de Villa-Lobos
286,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.016,Fotografia||Placas comemorativas e homenagens de Villa-Lobos
287,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.015,Fotografia||Violão de Villa-Lobos
288,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.014,"Fotografia||Apartamento Villa-Lobos, com condecorações e homenagens sobre mesa lateral"
289,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.013,"Fotografia||Capas de discos, partituras e o violão de Villa-Lobos"
290,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.012,"Fotografia||Arminda, em sua residência, com capas de discos espalhados no chão"
291,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.011,"Fotografia||Capas de discos, partituras, foto e o violão de Villa-Lobos"
292,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.010,"Fotografia||Apartamento de Villa-Lobos, com fotos na parede, poltrona, condecorações e homenagens sobre mesa lateral e discos espalhados no chão"
293,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.009,Fotografia||Capas de discos de Villa-Lobos
294,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.008,Fotografia||Violão de Villa-Lobos
295,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Verso: inscrição “É na natureza que o artista encontra sua melhor inspiração. Heitor Villa-Lobos"".",1995.16.007,"Fotografia||Medalha comemorativa dos 50 anos de vida profissional de Villa-Lobos, feita em Paris pela gravadora francesa Josette Hébert Coëffin, por iniciativa da pintora francesa Mary Damin"
296,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.006,"Fotografia||Medalha comemorativa dos 50 anos de vida profissional de Villa-Lobos, feita em Paris pela gravadora francesa Josette Hébert Coëffin, por iniciativa da pintora francesa Mary Damin"
297,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.005,Fotografia||Villa-Lobos apoiando o rosto com a mão
298,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.004,Fotografia||Lucília Villa-Lobos
299,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1987.16.011,Fotografia||Villa-Lobos de camisa xadrez e fumando charuto
300,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1987.16.010,Fotografia||Villa-Lobos de camisa xadrez e fumando charuto
301,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1987.16.008,Fotografia||Villa-Lobos à mesa de trabalho
302,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,Com a dedicatória “Como lembrança do 70º Natal ao prezado Villa-Lobos. Tão jovem ainda! Francisco Braga”.,1985.16.006,Fotografia||Francisco Braga
303,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1982.16.015,"Fotografia||O pianista Arnaldo Estrella, com uma partitura, fazendo anotações"
304,Uruguai > Montevidéu,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Da dir. para esq.: Oscar Borgerth (1º), José Vieira Brandão (2º), Ruth Valadares Corrêa (5ª), Batista Luzardo - embaixador do Brasil no Uruguay (6º), Villa-Lobos (9º), Arminda (11º), Arnaldo Estrella (12º), Iberê Gomes Grosso (13º).",2003.16.044,Fotografia||Visita ao Uruguai da delegação brasileira de professores de canto orfeônico dirigida por Villa-Lobos
305,Uruguai > Montevidéu,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2003.16.010,Fotografia||Plateia não identificada
306,França > Paris,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Na vitrine, em close, partituras, discos e livros de Villa-Lobos.",1995.16.027,"Fotografia||Fachada da Éditions Max-Eschig, esquina da Rue de Madrid"
307,França > Paris,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Na vitrine, em close, partituras, discos e livros de Villa-Lobos.",1995.16.026,Fotografia||Fachada da Éditions Max-Eschig esquina da Rue de Rome - Detalhe da vitrine com obras de Villa-Lobos
308,França > Paris,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.024,Fotografia||Fachada da “Editions Max Eschig” esquina da Rue de Rome
309,França > Paris,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1987.16.003,Fotografia||Villa-Lobos posando com charuto na mão
310,EUA > Nova York,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.022,Fotografia||Bidu Sayão vestida para a ópera “Pelléas e Mélisande”
311,EUA,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2003.16.001,Fotografia||Villa-Lobos e Arminda com não identificado
312,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.132,"Fotografia||Oscar Guimarães, irmão de Lucilia"
313,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.129,"Fotografia||Da dir. para esq.: Oldemar, Luiz e Oscar"
314,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Da dir. para esq.: Lourdes (esposa de Oldemar), Yacyra (esposa de Luiz), Luiz, Laiz-Eni (filha de Luiz e afilhada de Lucilia), Oscar (irmão), Lucília Guimarães Villa-Lobos, Dinorah (irmã), Heitor (filho de Dinorah) e Oldemar (irmão - ajoelhado).",2004.16.128,Fotografia||Lucília Guimarães Villa-Lobos e familiares
315,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.127,"Fotografia||Da dir. para esq.: Yacyra, Luiz, Lourdes, Oscar, Lucília Villa-Lobos e Oldemar"
316,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.002,"Fotografia||Da esquerda para a direita: João Pernambuco, Augustin Barrios e Quincas Laranjeiras"
317,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2003.16.071,"Fotografia||[Orfeão de professores]. Villa-Lobos e Lucilia na 2ª fila, ao centro"
318,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2003.16.070,Fotografia||[Solenidade] Foto bipartida Parte superior da esquerda para direita: Arminda (2ª) e Henrique Dodsworth (3º) sentados à mesa de autoridades. Parte inferior: plateia
319,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,Solenidade de entrega de diplomas as formandas do curso de preparação do Ensino de Canto Orfeônico.Foto bipartida. Parte superior: comissão de entrega dos diplomas.Parte inferior: Platéia.Obs: Na primeira fila estão Villa-Lobos e Lucilia (a 4ª à dir. de Villa-Lobos).,2003.16.069,Fotografia||Solenidade de entrega de diplomas as formandas do curso de preparação do Ensino de Canto Orfeônico
320,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2003.16.030,"Fotografia||Villa-Lobos e Arminda [entre formandos, no Palácio Gustavo Capanema]"
321,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.161,Fotografia||Desfile cívico. Alunas carregam um adereço com foto do [Presidente Getúlio Vargas]
322,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.063,Fotografia||ministro Clóvis Salgado e Octacílio Braga (de óculos) e senhoras não identificadas
323,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.055,Fotografia||Villa-Lobos e Arminda entre alunas do Orfeão Villa-Lobos
324,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Com a dedicatória “Aos Dindinhos Mindinha e Maestro, lembrança de meu 11º aniversário. Julio Cesar “.",2002.16.040,"Fotografia||Julio Cesar de Almeida Prado, sobrinho de Arminda"
325,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.015,"Fotografia||Grupo de músicos: sentados Raul Palmieri, Patapinho, Alfredinho Flautim, Valdemar (pandeiro); em pé Benedito Lacerda, atrás Chico pandeirista, (conj. do Jacó do Bandolim), João da Baiana, Almirante (ao centro), Bide de Flauta, Pixinguinha, Sylvio Salema"
326,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1984.16.028,"Fotografia||Villa-Lobos, professores e alunos no encerramento do Conservatório Brasileiro de Música. Salão do Automóvel Club"
327,Brasil > Recife,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Nota de pesquisa: Provavelmente em Pernambuco, 1934.",2004.16.097,Fotografia||Villa-Lobos e Sylvio Salema
328,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Da dir. para esq.: Lourdes (esposa de Oldemar), Yacyra (esposa de Luiz), Raul (genro de Luiz), Luiz, Laiz-Eni (filha de Luiz e afilhada de Lucília), Oscar, Lucília Guimarães Villa-Lobos, Dinorah e Heitor (filho de Dinorah).",2004.16.126,Fotografia||Lucília Guimarães Villa-Lobos e familiares
329,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.125,"Fotografia||Da dir. para esq.: Oldemar, Lourdes, Yacyra, Luiz e Lucília Guimarães Villa-Lobos"
330,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.124,Fotografia||Lucília Guimarães Villa-Lobos em almoço com a família
331,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.123,Fotografia||Lucília Guimarães Villa-Lobos
332,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.122,Fotografia||Lucília Guimarães Villa-Lobos
333,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.120,Fotografia||Lucília Guimarães Villa-Lobos
334,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.118,Fotografia||Lucília Guimarães Villa-Lobos
335,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.117,Fotografia||Lucília Guimarães Villa-Lobos
336,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.116,Fotografia||Lucília Guimarães Villa-Lobos
337,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.115,Fotografia||Lucília Guimarães Villa-Lobos
338,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.113,Fotografia||Lucília Guimarães Villa-Lobos
339,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.112,"Fotografia||Lucília Guimarães Villa-Lobos, jovem"
340,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.111,"Fotografia||Lucília Guimarães Villa-Lobos, jovem"
341,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.109,"Fotografia||Lucília Guimarães Villa-Lobos, idosa"
342,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.108,Fotografia||Lucília Guimarães Villa-Lobos jovem
343,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.102,"Fotografia||“Lucilia e Heitor Villa-Lobos com a afilhada Laiz -Eni, filha de Yacyra e Luiz Guimarães, este, Irmão de Lucilia - ano de 1931”"
344,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.095,"Fotografia||Lorenzo Fernandez entre formandas do Conservatório Nacional de Canto Orfeônico - CNCO. Ao fundo, quadro de formandos de [1943 ou 1945]"
345,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Foto publicada em periódico com a seguinte legenda: “Grupo num recanto do Municipal, por ocasião de ser entregue uma medalha comemorativa da ‘1ª Temporada de Arte Nacional’ à insigne cantora Violeta Coelho Netto de Freitas.”",2004.16.061,Fotografia||Arminda e Andrade Muricy entre outros não identificados
346,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.060,"Fotografia||Da esquerda p/ direita, no 1º plano: Sonia Maria Strutt, Hermenegilda mãe de Arminda, Villa-Lobos, Arminda e sua irmã Julieta Strutt"
347,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.053,Fotografia||Villa-Lobos e Arminda
348,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.050,Fotografia||Villa-Lobos ao microfone entre Andrade Muricy (a direita na foto) e não identificado
349,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Sentados na 1ª fila da plateia da esquerda para direita: Julieta Strutt (1ª), Arminda (3ª), Margherite Long (4ª), Villa-Lobos (5º), Helena Lorenzo Fernandez (6ª) entre outros não identificados.",2004.16.049,Fotografia||Audição de piano
350,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.048,"Fotografia||Villa-Lobos com o pianista Souza Lima e o crítico Eurico Nogueira França, após a 1ª audição do “Concerto Nº 2 para Piano e Orquestra”"
351,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.045,Fotografia||Villa-Lobos ao microfone no programa de rádio ‘Hora do Brasil’
352,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.044,Fotografia||Villa-Lobos e [Manuel Bandeira] entre outros não identificados
353,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.043,Fotografia||Villa-Lobos entre os irmãos pianistas José Eduardo e João Carlos Martins
354,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.042,Fotografia||Villa-Lobos com senhoras não identificadas
355,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.039,"Fotografia||Na fila da frente, da esquerda para direita: Manuel Bandeira (1ª), Villa-Lobos (2º) e Arminda (4ª)"
356,Argentina > Buenos Aires,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2003.16.096,Fotografia||Villa-Lobos
357,,10 Comunicação > 10.1 Documento,Não identificado,[entre 1956 e 1957],,2002.16.021,Fotografia||Villa-Lobos e Arminda
358,Brasil,10 Comunicação > 10.1 Documento,Não identificado,[entre 1943 e 1945],,2004.16.094,Fotografia||Formandas do Conservatório Nacional de Canto Orfeônico - CNCO de [1943 ou 1945]. Na parede foto de Villa-Lobos
359,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,[entre 1940 e 1959],,1987.16.047,"Fotografia||Villa-Lobos jogando bilhar, [provavelmente na Academia Brasileira de Imprensa]"
360,,10 Comunicação > 10.1 Documento,Não identificado,[entre 1937 e 1949],"Devido às anotações feitas no verso das fotos existia dúvida se a escultora era Adriana Janacópulos ou Celi. As notícias veiculadas na Gazeta de Notícias e A Noite, que estão no Livro de recortes LR13.018.1.c.00/LR13.018.1.c.00 mostram que não se trata de nenhuma das duas.",1983.16.085,"Fotografia||Villa-Lobos, Arminda, em seu apartamento à Rua Araújo Porto Alegre, 56 ap. 54, com duas moças não identificadas e a escultora argentina Martha Elsa Vinisky, atrás de busto do compositor esculpido por esta última"
361,,10 Comunicação > 10.1 Documento,Não identificado,[entre 1937 e 1949],"Devido às anotações feitas no verso das fotos existia dúvida se a escultora era Adriana Janacópulos ou Celi. As notícias veiculadas na Gazeta de Notícias e A Noite, que estão no Livro de recortes LR13.018.1.c.00/LR13.018.1.c.00 mostram que não se trata de nenhuma das duas.",1983.16.084,"Fotografia||A escultora argentina Martha Elsa Vinisky, atrás de busto do compositor esculpido por ela mesma, no apartamento de Villa-Lobos, à Rua Araújo Porto Alegre, 56 ap. 54"
362,,10 Comunicação > 10.1 Documento,Não identificado,[entre 1934 e 1935],,2003.16.073,Fotografia||Villa-Lobos soprando regador e Lucilia Villa-Lobos
363,,10 Comunicação > 10.1 Documento,Não identificado,[entre 1930 e 1945],"Devido às anotações feitas no verso das fotos existia dúvida se a escultora era Adriana Janacópulos ou Celi. As notícias veiculadas na Gazeta de Notícias e A Noite, que estão no Livro de recortes LR13.018.1.c.00/LR13.018.1.c.00 mostram que não se trata de nenhuma das duas.",1982.16.250,"Fotografia||Villa-Lobos, em seu apartamento à Rua Araújo Porto Alegre, 56 ap. 54, e a escultora argentina Martha Elsa Vinisky, atrás de busto do compositor esculpido por esta"
364,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,[entre 1930 e 1945],"Devido às anotações feitas no verso das fotos existia dúvida se a escultora era Adriana Janacópulos ou Celi. As notícias veiculadas na Gazeta de Notícias e A Noite, que estão no Livro de recortes LR13.018.1.c.00/LR13.018.1.c.00 mostram que não se trata de nenhuma das duas.",1980.16.029,"Fotografia||Villa-Lobos e Arminda, em seu apartamento à Rua Araújo Porto Alegre, 56 ap. 54, com a escultora argentina Martha Elsa Vinisky, atrás de busto do compositor esculpido por esta"
365,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,[entre 1930 e 1945],"No verso, em manuscrito, a informação “década de 30. Residência de V.L. rua Araújo Porto Alegre, 56 Apto 54 - Rio. Posando para a escultora Celi” que está parcialmente equivocada. Devido às anotações feitas no verso das fotos existia dúvida se a escultora era Adriana Janacópulos ou Celi. As notícias veiculadas na Gazeta de Notícias e A Noite, que estão no Livro de recortes LR13.018.1.c.00/LR13.018.1.c.00 mostram que não se trata de nenhuma das duas.",1980.16.021,"Fotografia||Villa-Lobos, em seu apartamento à Rua Araújo Porto Alegre, 56 ap. 54, e a escultora argentina Martha Elsa Vinisky, atrás de busto do compositor esculpido por esta"
366,,10 Comunicação > 10.1 Documento,Não identificado,[entre 1930 e 1945],,1982.16.168,Fotografia||Concentração orfeônica
367,,10 Comunicação > 10.1 Documento,Não identificado,[entre 1930 e 1945],,1982.16.158,Fotografia||Alunos da Escola Deodoro executando um cânone a 4 vozes ‘em passeio’
368,Brasil,10 Comunicação > 10.1 Documento,Não identificado,[entre 1930 e 1945],,1982.16.278,Fotografia||Estudantes fazendo lanche no intervalo de demonstração [concentração orfeônica]
369,,10 Comunicação > 10.1 Documento,Não identificado,[entre 1930 e 1931],"De cima para baixo e da esquerda para direita: Guimar Novaes, Antonieta Rudge, Souza Lima, Villa-Lobos, Maurice Raskin, Cesira Monnosi, Lucília Villa-Lobos e Annita Gonçalves.Informações do impresso “Theatro Municipal. Dias 25 e 16 de novembro às 21 horas. Festivaes de Obras de H. Villa-Lobos. Interpretadas pelos mais notáveis artistas que se encontram atualmente em São Paulo prestando uma homenagem a Villa-Lobos na sua despedida do Brasil”.",2004.16.143,Fotografia||Rerprodução em papel fotográfico de fotolito de impresso de divulgação para “Festivaes de Obras de H. Villa-Lobos”
370,,10 Comunicação > 10.1 Documento,Não identificado,[entre 1930 e 1931],"De cima para baixo e da esquerda para direita: Guiomar Novaes, Antonieta Rudge, Souza Lima, Villa-Lobos, Maurice Raskin, Cesira Monnosi, Lucília Villa-Lobos e Annita Gonçalves.Informações do impresso “Theatro Municipal. Dias 25 e 16 de novembro às 21 horas. Festivaes de Obras de H. Villa-Lobos. Interpretadas pelos mais notáveis artistas que se encontram atualmente em São Paulo prestando uma homenagem a Villa-Lobos na sua despedida do Brasil”.",2004.16.142,Fotografia||Fotolito - “Festivais de Obras de H. Villa-Lobos”
371,,10 Comunicação > 10.1 Documento,Não identificado,[ca. 1975],,2003.16.122,Fotografia||Arminda Villa-Lobos
372,,10 Comunicação > 10.1 Documento,Não identificado,[ca. 1975],,2003.16.121,Fotografia||Arminda Villa-Lobos
373,,10 Comunicação > 10.1 Documento,Não identificado,[ca. 1975],,2003.16.120,Fotografia||Arminda Villa-Lobos
374,,10 Comunicação > 10.1 Documento,Não identificado,[190-?],,2008.16.078,Fotografia||João Pernambuco (sentado com violão apoiado na perna) com um grupo de Chorões não identificados
375,,10 Comunicação > 10.1 Documento,Não identificado,[190-?],,2008.16.079,"Fotografia||Da esq p/ dir: Donga, não identificado, João Pernambuco e Pixinguinha"
376,,10 Comunicação > 10.1 Documento,Não identificado,[190-?],,2002.16.105,"Fotografia||Villa-Lobos, o último à direita, com a mão na cintura, junto a um grupo não identificado"
377,,10 Comunicação > 10.1 Documento,Não identificado,[190-?],,2002.16.102,"Fotografia||Grupo de jovens em frente a uma cascata, entre eles Villa-Lobos, mais à esq. na foto, de roupa clara, junto a quatro moças"
378,,10 Comunicação > 10.1 Documento,Não identificado,[190-?],,1982.16.169,Fotografia||Chiquinha Gonzaga
379,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,[190-?],,1982.16.135,Fotografia||Ernesto Nazareth
380,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,[189-?],"No verso, dedicatória “Ao Maestro Villa-Lobos, em lembrança de sua passagem por Santos, ofereço este retrato de seu padrinho Zuga, meu irmão, que nas traquinices do afilhado querido, fabricava as primeiras manifestações do gênio, fadado para glória. Santos, 1 out 1957 [dúvida no ano]. Robson Rangel”.",1982.16.048,"Fotografia||Zuga - apelido de Jorge Rangel -, padrinho de Villa-Lobos"
381,,10 Comunicação > 10.1 Documento,Não identificado,1973,"Com a dedicatória para a mãe de Arminda “Para a melhor mãezinha do Brasil, D. Hermenegilda, com um beijo da Bidu. Rio, 1973”.",1985.16.017,Fotografia||Bidu Sayão
382,,10 Comunicação > 10.1 Documento,Não identificado,1971,,2002.16.024,Fotografia||Arminda com o rosto encaixado em painel com desenho de mulher vestida com duas peças
383,,10 Comunicação > 10.1 Documento,Não identificado,[197-],,1982.16.104,"Fotografia||Geysa Gonzaga de Boscoli, teatrólogo, escritor, jornalista, compositor e sobrinho de Chiquinha Gonzaga"
384,,10 Comunicação > 10.1 Documento,Não identificado,[197-],,1982.16.094,Fotografia||Arminda e Arthur Rubinstein
385,,10 Comunicação > 10.1 Documento,Não identificado,[197-],,1982.16.093,Fotografia||Arminda e Arthur Rubinstein
386,,10 Comunicação > 10.1 Documento,Não identificado,1970,,2002.16.026,"Fotografia||Arminda, [em sua residência], tomando cafezinho. Na parede várias fotos de Villa-Lobos e personalidades"
387,,10 Comunicação > 10.1 Documento,Não identificado,1970,,2002.16.025,"Fotografia||Arminda, [em sua residência], colocando disco de vinil na vitrola. Em cima do móvel foto de Villa-Lobos e caixa de charutos. Na parede várias fotos de Villa-Lobos e personalidades"
388,,10 Comunicação > 10.1 Documento,Não identificado,[196-],,2008.16.064,Fotografia||Arminda em sua residência
389,Brasil > Brasília,10 Comunicação > 10.1 Documento,Não identificado,1960,,2008.16.077,"Fotografia||Inauguração do busto de Villa-Lobos, no Ministério da Cultura"
390,,10 Comunicação > 10.1 Documento,Não identificado,1959,,2009.16.007,"Fotografia||Villa-Lobos e seu médico Dr. Stuart Quan, no Alrae Hotel"
391,,10 Comunicação > 10.1 Documento,Não identificado,1959,,2003.16.125,Fotografia||Arminda Villa-Lobos diante de piano
392,,10 Comunicação > 10.1 Documento,Não identificado,1959,,2003.16.124,Fotografia||Arminda Villa-Lobos
393,,10 Comunicação > 10.1 Documento,Não identificado,1959,,2003.16.123,Fotografia||Arminda Villa-Lobos
394,,10 Comunicação > 10.1 Documento,Não identificado,1959,,2002.16.057,Fotografia||Villa-Lobos e a soprano Bidú Sayão
395,,10 Comunicação > 10.1 Documento,Não identificado,1959,,2002.16.023,Fotografia||Villa-Lobos e Arminda
396,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1983.16.011,"Fotografia||Arminda, Sônia Maria Strutt e Villa-Lobos"
397,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1982.16.156,"Fotografia||Arminda, o embaixador Jayme de Barros, sua esposa Marina com o bolo, Sonia Maria Strutt e Villa-Lobos"
398,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1980.16.163,Fotografia||Villa-Lobos fumando charuto e segurando queixo com cotovelo sobre partitura
399,EUA > Nova York,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.308,"Fotografia||Nancy Quan, esposa do Dr. Quan - médico de Villa-Lobos - e Sonia Maria Strutt. Alrae Hotel, residência do compositor em Nova York"
400,EUA > Nova York,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.307,"Fotografia||Nancy Quan, esposa do Dr. Quan - médico de Villa-Lobos - e Sonia Maria Strutt. Alrae Hotel, residência do compositor em Nova York"
401,EUA > Nova York,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.305,"Fotografia||Sonia Maria Strutt, Nancy Quan, Villa-Lobos e Arminda. Alrae Hotel, residência do compositor em Nova York"
402,EUA > Nova York,10 Comunicação > 10.1 Documento,Não identificado,1959,"Nota de pesquisa: Existe dúvida se é Nancy Quan, esposa do Dr. Stuart Quan - médico de Villa-Lobos - ou Paloma, esposa de Milne Charnley - pianista acompanhador de Bidú Sayão.",1977.16.304,"Fotografia||Arminda e Nancy Quan, esposa do Dr. Quan médico de Villa-Lobos. Alrae Hotel"
403,EUA > Nova York,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.302,"Fotografia||Arminda e Sonia Maria Strutt no Alrae Hotel, residência do casal Villa-Lobos em Nova York"
404,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.301,"Fotografia||Walter Burle Marx, de óculos, Olga Praguer Coelho, de vermelho, e outros não identificados"
405,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.300,Fotografia||Villa-Lobos e Arminda
406,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.297,Fotografia||Arminda e não identificados
407,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.283,"Fotografia||Villa-Lobos, Arminda e não identificado, no Alrae Hotel"
408,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.259,"Fotografia||Nancy Quan - esposa do Dr. Stuart Quan, médico de VL - e a pianista Sonia Maria Strutt - sobrinha de Arminda -, no Alrae Hotel"
409,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.230,"Fotografia||Villa-Lobos e Nancy Quan, no Alrae Hotel"
410,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.227,"Fotografia||Marina de Pádua e seu marido, embaixador Jayme de Barros, amigos do casal Villa-Lobos"
411,EUA > Nova York,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.226,"Fotografia||Villa-Lobos e Arminda no Alrae Hotel, sua residência em Nova York"
412,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.225,"Fotografia||Villa-Lobos e Arminda com Sonia Maria Strutt, Nancy e Dr. Stuart Quan médico de Villa-Lobos, no Alrae Hotel"
413,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.224,"Fotografia||Sonia Maria Strutt, Dr. Stuart Quan médico de Villa-Lobos, sua esposa Nancy e Arminda, no Alrae Hotel"
414,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.223,"Fotografia||Villa-Lobos, Arminda, Sonia Maria Strutt e Nancy Quan, esposa do Dr. Stuart Quan, no Alrae Hotel"
415,,10 Comunicação > 10.1 Documento,Não identificado,1959,,1977.16.222,"Fotografia||Villa-Lobos, Arminda, Sonia Maria Strutt e Nancy Quan, esposa do Dr. Stuart Quan, no Alrae Hotel"
