,Descrição
92,", A Roda de Capoeira - inscrita no Livro de Registro das Formas de Expressão, em 2008 - é um elemento estruturante de umamanifestação cultural, espaço e tempo, onde se expressam simultaneamente o canto, o toque dos instrumentos, a dança, os golpes, o jogo, a brincadeira, os símbolos e rituais de herança africana - notadamente banto - recriados no Brasil. Profundamente ritualizada, a roda de capoeira congrega cantigas e movimentos que expressam uma visão de mundo, uma hierarquia e um código de ética que são compartilhados pelo grupo. Na roda de capoeira se batizam os iniciantes, se formam e se consagram os grandes mestres, se transmitem e se reiteram práticas e valores afro-brasileiros., O registro da Roda de Capoeira e Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia,Pernambuco e Rio de Janeiro. A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”., O conhecimento produzidoparainstrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno.,  9ª Sessão do Comitê Intergovernamental para a Salvaguarda aprovou, em novembro de 2014, em Paris, a Roda de Capoeira, um dos símbolos do Brasil mais reconhecidos internacionalmente, como Patrimônio Cultural Imaterial da Humanidade. O reconhecimento da Roda de Capoeira, pela Unesco, é uma conquista muito importante para a cultura brasileira e expressa a história de resistência negra no Brasil, durante e após a escravidão.Originada no século XVII, em pleno período escravista, desenvolveu-se como forma de sociabilidade e solidariedade entre os africanos escravizados, estratégia para lidarem com o controle e a violência. Hoje, é um dos maiores símbolos da identidade brasileira e está presente em todo território nacional, além de praticada em mais de 160 países, em todos os continentes.,||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Aprendizado da capoeira, registrado pelo fotógrafo português Christiano Junior, no século XIX||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||As mãos do Mestre Curió tocando o berimbau, na Bahia"
93,"\r\n, O Ofício dos Mestres de Capoeira, inscrito no Livro de Registro dos Saberes, em 2008. é exercido por aqueles detentores dos conhecimentos tradicionais dessa manifestação e responsáveis pela transmissão de suas práticas, rituais e herança cultural. O saber da capoeira é transmitido de modo oral e gestual, de forma participativa e interativa, nas rodas, nas ruas e nas academias, assim como nas relações de sociabilidade e familiaridade construídas entre mestres e aprendizes. A capoeira é largamente difundida no Brasil e no mundo, a capoeira depende da manutenção da cadeia de transmissão desses mestres para sua continuidade como manifestação cultural., A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”. O conhecimento produzido para a instrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Esse ofício é exercido por aqueles detentores dos conhecimentos tradicionais desta manifestação e responsáveis pela transmissão oral das suas práticas, rituais e herança cultural. O registro do Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia, de Pernambuco e do Rio de Janeiro. Os principais aspectos da capoeira como prática cultural desenvolvida no Brasil são o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Foram, também, os mestres brasileiros os responsáveis por articular aspectos culturais a uma manifestação que poderia ficar restrita à face marcial, mas que, ao contrário, é reconhecida por sua riqueza musical e gestual, o que a aproxima também de uma dança especial, reminiscência de jogos de combate de sociedades tradicionais. A roda de capoeira é a forma de expressão que permitiu o aprendizado e a expansão do jogo. Nela se encenam golpes e movimentos acrobáticos, cânticos antigos são reatualizados e outros são inventados, acompanhados por uma orquestra de instrumentos que produz uma sonoridade múltipla e, ao mesmo tempo, característica da arte., , , \r\n, \r\n, \r\n, \r\n||TT"
94,", O Teatro de Bonecos Popular do Nordeste- inscrito no Livro de Formas de Expressão, em março de 2015 - teve seu pedido de inclusão solicitado pela Associação Brasileira de Teatro de Bonecos (ABTB), o que mostra a tendência de uma apropriação da sociedade sobre suas manifestações. Os estados de Pernambuco, Paraíba, Ceará e Rio Grande do Norte, além do Distrito Federal, compõem a área de abrangência dessa manifestação cultural. Para o Iphan, esse bem imaterial não é um brinquedo ou um traço do folclore, e envolve, sobretudo, a produção de conhecimento criativo, artístico e com uma forte carga de representação teatral., O registro como Patrimônio Cultural Imaterial justifica-se devido àoriginalidade e tradição dessa expressão cênica, repassadas de mestre para discípulo, de pai para filho, de geração para geração. Uma tradição que revela uma das facetas da cultura brasileira, onde brincantes, por meio da arte dos bonecos, encenam histórias apreendidas na tradição que falam de relações sociais estabelecidas em um dado período da sociedade nordestina e de histórias que continuam revelando seu cotidiano, através dos novos enredos, personagens, música, linguagem verbal, das cores e da alegria que são inerentes ao seu contexto social., \r\n, Esse bem culturalimaterial é uma tradicional brincadeira, com origens no hibridismo cultural, durante o período de colonização do Brasil. Assim, pela representatividade que possui, é uma expressão teatral genuína da cultura brasileira e muito peculiar do Nordeste, rica da genialidade de seus criadores e da empatia que estabelece com seu público. A troca intensa possibilitou uma diversidade de temáticas: religiosa, profana ou de costumes populares., E, apesar desse bem ser amplamente conhecido como mamulengo, em cada contexto se desenvolveu de forma diferenciada e possui diversas denominações: Cassimiro Coco, no Maranhão e Ceará; João Redondo, no Rio Grande do Norte; Babau, na Paraíba; e Mamulengo, em Pernambuco. Carrega elementos fundamentais para a identidade e memória de seus praticantes e ainda desempenha um papel agregador que legitima as práticas cotidianas nesses locais., Visto comoreferência cultural que vem se atualizando, ao longo do tempo, enquanto permanecem as relações de tradição, pertencimento e coletividade no universo cultural na qual se desenvolve. A brincadeira é iniciada com a montagem da empanada, uma espécie de barraca. Emseguida, os brincantes se colocam na parte de trás e o espetáculo tem iníciocom os bonecos em cena e a introdução de um texto poético, a loa. Além da narrativa, a peça contém elementos surpresas, muitas vezes sugeridos pelo mestre bonequeiro. Normalmente, as sugestões ocorrem a partir de conhecimento prévio sobre o público., , , \r\n, \r\nCertidão, \r\n||Teatro de bonecos Recife"
95,"A Literatura de Cordel é um gênero literário, veículo de comunicação, ofício e meio de sobrevivência para inúmeros cidadãos brasileiros.||Literatura de Cordel||Literatura de Cordel||Entre versos, rimas e cantoria, a Literatura de Cordel é uma expressão cultural popular que abrange não apenas as letras, mas também a música e a ilustração.||Literatura de Cordel||Literatura de Cordel||Literatura de Cordel||Literatura de Cordel"
96,", Este bem cultural de natureza imaterial, inscrito no Livro dos Saberes em 2005, é uma prática tradicional de produção e venda, em tabuleiro, das chamadas comidas de baiana, feitas com azeite de dendê e ligadas ao culto dos orixás, amplamente disseminadas na cidade de Salvador, Bahia. Dentre as comidas de baiana destaca-se o acarajé, bolinho de feijão fradinho preparado de maneira artesanal, na qual o feijão é moído em um pilão de pedra (pedra de acarajé), temperado e posteriormente frito no azeite de dendê fervente. Sua receita tem origens no Golfo do Benim, na África Ocidental, tendo sido trazida para o Brasil com a vinda de escravos dessa região., O processo de instrução de ambos os bens culturais foi conduzido pelo Centro Nacional de Folclore e Cultura Popular (CNFCP), no âmbito do Projeto Celebrações e Saberes da Cultura Popular, proporcionado pelo PNPI. Este foi um projeto piloto desenvolvido pelo CNFCP para experimentar os instrumentos então criados para a salvaguarda do patrimônio imaterial; a saber: INRC e registro. No âmbito deste projeto foram desenvolvidos 14 inventários, conduzidos três registros. Tanto a instrução para o registro do ofício de baiana de acarajé como o dos saberes associados à viola de cocho foram integrados com projetos do CNFCP de apoio à produção de artesanato tradicional., A atividade de produção e comércio é predominantemente feminina, e encontra-se nos espaços públicos de Salvador, principalmente praças, ruas, feiras da cidade e orla marítima, como também nas festas de largo e outras celebrações que marcam a cultura da cidade. A indumentária das baianas, característica dos ritos do candomblé, constitui também um forte elemento de identificação desse ofício, sendo composta por turbantes, panos e colares de conta que simbolizam a intenção religiosa das baianas., Os aspectos referentes ao Ofício das Baianas de Acarajé e sua ritualização compreendem: o modo de fazer as comidas de baianas, com distinções referentes à oferta religiosa ou à venda informal em logradouros soteropolitanos; os elementos associados à venda como a indumentária própria da baiana, a preparação do tabuleiro e dos locais onde se instalam; os significados atribuídos pelas baianas ao seu ofício e os sentidos atribuídos pela sociedade local e nacional a esse elemento simbólico constituinte da identidade baiana., ,||A baiana de acarajé é um dos símbolos da ancestralidade africana na culinária brasileira."
97,", A Roda de Capoeira - inscrita no Livro de Registro das Formas de Expressão, em 2008 - é um elemento estruturante de umamanifestação cultural, espaço e tempo, onde se expressam simultaneamente o canto, o toque dos instrumentos, a dança, os golpes, o jogo, a brincadeira, os símbolos e rituais de herança africana - notadamente banto - recriados no Brasil. Profundamente ritualizada, a roda de capoeira congrega cantigas e movimentos que expressam uma visão de mundo, uma hierarquia e um código de ética que são compartilhados pelo grupo. Na roda de capoeira se batizam os iniciantes, se formam e se consagram os grandes mestres, se transmitem e se reiteram práticas e valores afro-brasileiros., O registro da Roda de Capoeira e Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia,Pernambuco e Rio de Janeiro. A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”., O conhecimento produzidoparainstrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno.,  9ª Sessão do Comitê Intergovernamental para a Salvaguarda aprovou, em novembro de 2014, em Paris, a Roda de Capoeira, um dos símbolos do Brasil mais reconhecidos internacionalmente, como Patrimônio Cultural Imaterial da Humanidade. O reconhecimento da Roda de Capoeira, pela Unesco, é uma conquista muito importante para a cultura brasileira e expressa a história de resistência negra no Brasil, durante e após a escravidão.Originada no século XVII, em pleno período escravista, desenvolveu-se como forma de sociabilidade e solidariedade entre os africanos escravizados, estratégia para lidarem com o controle e a violência. Hoje, é um dos maiores símbolos da identidade brasileira e está presente em todo território nacional, além de praticada em mais de 160 países, em todos os continentes.,||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Aprendizado da capoeira, registrado pelo fotógrafo português Christiano Junior, no século XIX||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||As mãos do Mestre Curió tocando o berimbau, na Bahia"
98,"\r\n, O Ofício dos Mestres de Capoeira, inscrito no Livro de Registro dos Saberes, em 2008. é exercido por aqueles detentores dos conhecimentos tradicionais dessa manifestação e responsáveis pela transmissão de suas práticas, rituais e herança cultural. O saber da capoeira é transmitido de modo oral e gestual, de forma participativa e interativa, nas rodas, nas ruas e nas academias, assim como nas relações de sociabilidade e familiaridade construídas entre mestres e aprendizes. A capoeira é largamente difundida no Brasil e no mundo, a capoeira depende da manutenção da cadeia de transmissão desses mestres para sua continuidade como manifestação cultural., A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”. O conhecimento produzido para a instrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Esse ofício é exercido por aqueles detentores dos conhecimentos tradicionais desta manifestação e responsáveis pela transmissão oral das suas práticas, rituais e herança cultural. O registro do Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia, de Pernambuco e do Rio de Janeiro. Os principais aspectos da capoeira como prática cultural desenvolvida no Brasil são o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Foram, também, os mestres brasileiros os responsáveis por articular aspectos culturais a uma manifestação que poderia ficar restrita à face marcial, mas que, ao contrário, é reconhecida por sua riqueza musical e gestual, o que a aproxima também de uma dança especial, reminiscência de jogos de combate de sociedades tradicionais. A roda de capoeira é a forma de expressão que permitiu o aprendizado e a expansão do jogo. Nela se encenam golpes e movimentos acrobáticos, cânticos antigos são reatualizados e outros são inventados, acompanhados por uma orquestra de instrumentos que produz uma sonoridade múltipla e, ao mesmo tempo, característica da arte., , , \r\n, \r\n, \r\n, \r\n||TT"
99,", Anos e anos de fé e dedicação fizeram da Festa do Divino Espírito Santo em Pirenópolis, no Estado de Goiás, a mais rica expressão de identidade e religiosidade popular da cidade, onde os moradores se preparam durante um ano inteiro para festejar e participar da histórica celebração. A Festa do Divino Espírito Santo de Pirenópolis, no Estado de Goiás, foi inscrita no Livro de Registro das Celebrações, em 2010. É uma celebração de origem portuguesa, disseminada no período colonial pelo território brasileiro, com variações em torno de uma estrutura básica e dos símbolos principais do ritual - as folias, a coroação de um imperador, e o império., Constituída por vários rituais religiosos e expressões culturais, a Festa do Divino é uma celebração profundamente enraizada no cotidiano dos moradores de Pirenópolis e determinante dos padrões de sociabilidade local. A esta estrutura básica, os agentes da Festa do Divino de Pirenópolis vêm incorporando outros ritos e representações, como as encenações de mascarados e cavalhadas, responsáveis pela grande notoriedade da festa, que se realiza nesta cidade a cada ano, desde 1819, durante cerca de 60 dias, com clímax no Domingo de Pentecostes, cinquenta dias após a Páscoa., É uma das maiores manifestações de devoção ao Divino do Brasil, unindo o passado e o presente, envolve permanentemente toda a cidade, determinando os padrões de sociabilidade local. A cidade faz a festa e a festa faz a cidade. Por meio dela se marca o tempo, se reproduzem estruturas sociais e se conformam identidades coletivas e individuais. Seus elementos essenciais, por ordem de ocorrência, são: as Folias “da Roça” e “da Rua”, que “giram” pela zona rural e pela cidade, levando as bandeiras do Divino e angariando donativos para a festa; a coroa, a figura do Imperador, as cerimônias e rituais do Império, com alvoradas, cortejos, novena, jantares e outras refeições coletivas, missas cantadas, levantamento do mastro, queima de fogos, distribuição de “verônicas”, sorteio e coroação do Imperador., Durante a celebração ocorrem inúmeros eventos e festejos: as folias da Roça, da Rua e do Padre que “giram” os bairros da cidade e a zona rural do município, recolhendo donativos para a festa; celebrações do Império, com os cortejos do Imperador, jantares, novena, missas cantadas, alvoradas, levantamento do mastro e queima de fogos; e as Cavalhadas, encenação de batalhas medievais entre mouros e cristãos. Para muitos as Cavalhadas são sinônimo da Festa do Divino Espírito Santo de Pirenópolis.||Os agentes da Festa do Divino de Pirenópolis vêm incorporando outros ritos e representações, como as encenações de mascarados e cavalhadas||As Cavalhadas de Pirenópolis são considerada uma das mais expressivas do Brasil||Mesclada de festejos religiosos e profanos, é constituída de Novena, folias, procissão, missa, roqueira, mascarados, cavalhadas e pastorinhas||Festa do Divino em Pirenópolis.||Todas vestimentas são ornamentadas com plumas, metais polidos, pedras incrustadas, veludos, fitas e tecidos vistosos, e todos os cavaleiros sustentam longos mantos bordados||A riqueza das roupas é uma das característica da Festa do Divino de Pirenópolis||Para muitos as Cavalhadas são sinônimo da Festa do Divino Espírito Santo de Pirenópolis||As festas religiosas populares que permanecem vivas no Brasil, como é o caso da Festa do Divino, nada mais são que a reprodução das festas medievais européias||A Festa do Divino expõe diversas expressões religiosas e profanas de origens diversas||O culto ao Espírito Santo de épocas bastante remotas. Já na antiguidade, israelitas cultuavam o Espírito Santo nas festividades de Pentecostes||É uma das maiores manifestações de devoção ao Divino do Brasil, unindo o passado e o presente, envolve permanentemente toda a cidade, determinando os padrões de sociabilidade local||A cidade faz a festa e a festa faz a cidade. Por meio dela se marca o tempo, se reproduzem estruturas sociais e se conformam identidades coletivas e individuais||A Festa do Divino de Pirenópolis foi registrada como Patrimônio Cultural Imaterial Brasileiro, reconhecido pelo Iphan, em  2010||Esta festa foi instituída em Portugal pela Rainha Isabel de Portugal no século XIII||Durante a celebração ocorrem inúmeros  eventos e festejos que em todos os bairros da cidade||É uma celebração de origem portuguesa, disseminada no período colonial pelo território brasileiro||Uma profusão de folclores tão rica que contagia tanto o leigo como o erudito, o profano e o religioso, servindo a todos em todas as suas formas e línguas||É uma das maiores manifestações de devoção ao Divino do Brasil, unindo o passado e o presente, envolve permanentemente toda a cidade, determinando os padrões de sociabilidade local||A Festa do Divino se destaca pela religiosidade popular da cidade, onde os moradores se preparam durante um ano inteiro para festejar e participar da histórica celebração||Festa do Divino em Pirenópolis.||Festa do Divino em Pirenópolis.||Festa do Divino em Pirenópolis.||Festa do Divino em Pirenópolis.||Festa do Divino em Pirenópolis.||Festa do Divino em Pirenópolis.||Festa do Divino em Pirenópolis.||Festa do Divino em Pirenópolis.||Festa do Divino em Pirenópolis.||Festa do Divino em Pirenópolis.||Anos e anos de fé e dedicação são características da Festa do Divino Espírito Santo em Pirenópolis||Ambos em pura prata. Foram mandados fazer em 1826 pelo Padre Manuel Amâncio da Luz, quando Imperador||Representação da Luta entre Mouros e Cristãos na idade média. Encenada em Pirenópolis desde 1826"
100,", Os Saberes e Práticas Associados ao Modo de Fazer Bonecas Karajá - patrimônio imaterial inscrito pelo Iphan, em 2012, no Livro de Registro dos Saberes - são uma referência cultural significativa para o povo Karajá e representam, muitas vezes, a única ou a mais importante fonte de renda das famílias. Atualmente, a confecção dessas figuras de cerâmica, denominadas na língua nativa de ritxòkò (na ala feminina) e/ou ritxòò (na ala masculina), é uma atividade exclusiva das mulheres e envolve técnicas e modos de fazer considerados tradicionais e transmitidos de geração em geração. Mais do que objetos meramente lúdicos, as ritxòkò são consideradas representações culturais que comportam significados sociais profundos, reproduzindo o ordenamento sociocultural e familiar dos Karajá., Com motivos mitológicos, de rituais, da vida cotidiana e da fauna, as bonecas karajá são importantes instrumentos de socialização das crianças que se vêem nesses objetos e aprendem a ser Karajá, reebem ensinamentos, conhecem as técnicas e saberes associados à sua confecção e usos. Por representarem cenas do cotidiano e dos ciclos rituais, elas portam e articulam sistemas de significação da cultura Karajá. A pintura e a decoração das cerâmicas estão associadas, respectivamente, à pintura corporal dos Karajá e às peças de vestuário e adorno consideradas tradicionais. Indicativos de categorias de gênero, idade e estatuto social, a pintura e os adereços complementam a representação figurativa das bonecas, que identificam então “o Karajá” homem ou mulher, solteiro ou casado, com todos os atributos que “a cultura” cria para distinguir convencionalmente essas categorias.||Mais do que objetos meramente lúdicos, as ritxòkò são consideradas representações culturais.||Por representarem cenas do cotidiano e dos ciclos rituais, elas portam e articulam sistemas de significação da cultura Karajá||A confecção das bonecas é uma atividade exclusiva das mulheres e envolve técnicas e modos de fazer considerados tradicionais e transmitidos de geração em geração.||O processo (criativo) de produção das ritxòkò  ocorre por meio de um jogo de elaboração e variação de formas e conteúdos determinados||Mais do que objetos meramente lúdicos, as ritxòkò são consideradas representações culturais que comportam significados sociais profundos||uma série de fatores, como a experiência, a habilidade técnica e a preferência estética da ceramista influenciam na produção||A cinza funciona como antiplástico no processo de confecção||A argila ou o barro - suù é a matéria-prima principal no processo de confecção||O modo de fazer ritxòkò consiste, basicamente, nas seguintes etapas: extração do barro; preparação do barro; modelagem das figuras; queima e pintura||A Ritxòkò - Expressão Artística e Cosmológica do Povo Karajá foi inscrita no Livro de Registro das Formas de Expressão, em 2012||Com motivos mitológicos, de rituais, as bonecas Karajá são importantes instrumentos de socialização das crianças que se vêem nesses objetos e aprendem a ser Karajá||O processo criativo de produção das ritxòkò ocorre por meio de um jogo de elaboração e variação de formas e conteúdos determinado por uma série de fatores||A pintura e a decoração das cerâmicas  estão associadas, respectivamente, à pintura corporal dos Karajá e às peças de vestuário e adorno consideradas tradicionais||Por representarem cenas do cotidiano e dos ciclos rituais, elas portam e articulam sistemas de significação da cultura Karajá||Vale a experiência, a habilidade técnica e a preferência estética da ceramista para a combinação||A decoração das cerâmicas estão associadas, respectivamente, à pintura corporal dos Karajá e às peças de vestuário||Indicativos de categorias de gênero, idade e estatuto social, a pintura e os adereços complementam a representação figurativa das bonecas||A pintura e a decoração das cerâmicas estão associadas, respectivamente, à pintura corporal dos Karajá e às peças de vestuário e adorno consideradas tradicionais||A produção das ritxòkò ocorre na elaboração de formas e conteúdos determinado por uma série de fatores, como a experiência, a habilidade técnica e a preferência estética||Indicativos de categorias de gênero, idade e estatuto social, a pintura e os adereços complementam a representação figurativa das bonecas||Ritxókó - as bonecas Karajá||A confecção de bonecas traduz o modo de ser do grupo, sua aparência, seus sentimentos, sua tradição||Atualmente, a confecção das figuras de cerâmica, denominadas na língua nativa de ritxòkò (na ala feminina) e/ou ritxòò (na ala masculina)||Por representarem cenas do cotidiano e dos ciclos rituais, elas portam e articulam sistemas de significação da cultura Karajá"
101,"A Ritxòkò - Expressão Artística e Cosmológica do Povo Karajá foi inscrita no Livro de Registro das Formas de Expressão, em 2012, e é uma referência cultural significativa para o povo Karajá e representam, muitas vezes, a única ou a mais importante fonte de renda das famílias. Atualmente, a confecção dessas figuras de cerâmica, denominadas na língua nativa de ritxòkò (na ala feminina) e/ou ritxòò (na ala masculina), é uma atividade exclusiva das mulheres e envolve técnicas e modos de fazer considerados tradicionais e transmitidos de geração em geração., , A pintura e a decoração das cerâmicas estão associadasà pintura corporal dos Karajá e às peças de vestuário e adorno consideradas tradicionais. Indicativos de categorias de gênero, idade e estatuto social, a pintura e os adereços complementam a representação figurativa das bonecas, que identificam então “o Karajá” homem ou mulher, solteiro ou casado, com todos os atributos que a culturacria para distinguir convencionalmente essas categorias., O processo (criativo) de produção das Ritxòkò ocorre por meio de um jogo de elaboração e variação de formas e conteúdos determinado por uma série de fatores, como a experiência, a habilidade técnica e a preferência estética da ceramista pela combinação dos motivos temáticos e dos diversos padrões de grafismo aplicados, a função do objeto, o acesso às matérias-primas,entre outros aspectos., , , \r\n, \r\n, \r\n, \r\n,||Mais do que objetos meramente lúdicos, as ritxòkò são consideradas representações culturais.||Por representarem cenas do cotidiano e dos ciclos rituais, elas portam e articulam sistemas de significação da cultura Karajá||A confecção das bonecas é uma atividade exclusiva das mulheres e envolve técnicas e modos de fazer considerados tradicionais e transmitidos de geração em geração.||O processo (criativo) de produção das ritxòkò  ocorre por meio de um jogo de elaboração e variação de formas e conteúdos determinados||Mais do que objetos meramente lúdicos, as ritxòkò são consideradas representações culturais que comportam significados sociais profundos||uma série de fatores, como a experiência, a habilidade técnica e a preferência estética da ceramista influenciam na produção||A cinza funciona como antiplástico no processo de confecção||A argila ou o barro - suù é a matéria-prima principal no processo de confecção||O modo de fazer ritxòkò consiste, basicamente, nas seguintes etapas: extração do barro; preparação do barro; modelagem das figuras; queima e pintura||A Ritxòkò - Expressão Artística e Cosmológica do Povo Karajá foi inscrita no Livro de Registro das Formas de Expressão, em 2012||Com motivos mitológicos, de rituais, as bonecas Karajá são importantes instrumentos de socialização das crianças que se vêem nesses objetos e aprendem a ser Karajá||O processo criativo de produção das ritxòkò ocorre por meio de um jogo de elaboração e variação de formas e conteúdos determinado por uma série de fatores||A pintura e a decoração das cerâmicas  estão associadas, respectivamente, à pintura corporal dos Karajá e às peças de vestuário e adorno consideradas tradicionais||Por representarem cenas do cotidiano e dos ciclos rituais, elas portam e articulam sistemas de significação da cultura Karajá||Vale a experiência, a habilidade técnica e a preferência estética da ceramista para a combinação||A decoração das cerâmicas estão associadas, respectivamente, à pintura corporal dos Karajá e às peças de vestuário||Indicativos de categorias de gênero, idade e estatuto social, a pintura e os adereços complementam a representação figurativa das bonecas||A pintura e a decoração das cerâmicas estão associadas, respectivamente, à pintura corporal dos Karajá e às peças de vestuário e adorno consideradas tradicionais||A produção das ritxòkò ocorre na elaboração de formas e conteúdos determinado por uma série de fatores, como a experiência, a habilidade técnica e a preferência estética||Indicativos de categorias de gênero, idade e estatuto social, a pintura e os adereços complementam a representação figurativa das bonecas||Ritxókó - as bonecas Karajá||A confecção de bonecas traduz o modo de ser do grupo, sua aparência, seus sentimentos, sua tradição||Atualmente, a confecção das figuras de cerâmica, denominadas na língua nativa de ritxòkò (na ala feminina) e/ou ritxòò (na ala masculina)||Por representarem cenas do cotidiano e dos ciclos rituais, elas portam e articulam sistemas de significação da cultura Karajá"
102,", A Romaria de Carros de Boida Festa do Divino Pai Eterno de Trindade, em Goiás, foi reconhecida como Patrimônio Cultural Brasileiro, em 2016, e inscrita no Livro de Registro das Celebrações. O epicentro da Romaria é em Trindade, mas os devotos saem de diversas cidades de Goiás e de estados próximos, do Centro-Oeste e do Sudeste. Desde o século XIX, milhões de devotos participaram da Festa que acontece, anualmente, na cidade., A identidade cultural de um povo, muitas vezes, está ligada à sua crença e, principalmente, à simbologia que envolve a tradição das práticas e celebrações religiosas. A devoção ao Divino Pai Eterno, em Trindade, começou por volta de 1840, quando um casal encontrou um medalhão entalhado com a imagem do Pai, do Filho e do Espírito Santo. Desde então, muitas pessoas peregrinam até a região, caracterizando esta prática como imersa no catolicismo popular., A preparação para a Romaria envolve diversas atividades, como reparos eventuais nos carros de bois, preparação dos mantimentos que serão consumidos, ofertados ou vendidos durante o trajeto, entre outros. Essas atividades são executadas por homens e mulheres de acordo com suas práticas no cotidiano da vida rural. Os carros de bois eram, antigamente, o principal meio de transporte das famílias das zonas rurais, em suas viagens de longas distâncias., Durante a Romaria, os carreiros, candeeiros e demais participantes se colocam na posição de herdeiros, guardiões e transmissores de costumes da vida rural, que vem sofrendo, nas últimas décadas, profundas mudanças com o advento da modernização que avança na região. Ao usarem um meio de transporte tido por anacrônico na atualidade, rememoram os tempos dos seus antepassados e até mesmo o da infância e reconstroem, ano após ano, a tradição da vida rural e das devoções., , \r\n, \r\n, \r\n, , \r\n, \r\n, \r\n, \r\nContato,||Romaria de Carros de Boi da Festa do Divino Pai Eterno de Trindade (GO)||Romaria de Carros de Boi da Festa do Divino Pai Eterno de Trindade (GO)||Romaria de Carros de Boi da Festa do Divino Pai Eterno de Trindade (GO)||Romaria de Carros de Boi da Festa do Divino Pai Eterno de Trindade (GO)||Romaria de Carros de Boi da Festa do Divino Pai Eterno de Trindade (GO)||Romaria de Carros de Boi da Festa do Divino Pai Eterno de Trindade (GO)||Romaria de Carros de Boi da Festa do Divino Pai Eterno de Trindade (GO)||Romaria de Carros de Boi da Festa do Divino Pai Eterno de Trindade (GO)||Romaria de Carros de Boi da Festa do Divino Pai Eterno de Trindade (GO)"
