,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Descrição,Direitos,Identifier,Relação,Título
22,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||minas gerais | mobiliário | religião | rococó | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Oratório de origem mineira, de composição elaborada, em linhas sinuosas, com decoração de gosto rococó, em angras, cês, êsses, lingüetas e palmetas D. José; a pintura, em motivos florais, encontra-se um pouco danificada pelas repinturas posteriores; datável do último quartel do século XVIII.||Cês, angras, êsses, palmetas D. José, lingüetas, concheados, volutas, acantos, frisos dourados e molduras; pintura em motivos florais, com rosas e ramos; compoteira.||Oratório em cedro, composto de várias partes entalhadas, recortadas, encaixadas e fixadas por cravos; policromia em vermelho, branco, amarelo, azul e verde; douramento; porta com quatro dobradiças de ferro batido, fechadas por duas tramelas.||Oratório retangular, de base emoldurada, com registro inferior em uma gaveta emoldurada, pintada de vermelho, com laterais brancas; com moldura vermelha e branco acima; parte central com porta de duas bandas, de recorte arqueado superior; cada banda com três almofadas reentrantes, com retângulo central em vermelho e azul, frisado de dourado; batente emoldurada e frisada de dourado; contorno em frisos dourados e montantes brancos, com as quinas emolduradas e frisadas em dourado; abas laterais recortadas em curvas, delimitadas por angras, cês, esses, volutas e acantos em dourado, com o interior branco; arremate superior em cimalha azul com frisos dourados, encimada por uma palmeta vermelha, com lingüeta dourada ao meio e contorno em cês, volutas e frisos dourados; laterais marmorizadas em vermelho e amarelo; faces internas da porta, com pintura de compoteira vermelha, de alças curvas, com arranjo de flores vermelhas e ramos verdes; moldura interna em recortes curvos e vazados com angras, êsses e cês dourados; com a parte superior em três cês dourados, com palmeta central e molduras irregulares nos cantos, contornadas por friso dourado e de fundo vermelho; fundo, laterais e forro do oratório, com pintura em motivos florais vermelhos com ramos verdes, delimitada por ramicelos e estrias verdes, sobre fundo azul. Atualmente tem em seu interior a imagem de São José de Botas (no 417).","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",418,Ficha Cadastral de 26-03-1975; Ficha de Conservação e Restauração de 22-10-1990; Ficha Topográfica 1991-1996.,Oratório
23,[Minas Gerais],02 Artes Visuais/Cinematográfica > 02.3 Escultura||escola mineira | escultura | religião | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Imagem de provável origem mineira, datável do século XVIII ou XIX, de cunho bem popular, com rosto inexpressivo, composição sem movimento, com panejamento em pregas duras e confusas, principalmente na disposição do manto; asas bem retas; os cabelos, terminados em volutas, lembram as imagens de fins do século XVII e início do XVIII.||São Miguel tem seu culto muito difundido em Minas Gerais. Sua devoção, no período colonial, vinculou-se às irmandades para o resgate das Almas do Purgatório, daí o nome São Miguel e Almas, tão comum em Minas Gerais. A sua representação insere-se dentro de uma tradição hagiográfica que resulta na formula de mesclar duas cenas em uma só: a pesagem das almas e a peleja contra o demônio; na primeira, a pesagem das almas, S. Miguel traz uma balança, em cujos pratos pode se vê, às vezes, pequenas alminhas esculpidas; na outra cena, alusiva a uma passagem do Apocalipse (12: 7-8), é o São Miguel guerreiro, empunhando uma espada ou lança investida contra o demônio que aparece sob seus pés (aqui não tem), e que a imaginação dos artistas emprestou as mais fantasiosas feições.||Peça em madeira esculpida, composta por várias pequenas partes encaixadas e pregadas; dourada e policromada nas cores verde, vermelho, bege e preto; base com pino de ferro.||Figura masculina, jovem, de pé, em posição frontal; cabeça ligeiramente inclinada à frente; olhos abaixados; cabelos em mechas grossas com as pontas em volutas; braço direito erguido, com a mão de segurar; braço esquerdo estendido para o lado, abaixado, com a mão no gesto típico de segurar a balança; pernas retas, com os pés quase em paralelo, estando o esquerdo com o calcanhar suspenso. Vestido com armadura de gola em “V”, com recortes semicirculares, dourados; ao centro relevo de flor quadripartida, rodeada por frisos dourados e botões esféricos; na barra, elemento fitomorfo; saiote de pregas sobrepostas, em verde com detalhes dourados, terminados em franjas vermelhos; calçado com botas de cano alto, verdes, com dobras vermelhas com firmal à altura dos joelhos; manto vermelho jogado para trás, enrolado no ombro direito; usa luvas verdes, com dobras douradas nos punhos; sobre a cabeça, um capacete com tapa-orelhas, arrematado por penacho, com decoração em volutas, frisos, botões esféricos, em verde com detalhes dourados; par de asas retas, alongadas, com desenho das penas em relevo. Base atributiva, com tufos de nuvens esverdeadas e a parte inferior retangular, emoldurada.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",410,"Ficha Cadastral de 26-03-1975; Ficha de Conservação e Restauração de 08-02-1990; Ficha Topográfica 1991-1998. JUSTINIANO, Fátima A. de S. Restauração de uma escultura policromada. São Miguel Arcanjo. Belo Horizonte, CECOR, 1990. MEGALE, Nilza Botelho. Santos do Povo Brasileiro. Petropólis/RJ, Vozes, 2002 PASTOREAU, Michel. La Biblia y los Santos. Madrid, Alianza Editorial, 1996. ROIG, Juan Ferrando. Iconografía de los Santos. Barcelona, Ediciones Omega, 1950",Escultura Religiosa||São Miguel
24,[Minas Gerais],02 Artes Visuais/Cinematográfica > 02.3 Escultura||escola mineira | escultura | religião | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Imagem datável do século XVIII, 2ª metade, de composição erudita, panejamento farto e movimentado; rosto expressivo, de cabelos e barba em mechas onduladas e estriadas, olhos com recortes alongados, pálpebras bem demarcadas, boca de lábios pequenos, recortados, orelhas planas e mãos com dedos finos. De provável origem mineira.||A imagem de Santo André bem como o seu culto não são muito comuns em Minas Gerais. Bem poucas são as imagens conhecidas, em igrejas mineiras do período colonial, relativas a essa representação. Santo André, como um dos primeiros discípulos de Jesus, juntamente com seu irmão Pedro, é geralmente representado vestido com uma túnica e manto largos, indumentária comum aos apóstolos; como atributo pessoal tema cruz em “X”, conhecida como Cruz de Santo André, e que faz alusão ao seu instrumento de martírio; o livro que traz na mão é também um atributo comum aos apóstolos.||Peça esculpida em três partes de madeira, com encaixes nos travessões da cruz; dourada e policromada em vermelho, ocre, bege, marrom, azul, branco e verde.||Figura masculina, meia-idade, de pé, em posição frontal, cabeça inclinada à esquerda; calvo no alto do crânio, com cabelos caídos por trás em mechas sinuosas e estriadas; e um topete na frente, em mechas onduladas; barba longa, em mechas onduladas, com furo abaixo do queixo; bigode saindo das narinas; braço direito flexionado para o lado, mão segurando um travessão da cruz que tem por trás; braço esquerdo flexionado lateralmente, mão segurando um livro fechado, que é pressionado junto ao corpo; livro de capa bege, com fechos; perna esquerda flexionada e a direita reta; pés posicionados à direita. Vestido de túnica longa, vermelha, cingida na cintura, com padronagem em dourado; capa ocre, envolvendo os ombros e enrolada na parte central do corpo, com resquícios de padronagem fitomorfa; calçado com sapatos marrons. Tem por trás uma cruz em “X”, com travessões imitando tronco desgalhado de árvore, em tons marrons. Base de formato quadrado, irregular, com chanfros na face esquerda; marmorizada em azul, branco e preto.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",409,"Ficha Cadastral de 26-03-1975; Ficha de Conservação e Restauração 08-02-1990; Ficha Topográfica 1991-1997. 1 foto P&B no 241 e 6 fotos coloridas grandes. ROIG, Juan Ferrando. Iconografia de los Santos. Barcelona, Ediciones Omega, 1950",Escultura Religiosa||Santo André
25,Brasil | Minas Gerais,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||minas gerais | século xix | utensílio doméstico,Atanásio Carneiro da Silva,Daniel Mansur,2007.0||1814 | Século XIX,"Peça de cerâmica rústica, com inscrição indicando autor, Atanázio Carneiro da Silva, e a data, 1814.||Cerâmica em barro modelado e queimado||Moringa de bojo periforme, liso; com inscrição seguida de assinatura junto à boca.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",401,Peça feita por Atanázio Carneiro da Silva em 1814,Moringa (bilha)
26,[Portugal],02 Artes Visuais/Cinematográfica > 02.6 Pintura||escola portuguesa. | pintura | religião | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Pintura de gosto barroco, datável da primeira metade do século XVIII, de boa qualidade técnica, com tratamento proporcional das figuras, de contorno bem delineado, em traços firmes, com sombreado uniforme e suave definindo a musculação dos braços, pernas e dobras do panejamento. Provavelmente trata-se de obra originária de Portugal ou feita na colônia por artista português.||SÃO MIGUEL ARCANJO – São Miguel tem seu culto muito difundido em Minas Gerais. Sua devoção, no período colonial, vinculou-se às irmandades para o resgate das Almas do Purgatório, daí o nome São Miguel e Almas, tão comum em Minas Gerais. A sua representação insere-se dentro de uma tradição hagiográfica que resulta na formula de mesclar duas cenas em uma só: a pesagem das almas e a peleja contra o demônio; na primeira, a pesagem das almas, S. Miguel traz uma balança, em cujos pratos pode se vê, às vezes, pequenas alminhas esculpidas; na outra cena, alusiva a uma passagem do Apocalipse (12: 7-8), é o São Miguel guerreiro, empunhando uma espada ou lança investida contra o demônio que aparece sob seus pés. (2), (3) e (4)||Pintura em tempera oleosa, nos tons azul, vermelho, bege, ocre, grisalho, marrom, branco, verde, amarelo, branco e preto. Moldura em quatro partes de madeira, dourada e policromada em vermelho, azul e branco; com argola de ferro para fixação do quadro na parede.||Pintura representando o arcanjo São Miguel, em posição frontal, de pé, com a cabeça voltada à esquerda, de olhos abaixados; cabelos longos, marrons; tem o braço direito flexionado ao alto, mão segurando um bastão fino, terminado em cruz ao alto, e, inferiormente, em lança, cuja ponta está dentro da boca do demônio; braço esquerdo estendido lateralmente, com a mão portando uma balança em cujos pratos duas alminhas aparecem ardendo nas chamas; tem a perna esquerda reta, com o pé em meio perfil; perna direita dobrada, com o pé pisoteando um demônio, com asas de morcego e rabo, pés e chifre de um animal fantástico. S. Miguel veste uma couraça azul escuro, com barra em recortes de lambrequins e franjas marrons; golas em “V” e ombros em pregas marrons com detalhes brancos; saiote esverdeado; capa vermelha, caída por trás; espada na bainha, presa por uma faixa vermelha; calçado em botas de cano alto, azuis, com dobras vermelhas junto aos joelhos e abertura que deixa á vista os dedos dos pés; sobre a cabeça um capacete azul, de dobra em bico à frente, com plumagem vermelha e azul. Em cada canto inferior aparece parte de uma alminha entre chamas. São Miguel apresenta asas grandes, abertas, em tom azul com detalhes brancos. Envolvimento em nuvens marrons, deixando um clarão ocre ao meio, centrando a figura. Moldura em frisos vermelhos, dourado e azul.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",396,"Ficha Cadastral de 26-03-1975; Ficha para Conservação e Restauração de 19-10-1990; Ficha Topográfica de 14-05-1991, agosto de 1994 e 1996, junho de 1997. (1)RAMIREZ, Ana Cecília Eduarte e COSTA, Zozilena de Fátima F. São Miguel Arcanjo: uma apreciação estética e técnica de restauração. Cecor, Belo Horizonte, 1986. Trabalho apresentado ao Cecor como requisito parcial para a obtenção do certificado de Pós-Graduação Latu Senso. (2) MEGALE, Nilza Botelho. Santos do Povo Brasileiro. Petropólis/RJ, Vozes, 2002 (3) PASTOREAU, Michel. La Biblia y los Santos. Madrid, Alianza Editorial, 1996. (4) ROIG, Juan Ferrando. Iconografía de los Santos. Barcelona, Ediciones Omega, 1950",Pintura Religiosa||São Miguel
27,,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII," Baú em pequenas dimensões, com decoração em casco de tartaruga, realçado pela ferragem, em prata lavrada, com motivos decorativos ao gosto do barroco, da 1ª metade do século XVIII.||Serpentes, acantos, flores, ramos, botões de flor, recortes curvos, garra de animais; Águia bicéfala coroada, símbolo das Casas da Áustria e da Rússia.||Móvel em madeira recortada, revestida por casco de tartaruga, composta de 20 partes; casco colado sobre a madeira; ferragem em prata martelada, repuxada, cinzelada e gravada, fixadas por parafusos e tarraxas internas.||Baú pequeno, retangular, em madeira revestida por casco de tartaruga, com a tampa abaulada, provida de uma alça curva de prata, com seu espelho também em prata, retangular de borda rendilhada, decorado em flores e folhas, centrando uma inscrição; cantoneiras em prata, de recorte foliforme, com desenhos fitomorfos ao centro; duas dobradiças em prata, com hastes longas, de recortes curvos e dois puxadores frontais em prata, em forma de botões de flor; Caixa com alças laterais de prata, em forma de serpentes abocanhando um botão de flor, suspensas por pináculos, com o espelho em recortes curvos; cantoneiras em prata, de recortes curvos, com ornatos de motivos fitomorfos; frente com fechadura, espelho em forma de águia bicéfala, coroada, também em prata; Possui quatro pés em garra de animal, de prata; Interior na madeira.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",342,Ficha Cadastral de 25-03-1975; Ficha de Conservação e Restauração 16-10-1990; Ficha Topográfica 1991-1996; Foto P&B nº 367.,Baú
28,Brasil | Minas Gerais,06 Trabalho > 06.11 Maquinaria||minas gerais | mineração | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XIX,"Trata-se de um exemplar de engenho de triturar minério introduzido no Brasil no século XIX pelo engenheiro alemão Barão de Eschwege.||Estrutura em várias partes de madeira pregada, com reforços de ferro fundido e batido; raios da roda presos por chapas de ferro; eixo com quatro aros de ferro; pás dos pilões e do eixo em ferro fundido; cabeças dos pilões em ferro fundido; cabeças do eixo em ferro fundido; pinos de ferro travam atualmente a movimentação dos pilões.||Engenho composto por uma roda grande, tendo por fora os compartimentos (caixas) para receber a água e por dentro seis pares de raios que se prendem um grosso eixo cilíndrico, sustentado, nos extremos, por dois cavaletes, onde se apóia sobre duas pedras. Na parte central, o eixo faz movimentar, através de um sistema de pás, a oito grandes pilões de madeira, de seção quadrangular, com as cabeças inferiores em ferro. Estes pilões se movimentam dentro de uma estrutura retangular, com quatro traves verticais e dois pares de traves horizontais.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",314,"Ficha de Catalogação de 23-3-1975; Ficha de Conservação e Restauração de 12-10-1990; Ficha Topográfica de 08-05-1991 e agosto de 1996. 31 fotos P&B (pequenas, médias e grandes) números 364, 386, 387, 388, 389, 390, 391, 392, 393, 394, 396, 397, 399, 398, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 411, 412, 413, 414, 415, 416. MATHIAS, Herculano Gomes. A Coleção da Casa dos Contos de Ouro Preto. Rio de Janeiro, Arquivo Nacional, 1966, p. 17.",Engenho de Triturar minério
29,,06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||fundição | minas gerais | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Peça de feição rústica, com característica do século XVIII, em madeira robusta e ferro fundido; provavelmente se trata de um molde para fabricação de cadinhos, utilizados em fundição; de provável origem mineira.||Objeto em três partes de madeira recortada e articulada; fixação por chapas e dobradiças em ferro fundido e batido; fixação das barras de ferro por cravos; cone atarraxado à alça da haste superior.||Objeto composto de dois blocos articulados de madeira que, quando fechados, formam um cubo; possui o miolo escavado em forma de um semicone, que formam um cone quando fechado. Os blocos encontram-se unidos por duas chapas de ferro, articulados por dobradiças e travados por uma lingüeta com ganchos e pinos; superfície superior revestida por uma chapa de ferro, em cujo centro entra um cone de madeira, com revestimento superior de ferro, preso a uma haste de ferro transversal, com alça ao meio e uma barra vertical em cada extremo, que se encaixa em canaletas, nas laterais dos blocos.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",308,Ficha Cadastral de 23-03-1975; Ficha de Conservação e Restauração de 11-10-1990; Ficha Topográfica 1991-1996.,Molde para cadinho (provável)
30,,05 Interiores > 05.4 Objeto de Iluminação||iluminação | minas gerais | século xix,Não identificado,Daniel Mansur,2007.0||Século XIX,"Lanterna de mineiro, datável do século XIX, de provável origem européia, utilizada em interior de minas.||Recortes curvos, torneado, orifícios formando desenhos geométricos.||Peça em latão (folha de flandres) prensado, desmontável em duas partes, fixadas por parafuso e tarraxa em forma de borboleta; haste em ferro fundido, soldada; pega em madeira torneada; possuía uma vidraça de vidro no bojo superior.||Lanterna de base circular, com bojo inferior, que serve como reservatório do combustível, cilíndrico; bojo superior, que serve como refletor, de formato cilíndrico horizontal, com a boca mais larga, vazada em orifícios; laterais também vazadas em orifícios; interior vazado em orifícios com bicos; parte superior com um vazado, coberto por alça larga, encurvada; por trás eleva-se uma haste, terminada em uma pega cilíndrica horizontal em madeira; parece que possuía uma vidraça articulada.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",301,Ficha Cadastral de 23-03-1975; Ficha de Conservação e Restauração 10-10-1990; Ficha Topográfica 1991-1996.,Lanterna
31,,05 Interiores > 05.4 Objeto de Iluminação||iluminação | minas gerais | século xix,Não identificado,Daniel Mansur,2007.0||Século XIX,"Lampadário de gosto clássico, de porte elegante, datável do século XIX, de provável origem européia.||Frisos, nós periformes, recortes curvos, pináculo.||Lampadário em bronze fundido (haste e alça) e prensado (o seu bojo), desmontável em nove partes, encaixadas e atarraxadas entre si; alimentado a querosene.||Lampadário de base circular, campanulada e frisada, seguida de curta coluna torneada, em nó periforme; centro com bojo periforme, frisado, com estrangulamento ao meio e quatro bicos curvos inferiores; superiormente, termina em uma haste cilíndrica, fina e comprida, onde se encaixam um suporte quadripartido, com dois ganchos, seguido de um braço curto e sinuoso; ao alto uma alça elíptica, com torneado e frisos, arrematada por um pináculo.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",299,Ficha Cadastral de 23-03-1975; Ficha de Conservação e Restauração de 10-10-1990; Ficha Topográfica 1991-1997.,Lampadário
32,[Brasil],05 Interiores > 05.4 Objeto de Iluminação||iluminação | minas gerais | século xix,Não identificado,Daniel Mansur,2007.0||Século XIX | Século XVIII,"Candeia rústica, em ferro batido, de desenho simples; de provável origem mineira, século XVIII/XIX.||Recortes curvos.||Candeia em ferro fundido e batido, em três partes encaixadas.||Candeia de bojo semi-esférico, em formato de concha, com um bico; lado oposto com uma haste curva, serrilhada na borda interna, onde corre uma alça de sustentação, de recortes curvos ao alto, onde se prende um gancho de secção retorcida, com a extremidade em “tau”.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",292,Ficha Cadastral de 23-03-1975; Ficha de Conservação e Restauração de 11-10-1990; Ficha Topográfica 1991-1996.,Candeia
33,Goa | India,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||instrumento de precisão | minas gerais | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Peça originária de Goa, antiga colônia portuguesa na Índia, datável do século XVIII, com decoração evocando temas da mitologia indoeuropéia, como cavalos e cães de corpos terminados em cauda de peixe e figuras humanas fitomorfas.||Frisos em zigue-zague e de escamas; cavalos com escamas e cauda de peixes; cães ou dragões com cauda de peixe; figuras de homens com corpo fitomorfo; peixes com motivos fitomorfos; compoteira, cabeças de animal (leões).||Peça em bronze fundido e cinzelado; desmontável em quatro partes; partes decoradas soldadas.||Estojo com bojo de tronco cônico, circundado por frisos em zigue-zague e de escamas; tampa circular, presa posteriormente por uma dobradiça com a base terminada, junto ao bojo, em três cabeças de animal fantástico, unidas por folhagens; e, na tampa, por dois animais com a cabeça de cão (ou dragão) com cauda de peixe; fecho em formato de cavalo zoomorfo que se encaixa em um pino situado no bojo; e se prende, na tampa, em outro cavalo com corpo terminado em cauda de peixe; a tampa possui ainda uma alça curva, decorada em duas cabeças de peixe com motivos fitomorfos, de cujas bocas sai um ramo sustentando uma compoteira, que serve de pega; a alça é sustentada por duas figuras de homem com capacete e busto fitomorfo, com vazados ao centro. Interiormente possuí outros três pesos (de 8, 4 e 2 marcos), também de formato em tronco cônico, com frisos lisos.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",265,"Ficha Cadastral de 22-03-1975; 4 Fichas de Conservação e Restauração 05-10-1990; 4 Fichas Topográfica 1991-1996; 2 Fotos P&B nos 320, 321 e 323.",Estojo de pesos
34,,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||instrumento de precisão | minas gerais | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XIX | Século XVIII,"Balança de mesa para pesagem de ouro, de mecanismo mais refinado, em bronze e ferro, datável do século XVIII ou XIX, de provável fabricação européia; pode ter pertencido à Casa de Fundição de Sabará.||Recortes curvos, frisos, pináculos||Balança com a coluna, pedal e o braço em bronze fundido, em várias partes atarraxadas e encaixadas; braço com o fiel e a haste em ferro fundido; corrente em ferro; pratos em bronze prensado, corda de algodão; Mesa em madeira avermelhada, recortada, composta por 14 partes encaixadas e pregadas; puxador torneado.||Balança composta por uma coluna de fuste cilíndrico, dividido em cinco partes por nós frisados; parte inferior torneada, com uma espécie de pedal, lanceolado, com uma alavanca móvel no extremo, onde se insere uma esfera em que se prende um cordão branco, que faz mover o pedal, e que sobe até o alto da coluna; partes seguintes da coluna lisas, o inferior com uma abertura central onde se aloja pequena roldana por onde corre o cordão anterior; parte superior em elemento elíptico, arrematado por pináculo, em cujo meio move-se um braço de extremos curvos; em um se prende o cordão que sobe do pedal; no outro, fixa-se uma haste terminada em dois círculos vazados, com a parte interior reta, em cujo interior move o fiel da balança, esse terminado em forma de pináculo que se alinha a outro, mas fixo, que desce da parte superior da haste; braço da balança corre perpendicular, reto, arredondado, com elementos elípticos arrematados por pináculos nos extremos, onde se prendem as correntes que sustentam os pratos; ao meio um elemento retangular, de onde se eleva o fiel; Pratos em formato de calotas semi-esféricas, fixados por três correntes cada um. Mesa da balança retangular, com a borda do tampo arredondada; frente com uma gaveta lisa, de puxador torneado e cantos frisados; interior com os dois cantos fechados por prateleiras verticais, com recortes retos nas bordas.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",261,Ficha Cadastral de 22-03-1975; Ficha de Conservação e Restauração 05-10-1990; Ficha Topográfica 1991-1996; 2 Fotos P&Bnos 308 e 317. Arquivo Museológico da Casa Borba Gato – ver especialmente Pasta 10 – “Documentos relativos à Casa de Fundição”.,Balança de mesa
35,[Portugal],06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||cunhagem | fundição | minas gerais | portugal | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||1670 | Século XVII,"Prensa manual, datada de 1670, de origem certamente portuguesa, com decoração de gosto renascentista tardio, com golfinhos (delfins), acantos e volutas.||Golfinhos, acantos, volutas, arrecadas, molduras e frisos; Armas da Coroa Portuguesa – escudo com sete castelos e cinco quinas.||Prensa possui o corpo em bronze fundido e cinzelado; a haste, o torno e as barras entre as colunas em ferro fundido; bolas da haste em chumbo derretido e moldado; base em bloco de madeira recortada.||Prensa em bronze, com a base vazada em semicírculo, seguida de uma parte retangular, de borda emoldurada, com as quinas abatidas; centro com duas colunas, ladeadas por golfinhos, ornados por acantos e volutas nas partes superiores; as colunas sustentam um elemento circular, emoldurado e frisado, com laterais em molduras retas terminadas em arrecadas; ostenta na frente, em relevo, as Armas da Coroa Portuguesa e uma data inscrita (1670); um grosso torno move-se em seu interior; entre as colunas possui uma barra móvel, em forma de “T”, que serve de apoio a uma outra barra, solta, que tem no seu centro um rebaixo circular, na direção onde desce o torno; este, por sua vez, é movido por uma comprida haste, de secção octogonal, afinada nos extremos, com bolas ovais de chumbo. A prensa se encontra encaixada em um grande bloco de madeira, de formato retangular, com reentrância quadrada ao meio, onde se aloja a sua base, que está presa por uma barra horizontal de madeira, que atravessa o bloco de ponta a ponta.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",244,"Ficha Cadastral de 22-03-1975; Ficha de Conservação e Restauração 04-10-1990; Ficha Topográfica 1991-1996. Foto P&B nº 309 (foto de autoria do fotógrafo Eugênio H. Silva, Diários Associados). Arquivo Museológico da Casa Borba Gato – ver especialmente Pasta 10 – “Documentos relativos à Casa de Fundição”. Reproduzida no livro: O Ouro no Brasil. (Coleção Arte e Cultura XI). De P. M. Bardi (org.). São Paulo. Banco Sudameris do Brasil, 1988, p. 37.",Prensa Manual
36,[Brasil],06 Trabalho > 06.6 Equipamento de Mineração||brasil | minas gerais | mineração | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XIX,"Bateia simples, em cobre, datável do século XIX, mas de uso até os dias atuais no garimpo do ouro; de provável origem mineira.||Bateia em cobre batido||Bateia circular cônica, de borda dobrada, toda lisa.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",200,Ficha Cadastral de 21-03-1975; Ficha de Conservação e Restauração 02-10-1990; Ficha Topográfica 1991-1994-1996.,Bateia
37,[Portugal],06 Trabalho > 06.6 Equipamento de Mineração||brasil | minas gerais | mineração | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||1771 | Século XVIII,"Almofariz brasonado, datado de 1771, decorado com frisos.||Armas da Coroa Portuguesa, com brasão coroado, tendo no interior os sete castelos e cinco quinas; cartela; frisos.||Peças em bronze fundido e cinzelado; alças do almofariz fundidas e soldadas.||Almofariz com bojo em tronco cônico, em forma de um sino, de base frisada; centro com duas alças cilíndricas, ligeiramente recurvadas; borda de boca larga, em frisos salientes; centro do bojo com a inscrição em relevo, “1771”, e, no lado oposto, as Armas da Coroa Portuguesa, dentro de uma cartela em relevo.
Mão de pilão cilíndrica, com a parte superior torneada em gomos, frisos e esfera; centro em nó simples; socador em forma de bulbo, com frisos simples.Almofariz com bojo em tronco cônico, em forma de um sino, de base frisada; centro com duas alças cilíndricas, ligeiramente recurvadas; borda de boca larga, em frisos salientes; centro do bojo com a inscrição em relevo, “1771”, e, no lado oposto, as Armas da Coroa Portuguesa, dentro de uma cartela em relevo.
Mão de pilão cilíndrica, com a parte superior torneada em gomos, frisos e esfera; centro em nó simples; socador em forma de bulbo, com frisos simples.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",190,Ficha Cadastral 21-03-1975; Ficha de Conservação e Restauração 01-10-1990; Ficha Topográfica 1991-1996 Fotos P&B nos 315 e 316. Arquivo Museológico da Casa Borba Gato – ver especialmente Pasta 10 – “Documentos relativos à Casa de Fundição”.,Almofariz com pilão
38,,01 Caça e Guerra > 01.4 Munição e Acessório||armaria | brasil | minas gerais | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XIX | Século XVIII,"Peça de confecção rústica, com características do século XVIII ou XIX, que era utilizada na região da mineração para guarda de pólvora.||Peça em tronco de coqueiro escavado, com um fundo postiço, tampa articulada por dobradiça e fecho de lingüeta em ferro fundido e batido; três aros em ferro fundido e batido; fixação da ferragem por cravos.||Objeto de formato cilíndrico, em madeira, escavado interiormente, circundado por três aros de ferro; um outro aparece por baixo; tampa provida de dobradiça e fecho de lingüeta, também de ferro.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",180,Ficha Cadastral 1975; Ficha de Conservação e Restauração 1990; Ficha Topográfica 1991-1996. Foto nº 314,Polvarinho
