,Abrangência/ Cobertura,Assunto/ palavras-chave,Descrição,Identifier,Tipo do recurso,Título
688,"Pará||Belém||-1,4515109296005662  -48,488576269073484||Não informado",Não encontrado.,IPHAN.jpg||IPHAN.jpg||IPHAN.jpg||IPHAN.jpg||IPHAN.jpg,Não encontrado.||Não informado,Conjunto Arquitetônico,Logo Bem Cultural||Logo Bem Cultural||Logo Bem Cultural||Logo Bem Cultural||Logo Bem Cultural
689,"Pará||Belém||-1,4526994369436066  -48,48874055437224||Não informado",Não encontrado.,Belém_PA_Conjunto tombado Av Nazareth_F119767 (1).jpg||Belém_PA_Conjunto tombado Av Nazareth_F119767 (1).jpg||Belém_PA_Conjunto tombado Av Nazareth_F119767 (1).jpg||Belém_PA_Conjunto tombado Av Nazareth_F119767 (1).jpg||Belém_PA_Conjunto tombado Av Nazareth_F119767 (1).jpg||Belém_PA_Conjunto tombado Av Nazareth_F119767 (1).jpg||Belém_PA_Conjunto tombado Av Nazareth_F119767 (1).jpg||Belém_PA_Conjunto tombado Av Nazareth_F119767 (1).jpg||Belém_PA_Conjunto tombado Av Nazareth_F119767 (1).jpg||Belém_PA_Conjunto tombado Av Nazareth_F119767 (1).jpg||Belém_PA_Conjunto tombado Av Nazareth_F119767 (1).jpg||Belém_PA_Conjunto tombado Av Nazareth_F119767 (1).jpg,Não encontrado.||Não informado,Conjunto Arquitetônico,"Conjunto arquitetônico tombado da Av. Nazareth, Belém, PA||Conjunto arquitetônico tombado da Av. Nazareth, Belém, PA||Conjunto arquitetônico tombado da Av. Nazareth, Belém, PA||Conjunto arquitetônico tombado da Av. Nazareth, Belém, PA||Conjunto arquitetônico tombado da Av. Nazareth, Belém, PA||Conjunto arquitetônico tombado da Av. Nazareth, Belém, PA||Conjunto arquitetônico tombado da Av. Nazareth, Belém, PA||Conjunto arquitetônico tombado da Av. Nazareth, Belém, PA||Conjunto arquitetônico tombado da Av. Nazareth, Belém, PA||Conjunto arquitetônico tombado da Av. Nazareth, Belém, PA||Conjunto arquitetônico tombado da Av. Nazareth, Belém, PA||Conjunto arquitetônico tombado da Av. Nazareth, Belém, PA"
690,"Pará||Belém||-1,4520193999999966  -48,4765278||Não informado",Não encontrado.,Museu Paraense Emilio Goeldi - Belém - PA (6).jpg||Museu Paraense Emilio Goeldi - Belém - PA (6).jpg||Museu Paraense Emilio Goeldi - Belém - PA (6).jpg||Museu Paraense Emilio Goeldi - Belém - PA (6).jpg||Museu Paraense Emilio Goeldi - Belém - PA (6).jpg||Museu Paraense Emilio Goeldi - Belém - PA (6).jpg||Museu Paraense Emilio Goeldi - Belém - PA (6).jpg||Museu Paraense Emilio Goeldi - Belém - PA (6).jpg||Museu Paraense Emilio Goeldi - Belém - PA (6).jpg,Não encontrado.||Não informado,Coleção,Museu Paraense Emílio Goeldi||Museu Paraense Emílio Goeldi||Museu Paraense Emílio Goeldi||Museu Paraense Emílio Goeldi||Museu Paraense Emílio Goeldi||Museu Paraense Emílio Goeldi||Museu Paraense Emílio Goeldi||Museu Paraense Emílio Goeldi||Museu Paraense Emílio Goeldi
691,"Goiás||Pilar de Goiás||-14,765637133712996  -49,579538161161516||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
692,"Pará||Belém||-1,4505744684961537  -48,50098752073702||Não informado",Não encontrado.,Merces - Belém - PA - Jorge (11).JPG||Merces - Belém - PA - Jorge (11).JPG||Merces - Belém - PA - Jorge (11).JPG||Merces - Belém - PA - Jorge (11).JPG||Merces - Belém - PA - Jorge (11).JPG||Merces - Belém - PA - Jorge (11).JPG,Não encontrado.||Não informado,Edificação,Igreja de Nossa Senhora das Mercês||Igreja de Nossa Senhora das Mercês||Igreja de Nossa Senhora das Mercês||Igreja de Nossa Senhora das Mercês||Igreja de Nossa Senhora das Mercês||Igreja de Nossa Senhora das Mercês
693,"Pará||Belém||-1,458619843216783  -48,50594156078739||Não informado",Não encontrado.,||||||||||||,Não encontrado.||Não informado,Edificação,||||||||||||
694,"Pará||Belém||-1,454488900000003  -48,505283299999995||Não informado",Não encontrado.,Belém - PA - Forte do Castelo - Forte do Presépio - Jorge  (4).JPG||Belém - PA - Forte do Castelo - Forte do Presépio - Jorge  (4).JPG||Belém - PA - Forte do Castelo - Forte do Presépio - Jorge  (4).JPG||Belém - PA - Forte do Castelo - Forte do Presépio - Jorge  (4).JPG||Belém - PA - Forte do Castelo - Forte do Presépio - Jorge  (4).JPG||Belém - PA - Forte do Castelo - Forte do Presépio - Jorge  (4).JPG||Belém - PA - Forte do Castelo - Forte do Presépio - Jorge  (4).JPG||Belém - PA - Forte do Castelo - Forte do Presépio - Jorge  (4).JPG||Belém - PA - Forte do Castelo - Forte do Presépio - Jorge  (4).JPG||Belém - PA - Forte do Castelo - Forte do Presépio - Jorge  (4).JPG,Não encontrado.||Não informado,Edificação,"Forte do Castelo, antigo Forte do Presépio, Belém, PA||Forte do Castelo, antigo Forte do Presépio, Belém, PA||Forte do Castelo, antigo Forte do Presépio, Belém, PA||Forte do Castelo, antigo Forte do Presépio, Belém, PA||Forte do Castelo, antigo Forte do Presépio, Belém, PA||Forte do Castelo, antigo Forte do Presépio, Belém, PA||Forte do Castelo, antigo Forte do Presépio, Belém, PA||Forte do Castelo, antigo Forte do Presépio, Belém, PA||Forte do Castelo, antigo Forte do Presépio, Belém, PA||Forte do Castelo, antigo Forte do Presépio, Belém, PA"
695,"Pará||Belém||-1,4550382405997724  -48,505720949094616||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
696,"Goiás||Pirenópolis||-15,852363900000018  -48,9588806||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Conjunto Arquitetônico,Logo Patrimônio Cultural
697,"Pará||Belém||-1,455791700000007  -48,504830600000005||Não informado",Não encontrado.,Sé - Belém - PA - Jorge.JPG||Sé - Belém - PA - Jorge.JPG||Sé - Belém - PA - Jorge.JPG||Sé - Belém - PA - Jorge.JPG||Sé - Belém - PA - Jorge.JPG,Não encontrado.||Não informado,Edificação,Igreja da Sé||Igreja da Sé||Igreja da Sé||Igreja da Sé||Igreja da Sé
698,"Goiás||Pirenópolis||-15,852363900000018  -48,9588806||Não informado",Não encontrado.,Pirinopolis - GO (3).jpg||Pirinopolis - GO (3).jpg,Não encontrado.||Não informado,Edificação,Igreja Matriz de Nossa Senhora do Rosário||Igreja Matriz de Nossa Senhora do Rosário
699,"Pará||Belém||-1,4527693999999978  -48,49734440000001||Não informado",Não encontrado.,Rosario Homens Pretos - Belém - PA - Jorge (1).JPG||Rosario Homens Pretos - Belém - PA - Jorge (1).JPG||Rosario Homens Pretos - Belém - PA - Jorge (1).JPG||Rosario Homens Pretos - Belém - PA - Jorge (1).JPG||Rosario Homens Pretos - Belém - PA - Jorge (1).JPG||Rosario Homens Pretos - Belém - PA - Jorge (1).JPG||Rosario Homens Pretos - Belém - PA - Jorge (1).JPG,Não encontrado.||Não informado,Edificação,Igreja Nossa senhora do Rosário: Fachada||Igreja Nossa senhora do Rosário: Fachada||Igreja Nossa senhora do Rosário: Fachada||Igreja Nossa senhora do Rosário: Fachada||Igreja Nossa senhora do Rosário: Fachada||Igreja Nossa senhora do Rosário: Fachada||Igreja Nossa senhora do Rosário: Fachada
700,"Pará||Belém||-1,4513024547568987  -48,49855475716069||Não informado",Não encontrado.,ig santana ().jpg||ig santana ().jpg||ig santana ().jpg||ig santana ().jpg||ig santana ().jpg||ig santana ().jpg||ig santana ().jpg,Não encontrado.||Não informado,Edificação,"Igreja de Sant´Ana na Praça Maranhão, Belém, PA - obra de restauração||Igreja de Sant´Ana na Praça Maranhão, Belém, PA - obra de restauração||Igreja de Sant´Ana na Praça Maranhão, Belém, PA - obra de restauração||Igreja de Sant´Ana na Praça Maranhão, Belém, PA - obra de restauração||Igreja de Sant´Ana na Praça Maranhão, Belém, PA - obra de restauração||Igreja de Sant´Ana na Praça Maranhão, Belém, PA - obra de restauração||Igreja de Sant´Ana na Praça Maranhão, Belém, PA - obra de restauração"
701,"Goiás||Pirenópolis||-15,852363900000018  -48,9588806||Não informado",Não encontrado.,Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg||Pirenopolis.jpg,Não encontrado.||Não informado,Conjunto Urbano,"Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO||Pirenópolis, GO"
702,"Goiás||Pires do Rio||-17,297608958379087  -48,27552949357804||Não informado",Não encontrado.,,Não encontrado.||RFFSA - 2204228,Conjunto Arquitetônico,
703,"Pará||Belém||-1,457352799999994  -48,502766699999995||Não informado",Não encontrado.,S.João - Belém - PA - Jorge (7).JPG||S.João - Belém - PA - Jorge (7).JPG||S.João - Belém - PA - Jorge (7).JPG||S.João - Belém - PA - Jorge (7).JPG||S.João - Belém - PA - Jorge (7).JPG,Não encontrado.||Não informado,Edificação,Igreja de São João Batista||Igreja de São João Batista||Igreja de São João Batista||Igreja de São João Batista||Igreja de São João Batista
704,"Goiás||Pires do Rio||-17,299703763723887  -48,27552412915986||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
705,"Pará||Belém||-1,4556361000000049  -48,50254720000001||Não informado",Não encontrado.,Palacio Antonio Lemos - Belém - PA - Jorge (21).JPG||Palacio Antonio Lemos - Belém - PA - Jorge (21).JPG||Palacio Antonio Lemos - Belém - PA - Jorge (21).JPG||Palacio Antonio Lemos - Belém - PA - Jorge (21).JPG||Palacio Antonio Lemos - Belém - PA - Jorge (21).JPG||Palacio Antonio Lemos - Belém - PA - Jorge (21).JPG||Palacio Antonio Lemos - Belém - PA - Jorge (21).JPG||Palacio Antonio Lemos - Belém - PA - Jorge (21).JPG,Não encontrado.||Não informado,Edificação,Palacete Azul||Palacete Azul||Palacete Azul||Palacete Azul||Palacete Azul||Palacete Azul||Palacete Azul||Palacete Azul
706,"Pará||Belém||-1,4610193999999859  -48,5047056||Não informado",Não encontrado.,Belém_PA_Palacete Pinho_fachada frontal (2).jpg||Belém_PA_Palacete Pinho_fachada frontal (2).jpg||Belém_PA_Palacete Pinho_fachada frontal (2).jpg||Belém_PA_Palacete Pinho_fachada frontal (2).jpg||Belém_PA_Palacete Pinho_fachada frontal (2).jpg||Belém_PA_Palacete Pinho_fachada frontal (2).jpg||Belém_PA_Palacete Pinho_fachada frontal (2).jpg||Belém_PA_Palacete Pinho_fachada frontal (2).jpg||Belém_PA_Palacete Pinho_fachada frontal (2).jpg||Belém_PA_Palacete Pinho_fachada frontal (2).jpg,Não encontrado.||Não informado,Edificação,"Palacete Pinho, Belém, PA: fachada frontal||Palacete Pinho, Belém, PA: fachada frontal||Palacete Pinho, Belém, PA: fachada frontal||Palacete Pinho, Belém, PA: fachada frontal||Palacete Pinho, Belém, PA: fachada frontal||Palacete Pinho, Belém, PA: fachada frontal||Palacete Pinho, Belém, PA: fachada frontal||Palacete Pinho, Belém, PA: fachada frontal||Palacete Pinho, Belém, PA: fachada frontal||Palacete Pinho, Belém, PA: fachada frontal"
707,"Pará||Belém||-1,4560611000000059  -48,5031833||Não informado",Não encontrado.,Palacio Lauro Sodre - Belém - PA - Nabil Bonduk (2).JPG||Palacio Lauro Sodre - Belém - PA - Nabil Bonduk (2).JPG||Palacio Lauro Sodre - Belém - PA - Nabil Bonduk (2).JPG,Não encontrado.||Não informado,Edificação,Palácio do Governo - Palácio Lauro Sodré||Palácio do Governo - Palácio Lauro Sodré||Palácio do Governo - Palácio Lauro Sodré
708,"Goiás||Pires do Rio||-17,2980135803408  -48,275416840798975||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||RFFSA - 2294209,Edificação,Logo Bem Cultural
709,"Pará||Belém||-1,4585832999999995  -48,505050000000004||Não informado",Não encontrado.,PA_Belém_Palácio Velho_ Fachada principal e lateral direita.JPG||PA_Belém_Palácio Velho_ Fachada principal e lateral direita.JPG||PA_Belém_Palácio Velho_ Fachada principal e lateral direita.JPG||PA_Belém_Palácio Velho_ Fachada principal e lateral direita.JPG||PA_Belém_Palácio Velho_ Fachada principal e lateral direita.JPG||PA_Belém_Palácio Velho_ Fachada principal e lateral direita.JPG||PA_Belém_Palácio Velho_ Fachada principal e lateral direita.JPG||PA_Belém_Palácio Velho_ Fachada principal e lateral direita.JPG||PA_Belém_Palácio Velho_ Fachada principal e lateral direita.JPG||PA_Belém_Palácio Velho_ Fachada principal e lateral direita.JPG||PA_Belém_Palácio Velho_ Fachada principal e lateral direita.JPG,Não encontrado.||Não informado,Edificação,Palácio Velho: Fachada principal e lateral direita||Palácio Velho: Fachada principal e lateral direita||Palácio Velho: Fachada principal e lateral direita||Palácio Velho: Fachada principal e lateral direita||Palácio Velho: Fachada principal e lateral direita||Palácio Velho: Fachada principal e lateral direita||Palácio Velho: Fachada principal e lateral direita||Palácio Velho: Fachada principal e lateral direita||Palácio Velho: Fachada principal e lateral direita||Palácio Velho: Fachada principal e lateral direita||Palácio Velho: Fachada principal e lateral direita
710,"Goiás||Trindade||-16,66224439999999  -49,48613060000001||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
711,"Tocantins||Porto Nacional||-10,707785999999993  -48,41714100000001||Não informado",Não encontrado.,Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG||Porto Nacional - Rua Misael Pereira - Cejane Pacini.JPG,Não encontrado.||Não informado,Conjunto Urbano,Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas||Centro Histórico de Porto Nacional - TO - Ruas
712,"Pará||Belém||-1,4520193999999966  -48,4765278||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Jardim Histórico,Logo Bem Cultural
713,"São Paulo||São Roque||-23,54188059999999  -47,1291194||Não informado",Não encontrado.,sr1.jpg||sr1.jpg||sr1.jpg||sr1.jpg,Não encontrado.||Não informado,Edificação,"Capela da casa-grande do Sítio Querubim, em Araçariguama||Capela da casa-grande do Sítio Querubim, em Araçariguama||Capela da casa-grande do Sítio Querubim, em Araçariguama||Capela da casa-grande do Sítio Querubim, em Araçariguama"
714,"São Paulo||São Paulo||-23,5473306  -46,637125000000005||Não informado",Não encontrado.,,Não encontrado.||Não informado,Acervo,
715,"São Paulo||São Paulo||-23,5949944  -46,6351472||Não informado",Não encontrado.,,Não encontrado.||Não informado,Coleção,
716,"São Paulo||São Paulo||-23,550517625327526  -46,63108957433936||Não informado",Não encontrado.,carmosp.jpg||carmosp.jpg||carmosp.jpg,Não encontrado.||Não informado,Edificação,Capela da Venerável ordem Terceira do Carmo - sp||Capela da Venerável ordem Terceira do Carmo - sp||Capela da Venerável ordem Terceira do Carmo - sp
717,"São Paulo||São Paulo||-23,585230600000013  -46,6098361||Não informado",Não encontrado.,ipiranga.jpg||ipiranga.jpg,Não encontrado.||Não informado,Conjunto Arquitetônico,Conjunto do Ipiranga||Conjunto do Ipiranga
718,"Maranhão||Caxias||-4,858595106569644  -43,36499235553157||Não informado",Não encontrado.,,Não encontrado.||RFFSA - 1205205,Conjunto Arquitetônico,
719,"Pará||Belém||-1,4553470000000093  -48,50523||Não informado",Não encontrado.,Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg||Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg||Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg||Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg||Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg||Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg||Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg||Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg||Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg||Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg||Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg||Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg||Belém - PA - Praça Frei Caetano Brandão - Paulo Soares (1).jpg,Não encontrado.||Não informado,Conjunto Arquitetônico,"Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão||Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão||Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão||Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão||Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão||Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão||Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão||Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão||Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão||Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão||Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão||Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão||Conj. arquitetônico, urbanístico e paisagístico da Praça Frei Caetano Brandão"
720,"São Paulo||São Paulo||-23,613091700000037  -46,71200009999999||Não informado",Não encontrado.,São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg||São Paulo_SP_CasaDeVidro_ArquivoIPHAN_01_05_2002 (1).jpg,Não encontrado.||Não informado,Edificação,"Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP||Casa de Vidro, São Paulo - SP"
721,"Pará||Belém||-1,4554750000000065  -48,50397219999999||Não informado",Não encontrado.,Belém - PA - José Paulo Lacerda (100).jpg||Belém - PA - José Paulo Lacerda (100).jpg||Belém - PA - José Paulo Lacerda (100).jpg||Belém - PA - José Paulo Lacerda (100).jpg||Belém - PA - José Paulo Lacerda (100).jpg,Não encontrado.||Não informado,Edificação,Solar do Barão de Guajará||Solar do Barão de Guajará||Solar do Barão de Guajará||Solar do Barão de Guajará||Solar do Barão de Guajará
722,"Maranhão||Caxias||-4,865072200000003  -43,358869||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
723,"Pará||Belém||-1,4528221999999953  -48,4939139||Não informado",Não encontrado.,,Não encontrado.||Não informado,Edificação,
724,"Pará||Gurupá||-1,4027109999999965  -51,642937||Não informado",Não encontrado.,Forte de Santo Antônio- Gurupá - PA - Marcel Gautherot (2).jpg||Forte de Santo Antônio- Gurupá - PA - Marcel Gautherot (2).jpg,Não encontrado.||Não informado,Edificação,Forte de Santo Antônio||Forte de Santo Antônio
725,"São Paulo||São José do Rio Pardo||-21,595227800000007  -46,8934611||Não informado",Não encontrado.,euclides_2.jpg||euclides_2.jpg,Não encontrado.||Não informado,Edificação,Barraca de Euclides da Cunha||Barraca de Euclides da Cunha
726,"Pará||Vigia||-0,9568777999999917  -48,10139720000001||Não informado",Não encontrado.,||,Não encontrado.||Não informado,Edificação,||
727,"Maranhão||São Luís||-2,527488900000005  -44,306322200000004||Não informado",Não encontrado.,,Não encontrado.||Não informado,Artefato,
728,"Maranhão||São Luís||-2,53092745424861  -44,29443577498848||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
729,"Maranhão||São Luís||-2,5310413369291234  -44,29623285502992||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
730,"Maranhão||São Luís||-2,5310058323298246  -44,29487699837404||Não informado",Não encontrado.,IMG_7549.JPG||IMG_7549.JPG,Não encontrado.||Não informado,Artefato,Fachada principal||Fachada principal
731,"Maranhão||São Luís||-2,538435673557759  -44,297911311478956||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Conjunto Arquitetônico,Logo Patrimônio Cultural
732,"Minas Gerais||Abre Campo||-20,298586099999987  -42,479975||Não informado",Não encontrado.,,Não encontrado.||Não informado,Artefato,
733,"Minas Gerais||Alvorada de Minas||-18,733338900000003  -43,3649361||Não informado",Não encontrado.,img_0201_002.jpg||img_0201_002.jpg,Não encontrado.||Não informado,Edificação,Igreja de São José de Itapanhoacanga||Igreja de São José de Itapanhoacanga
