,Assunto/ palavras-chave,Autor,Data,Descrição,Direitos,Identifier,Título
168,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Mobiliário | Religião | Século XVIII,Não identificado,,"Oratório de manufatura rústica, em estilo colonial mineiro. Policromia: preto, verde, vermelho.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",306||187/94,Oratório Portátil
169,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Mobiliário | Século XVIII/XIX,Não identificado,,"O oratório tem as características do estilo mineiro, desenvolvido na região no século XVIII.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",305||25/88 | 025/1981,Oratório
170,05 Interiores > 05.1 Acessório de Interiores||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",304||Não encontrado,Peanha
171,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Mobiliário | Religião | Século XIX,Não identificado,,"Oratório de manufatura erudita, em estilo neoclássico. Policromia: amarelo, verde, vermelho, azul.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",303||112/94 | 85.17,Oratório Portátil
172,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Mobiliário | Religião | Século XVIII,Não identificado,,"Cimalha em ""canga-de-boi"".||Oratório de manufatura rústica, em estilo colonial mineiro. Policromia: azul e vermelho.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",302||189/94 | 01.002.002,Oratório Portátil
173,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Mobiliário | Religião | Século XVIII,Não identificado,,"Ornatos: concha estilizada ""rocaille""; motivos florais típicos da região de Minas Gerais||Oratório de manufatura erudita, em estilo rococó. Policromia: azul claro, amarelo, preto, vermelho, branco e  verde.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",301||27/88 | 01.006.006,Oratório Portátil
174,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Mobiliário | Religião | Século XVIII,Não identificado,,"Ornatos: concha estilizada; motivos florais típicos da região de Minas Gerais||Oratório de manufatura rústica. Policromia: azul claro, vermelho, branco e  verde.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",300||229/94 | 01.001.001,Oratório Portátil
175,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Século XIX,Não identificado,,"Ornatos: concha estilizada||Oratório de manufatura erudita, com elementos do estilo neoclássico. Policromia: azul claro, vermelho, branco e  verde. Douramento.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",299||28/88 | 01.007.007,Oratório Portátil
176,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Rococó | Século XVIII,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",298||29/88 | 01.008.008,Oratório||Oratório Lapinha
177,04 Construção > 04.4 Fragmento de Construção||Construção Religiosa | Minas Gerais | Século XIX,Não identificado,19/09/1985,Chave em ferro batido.,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",297||Não encontrado,Chave
178,09 Objetos Cerimoniais > 09.3 Objeto de Culto,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",296||Não encontrado,Crucifixo
179,05 Interiores > 05.1 Acessório de Interiores||Minas Gerais | Mobiliário | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: curva; motivos florais típicos da região de Minas Gerais (rosinhas de malabar).||Peanha com escalonamento em cinco níveis Policromia: azul claro, vermelho, amarelo, verde e branco.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",295||109/94 | 26a/88 | 84.38,Peanha
180,12 Objetos Pessoais > 12.7 Objeto de Devoção Pessoal,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",294||Não encontrado,Bolsa de Corporal
181,12 Objetos Pessoais > 12.8 Peça de Indumentária,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",293||Não encontrado,Manípulo
182,08 Insígnias||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",292||Não encontrado,Coroa
183,09 Objetos Cerimoniais > 09.3 Objeto de Culto||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,Estilo barroco.,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",291||Não encontrado,Cristo Crucificado [fragmento] (Cristo)||Cristo Crucificado
184,02 Artes Visuais/Cinematográfica > 02.3 Escultura||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,Estilo barroco.,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",290||Não encontrado,Imaginária Sacra||Menino Jesus
185,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Porta de sacrário em madeira recortada, pintada e dourada. Espelho de fechadura em ferro batido.||Ornatos: raios de sol, friso abaulado","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",289||163/94 | 85.07,Sacrário [fragmento] (porta)
186,09 Objetos Cerimoniais > 09.3 Objeto de Culto||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Crucifixo em madeira entalhada e policromada nos tons verde, azul e vermelho. Estandarte em metal na extremidade superior.||Ornatos: motivos florais, rocha estilizada e gomos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",288||41/88 | 041/1981,Crucifixo [fragmento] (cruz)
187,02 Artes Visuais/Cinematográfica > 02.3 Escultura||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",287||76.12/88 | 02.20.049,Santo de Roca||Santa Margarida de Cortona
188,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Mobiliário | Século XIX,Não identificado,,"Cadeira de madeira (jacarandá) e palhinha, encosto em duas traves em curvas e assento em palhinha. Não apresenta amarração.||Cadeira de manufatura singela com encosto em curvas que ultrapassam os montantes. Pernas dianteiras com joelheiras em curva e pernas posteriores levemente abauladas.||A peça apresenta características de um dos modelos ecléticos, de origem européia, adaptados no Brasil no decorrer do século XIX, neste exemplar com adaptação do modelo Biedermeier.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",286||83.07.II | 53/88 | 039/010||42 | 49 | 50 | 56 | 57 | 59 | 60 e 62,Cadeira [fragmento]
189,05 Interiores > 05.5 Peça de Mobiliário||Mobiliário | Século XIX | Thonet Áustria,Michael Thonet,,"Cadeira de madeira clara e palhinha, em estilo Thonet, composta por seis peças presas por parafusos: encosto curvo, assento circular, dois pés anteriores e elemento em curva fechada que une e reforça as pernas.||Cadeira com elementos em curva, característicos do estilo, confeccionada em faia (madeira de cor clara), na cor natural.||O móvel em estilo Thonet, conhecido como ""móvel austríaco"", foi desenvolvido pelo fabricante Michael Thonet, destacando-se pelo uso da madeira vergada.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",285||83.020.VI | 70/88 | 039/032||78 | 79 | 80 | 81 | 82 | 281 | 282 | 283 e 284,Cadeira
190,05 Interiores > 05.5 Peça de Mobiliário||Mobiliário | Século XIX | Thonet Áustria,Michael Thonet,,"Cadeira de madeira clara e palhinha, em estilo Thonet, composta por seis peças presas por parafusos: encosto curvo, assento circular, dois pés anteriores e elemento em curva fechada que une e reforça as pernas.||Cadeira com elementos em curva, característicos do estilo, confeccionada em faia (madeira de cor clara), na cor natural.||O móvel em estilo Thonet, conhecido como ""móvel austríaco"", foi desenvolvido pelo fabricante Michael Thonet, destacando-se pelo uso da madeira vergada.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",284||83.020.V | 69/88 | 039/037||78 | 79 | 80 | 81 | 82 | 281 | 282 | 283 e 285,Cadeira
191,05 Interiores > 05.5 Peça de Mobiliário||Mobiliário | Século XIX | Thonet Áustria,Michael Thonet,,"Cadeira de madeira clara e palhinha, em estilo Thonet, composta por seis peças presas por parafusos: encosto curvo, assento circular, dois pés anteriores e elemento em curva fechada que une e reforça as pernas.||Cadeira com elementos em curva, característicos do estilo, confeccionada em faia (madeira de cor clara), na cor natural.||O móvel em estilo Thonet, conhecido como ""móvel austríaco"", foi desenvolvido pelo fabricante Michael Thonet, destacando-se pelo uso da madeira vergada.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",283||83.020.IV | 68/88 | 039/036||78 | 79 | 80 | 81 | 82 | 281 | 282 | 284 e 285,Cadeira
192,06 Trabalho > 06.1 Equipamento Agrícola||Artes e Ofícios | Minas Gerais | Século XVIII/XIX,Não identificado,1984,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",279||131/94 | 84.20,Enrolador de algodão
193,06 Trabalho > 06.1 Equipamento Agrícola||Artes e Ofícios | Minas Gerais | Século XVIII/XIX,Não identificado,1984,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",278||150/94 | 84.18,Descaroçador de algodão
194,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: bolachas, estrangulamentos, anel e frisos em meia-cana.||Castiçal torneado, datável do séc. XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",277||181b/94 | 85.02,Castiçal
195,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: bolachas, estrangulamentos, anel e frisos em meia-cana.||Castiçal torneado, datável do séc. XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",276||181a/94 | 85.01,Castiçal
196,05 Interiores > 05.1 Acessório de Interiores||Instrumentos Musicais | Minas Gerais | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",275||Não encontrado,Moldura
197,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Apresenta vestígios de pintura azul e douramento.||Ornatos: bolachas, estrangulamentos e frisos em meia-cana.||Castiçal torneado, datável do séc. XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",274||181d/94 | 85.04,Castiçal
198,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Apresenta vestígios de pintura azul e douramento.||Ornatos: bolachas, estrangulamentos, anel e frisos em meia-cana.||Castiçal torneado, datável do séc. XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",273||181c/94 | 85.03,Castiçal
199,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: bolachas, estrangulamentos e frisos em meia-cana.||Castiçal torneado, datável do séc. XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",272||178 | 84.30||271,Castiçal
200,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: bolachas, estrangulamentos e frisos em meia-cana.||Castiçal torneado, datável do séc. XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",271||178b/94||272,Castiçal
201,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: bolachas, nó bulboso, anéis, estrangulamentos e frisos.||Castiçal torneado, datável do séc. XVIII ou XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",270||179d/94||267 | 268 | 269,Castiçal
202,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: bolachas, nó bulboso, anéis, estrangulamentos e frisos.||Castiçal torneado, datável do séc. XVIII ou XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",269||179c/94||267 | 268 | 270,Castiçal
203,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: bolachas, nó bulboso, anéis, estrangulamentos e frisos.||Castiçal torneado, datável do séc. XVIII ou XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",268||179b/94 | 84.12||267 | 269 | 270,Castiçal
204,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: bolachas, nó bulboso, anéis, estrangulamentos e frisos.||Castiçal torneado, datável do séc. XVIII ou XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",267||179a/94 | 84.12||268 | 269 | 270,Castiçal
205,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Apresenta vestígios de pintura verde e vermelha, além de base de preparação e douramento.||Ornatos: flor estilizada, volutas, bolachas, estrangulamentos, anel e frisos em meia-cana.||Castiçal entalhado e torneado, de manufatura erudita, datável do séc. XVIII e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",266||182b/94 | 84.31.2||265 | 38,Castiçal de banqueta
206,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Apresenta vestígios de pintura verde e vermelha, além de base de preparação e douramento.||Ornatos: flor estilizada, volutas, bolachas, estrangulamentos, anel e frisos em meia-cana.||Castiçal entalhado e torneado, de manufatura erudita, datável do séc. XVIII e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",265||182a/94 | 84.31.1||266 | 38,Castiçal de banqueta
207,12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais||França | Século XIX,Não identificado,1887,"Estojo confeccionado em madeira, forrado na parte externa em tartaruga e na parte interna por tecido acetinado. Fixação da tampa à estrutura do estojo através de longa dobradiça em metal (bronze dourado).","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",264||117a/94 | 85.05.2||263,Estojo de leque
208,12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais||França | Século XIX,Não identificado,1887,"Objeto com motivos decorativos florais pintados em tecido, renda, incrustações em metal dourado e hastes em marfim. Policromia: vermelho, rosa, azul acinzentado, verde e branco||Ornatos com motivos florais (tecido) e fitomorfos (metal)","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",263||117/94 | 85.05.1||264,Leque
209,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: volutas, frisos, cartela e folhas de acanto.||Castiçal de banqueta, de manufatura erudita, datável do séc. XVIII ou XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",261||177e/94 | 84.29.5||257 | 258 | 259 | 260,Castiçal de banqueta
210,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: volutas, frisos, cartela e folhas de acanto.||Castiçal de banqueta, de manufatura erudita, datável do séc. XVIII ou XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",260||177c/94 | 84.29.4||257 | 258 | 259 | 261,Castiçal de banqueta
211,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: volutas, frisos, cartela e folhas de acanto.||Castiçal de banqueta, de manufatura erudita, datável do séc. XVIII ou XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",259||177c/94 | 84.29.3||257 | 258 | 260 | 261,Castiçal de banqueta
212,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: volutas, frisos, cartela e folhas de acanto.||Castiçal de banqueta, de manufatura erudita, datável do séc. XVIII ou XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",258||177b/94 | 84.29.2||257 | 259 | 260 | 261,Castiçal de banqueta
213,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: volutas, frisos, cartela e folhas de acanto.||Castiçal de banqueta, de manufatura erudita, datável do séc. XVIII ou XIX e origem mineira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",257||177a/94 | 84.29.1||258 | 259 | 260 | 261,Castiçal de banqueta
214,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Instrumento de Precisão | Século XVIII,Não identificado,,"Peso fundido em ferro, com duas argolas de sustentação.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",256||242c /94,Peso de 10 Kg
215,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Instrumento de Precisão | Século XVIII,Não identificado,,"Peso fundido em ferro, com duas argolas de sustentação.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",255||242b /94,Peso de 30 Kg
216,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: frisos e elementos fitomorfos.||Castiçal em estilo neoclássico, com detalhes em caneluras e elementos fitomorfos. Detalhe de flor na cartela central.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",253||185d/94||250 | 251 | 252,Castiçal de banqueta
217,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: frisos e elementos fitomorfos.||Castiçal em estilo neoclássico, com detalhes em caneluras e elementos fitomorfos. Detalhe de flor na cartela central.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",252||185c/94||250 | 251 | 253,Castiçal de banqueta
218,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: frisos e elementos fitomorfos.||Castiçal em estilo neoclássico, com detalhes em caneluras e elementos fitomorfos. Detalhe de flor na cartela central.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",251||185b/94||250 | 252 | 253,Castiçal de banqueta
219,05 Interiores > 05.4 Objeto de Iluminação||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Ornatos: frisos e elementos fitomorfos.||Castiçal em estilo neoclássico, com detalhes em caneluras e elementos fitomorfos. Detalhe de flor na cartela central.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",250||185a/94||251 | 252 | 253,Castiçal de banqueta
220,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",249||196/94 | 01.012a.015||248,Confessionário [fragmento] (tela)
221,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",248||196b/94 | 01.012b.015||249,Confessionário [fragmento] (tela)
222,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Rio de Janeiro | Século XIX | Usos e Costumes,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",247||147a/94 | 85.08.b,Licoreiro [fragmento] (tampa)
223,03 Objetos Pecuniários||Brasil-Império | Economia | Século XIX,[Casa da Moeda do Brasil],,"Moeda fundida em metal (bronze).||Representação das Armas do Império Brasileiro, com escudo encimado por coroa real e ornado por esfera armilar, cercado por estrelas e circundado por ramos de café.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",246||223/94,Moeda||40 réis
224,08 Insígnias||Família Ottoni | Independência do Brasil | Minas Gerais | Século XX,[Casa da Moeda do Brasil],05.03.1993||1922,"Medalha fundida em bronze, com desenho e inscrições em baixo-relevo.||A representação da Casa dos Ottoni e nomes de integrantes da família Ottoni com respectivas datas de falecimento.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",245||Não encontrado,Medalha comemorativa||Escola B. Ottoni (RJ) / Independência do Brasil
225,08 Insígnias||Família Ottoni | Independência do Brasil | Minas Gerais | Século XX,[Casa da Moeda do Brasil],05/03/1993||1922,"Medalha fundida em bronze, com desenho e inscrições em baixo-relevo.||A representação da Casa dos Ottoni e nomes de integrantes da família Ottoni com respectivas datas de falecimento.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",244||Não encontrado,Medalha comemorativa
226,08 Insígnias||Família Ottoni | Independência do Brasil | Minas Gerais | Século XX,[Casa da Moeda do Brasil],1922,"Medalha fundida em bronze, com desenho e inscrições em baixo-relevo.||A representação da Casa dos Ottoni e nomes de integrantes da família Ottoni com respectivas datas de falecimento.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",243||59/88 | 01.020.023,Medalha comemorativa
227,08 Insígnias||Família Ottoni | Independência do Brasil | Minas Gerais | Século XX,[Casa da Moeda do Brasil],01/05/1991||1922,"Medalha fundida em bronze, com desenho e inscrições em baixo-relevo.||A representação da Casa dos Ottoni e nomes de integrantes da família Ottoni com respectivas datas de falecimento.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",242||223/94,Medalha comemorativa||Casa dos Ottoni - Independência do Brasil
228,02 Artes Visuais/Cinematográfica > 02.3 Escultura||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",241||76.08/88 | 02.25.054,Santo de Roca [fragmento] (dorso)||Nosso Senhor Jesus Cristo
229,15 Embalagens/Recipientes||Acessório de Transporte | Século XX,Stewart - Warner Speedometer Corporation,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",240||Não encontrado,Tonel de combustível
230,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Brasil | Iluminação | Minas Gerais | Século XX | Serro,Siemens - Schuckert,1985,"Objeto confeccionado em metal, com mostrador em vidro e partes em plástico.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",239||Não encontrado||401,Medidor de Luz Elétrica
231,09 Objetos Cerimoniais > 09.3 Objeto de Culto,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",238||Não encontrado,Cruz
232,09 Objetos Cerimoniais > 09.3 Objeto de Culto,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",237||Não encontrado,Crucifixo de banqueta
233,09 Objetos Cerimoniais > 09.3 Objeto de Culto,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",236||Não encontrado,Crucifixo [fragmento] (base e cruz)
234,09 Objetos Cerimoniais > 09.3 Objeto de Culto||Brasil | Construção | Século XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",235||Não encontrado,Crucifixo
235,09 Objetos Cerimoniais > 09.3 Objeto de Culto||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,"Crucifixo em madeira entalhada, policromada e dourada, com características do estilo rococó, com Cristo de manufatura erudita. Policromia: verde, azul e vermelho. Douramento.||Ornatos: volutas, motivos fitomorfos e florais, frisos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",234||39/88 | 039/1982,Crucifixo
236,02 Artes Visuais/Cinematográfica > 02.3 Escultura||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",233||0222a050 | 0222051 | 76.94.24,Santo de Roca||Maria Madalena
