,Abrangência/ Cobertura,Assunto/ palavras-chave,Descrição,Título
80,"Nacional||Maranhão||Alcântara||-2,471617212797854   -44,48180684572881||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"O Tambor de Mina surgiu na capital do Maranhão, se expandiu pelo Pará, Amazonas, outros Estados do Norte e para as capitais que receberam grande número de migrantes do Norte, como Rio de Janeiro e São Paulo. Embora hegemônico no Maranhão, o Tambor de Mina-Jeje, Nagô, Cambinda, foi sincretizado no passado com manifestação religiosa de origem indígena denominada Cura/Pajelança e com uma tradição religiosa afro-brasileira, surgida em Codó (MA), denominada Mata ou Terecô. 
A religião afro-brasileira no Maranhão, em suas diversas denominações é bastante ligada ao catolicismo. Alem dos terreiros realizarem festas e rituais do catolicismo popular, como a Festa do Espírito Santo, Queimação de Palhinhas do Presépio, Batismo (na igreja ou no terreiro, com água benta), alguns ritos católicos são indispensáveis nas festas de voduns e encantados, como: missa, procissão e ladainha (em latim).
(FERRETTI, M. DA R.. Tambor de Mina e Umbanda: O culto aos caboclos no Maranhão. JORNAL DO CEUCAB-RS, ANO III, N. 39 (1996), 40 E 41 (1997))",INRC - Município de Alcântara
81,"Estadual||Maranhão||Alcântara||-2,4091033899771785   -44,41764839989601||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"A festa de Santa Teresa D’Ávila ocorre anualmente no mês de outubro, durante três dias, no povoado de Itamatatiua desde o século XIX, conforme referência em trabalhos acadêmicos (Mourão Sá, 2007 e Prado, 2007) e nas narrativas de integrantes do grupo. É uma festa realizada pelos moradores como forma de agradecer à santa o uso da terra, uma vez que ela é considerada a sua proprietária, o que conformaria, segundo esses autores, um campesinato de “terras de santo”. A ela acorre um número muito grande de pessoas de povoados e municípios vizinhos.
Laís Mourão Sá analisa a lógica jurídica presente na organização social desse grupo, no âmbito da qual Santa Tereza ocupa lugar central, dando sustentação ao usufruto comum dos recursos da natureza, uma vez que estes são concebidos como de propriedade da santa, tanto no caso de Santa Tereza de Ávila como naquele de Santana, no vizinho município Bequimão. De acordo com essa autora, um campesinato comunal teria se desenvolvido ali no início do séc XIX, com a desagregação da fazenda administrada pelos carmelitas. As terras foram deixadas aos cuidados de chamados encarregados, prepostos que passaram a se constituir enquanto lideranças no tocante tanto ao uso da terra e demais recursos quanto no que tange à guarda da santa e seus pertences, inclusive gado.
A hierarquia da festa implica na presença de um juiz da festa – encarregado da administração cerimonial – podendo ser um homem ou mulher, que é a pessoa ou família responsável pelas despesas maiores do festejo e toda a sua organização; o juiz do mastro, podendo ser até duas pessoas, responsáveis pelo levantamento do mastro e toda a despesa referente a esse ritual; mordomos são pessoas que cumprem promessa e são responsáveis pelas noites de ladainha da novena, arcando com as despesas dessas cerimônias; mestre-sala, que deve ser um homem e será encarregado pelo juiz da festa para organizar os rituais. Da organização fazem parte também as cozinheiras, as boleiras e a conservadeira, termo utilizado pelo grupo para designar a pessoa responsável por dividir e guardar a comida depois de preparada. Estas, integram um grupo de mulheres da localidade e, às vezes, contam com  outras mulheres de povoados vizinhos. Existe ainda a encarregada de cada grupo de mulheres, as cozinheiras e boleiras. Há mulheres que trabalham para pagar promessa e outras que o fazem em solidariedade ao festeiro ou festeira, mas em geral recebem um agrado como denominam contribuições não classificadas como pagamento ou qualquer espécie de salário.
(MOURÃO SÁ, Laís. O pão da terra. Propriedade comunal e campesinato livre na Baixada Ocidental Maranhense. São Luís: EDUFMA, 2007;
PRADO, Regina. Todo ano tem – festa e e estrutura social camponesa. São Luís: EDUFMA, 2007).",INRC - Município de Alcântara
82,"Local||Maranhão||Alcântara||-2,4089961964378275   -44,41747673851878||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Identificação,"O lugar inventariado é uma fonte de água, com pouca profundidade e com paredes de pedras, do tempo dos escravos Situa-se numa área de campo, designada pelos moradores como Baixa do Chora fazendo parte um ecossistema importante para os habitantes de Itamatatiua, tanto por sua apropriação material quanto simbólica, manifesta através de representações sociais expressivas para o sistema de crenças do grupo. Todos os moradores de Itamatatiua utilizam água para beber somente dessa fonte, pois acreditam que é melhor do que aquela da torneira e, apesar da dificuldade de acesso, principalmente no período de chuvas, não deixam de se abastecer com a água desse poço. Reservam a água encanada, obtida do poço artesiano, para a lavagem de roupas, limpeza da casa e banho. 
Esse poço é tido como habitado e controlado pelos chamados encantados, a quem é precisso pedir permissão para utilizá-lo. Como em outras situações, essas crenças, com suas interdições e tabus, contribuem para a sustentabilidade desses recursos.",INRC - Município de Alcântara
83,"Local||Maranhão||Alcântara||-2,4047298867191422   -44,416532600946226||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Identificação,"O chamado Igarapé do Encantado, localizado ao Sul do povoado Mamuna, é uma das ramificações de um grande igarapé que banha esse povoado e também Peru Velho e Camarajó. Estes dois últimos foram povoados onde residiam e trabalhavam famílias relocadas compulsoriamente pelos militares. Hoje, são áreas desabitadas. Mamuna, Peru Velho e Camarajó são áreas vizinhas e contíguas.
O Igarapé do Encantado localiza-se nas proximidades da cabeceira do Rio de Camarajó. O grande igarapé, do qual o Encantado é tributário, onde antes de relocados os povoados Peru e Camarajó, toda as famílias se abasteciam de peixe. Atualmente, a comunidade de Mamuna se reapropria de toda a extensão do igarapé, inclusive aquela localizada no Camarajó, denominada pelo grupo de Igarapé do Encantado ou, simplesmente, Encantado.
Para compreender as relações que os moradores mantêm com esse Igarapé, é necessário primeiramente fazer algumas considerações.
Os chamados encantado, também denominados invisíveis, são seres sobrenaturais que os entrevistados acreditam poder incorporar em certas pessoas (como ocorre nos terreiros de religião afro brasileira) e que, segundo eles, residem ou frequentam certos lugares do povoado, como rochas, igarapés, certas porções do oceano, certos vegetais (como, por exemplo, touceiras de certas palmeiras, dentre outras plantas). Esses lugares onde se manifestam esses encantados, são denominados também de lugar de encantaria ou lugares encantados e os seres que os habitam também são chamados de donos do lugar. O termo encantaria aparece também nas entrevistas indicando genericamente o conjunto desses seres sobrenaturais e seus poderes sobre os humanos e os elementos da natureza.
Esses lugares  são entendidos como possuindo casas e palácios não visíveis pelos humanos comuns. Uma duna, por exemplo, segundo os entrevistados, pode esconder um palácio ou uma casa pertencente a esses seres, somente visíveis àqueles que possuem poderes para tal. Esses poderes são dados pela ligação desses humanos com tais seres sobrenaturais. Tal ligação se manifesta pela incorporação, por humanos, desses seres sobrenaturais. Para indicar as pessoas que incorporam tais seres (como nos terreiros de religião afro brasileira) utilizam a expressão recebem encantados. Alguns desses seres incorporados por humanos também são chamados de guias. Muitas vezes esses chamados guias  solicitam às pessoas que os recebem que busquem na mata ou nas águas certos objetos, como pedras, ou materiais, como areia e outros. Tais guias pertenceriam às chamadas linhas, agrupamentos que reuniriam seres “aparentados” ou da mesma espécie.
Tais atos de encaminhar oferendas ou realizar as chamadas obrigações  aparecem também nas entrevistas indicados pelos termos fazer descarrego ou firmeza.",INRC - Município de Alcântara
84,"Local||Maranhão||Alcântara||-2,275962631215361   -44,40666207177095||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Identificação,"Mamuna é uma comunidade quilombola secular, que data do período da escravidão da mão-de-obra negra africana, no contexto da produção de algodão e cana-de-açúcar em Alcântara. As ruínas chamadas paredões datam, portanto, desse momento histórico. Sua arquitetura é reconhecidamente colonial portuguesa, semelhante àquela existente na sede de Alcântara. Seu Leonardo dos Anjos, morador de Brito (Alcântara), refere-se a essas ruínas como sendo engenhos velhos. Os paredões aqui referidos estão localizados em Camarajó, povoado remanejado compulsoriamente pelos militares nos anos 1980, mas são as famílias de Mamuna que utilizam suas áreas para o cultivo, atividade pesqueira e caça de pequenos animais para alimentação. São também os mamunenses que guardam memórias e representações sobre esse lugar, sobretudo a respeito dos paredões, lugar aqui inventariado.  Para este grupo, os paredões constituem um local onde há manifestação de seres sobrenaturais chamados de encantados. Segundo suas narrativas, tais seres que lá habitam, manifestam-se através de sonhos, visões, vozes e simulação de ruídos árvores, galhos e folhas se quebrando. O paredão ou encontro - localizado entre áreas de cultivo, de caça e igarapés apropriados por famílias de Mamuna constitui, portanto, um local importante tanto para a sobrevivência e reprodução social, quanto para a preservação de sistema de crenças.",INRC - Município de Alcântara
85,"Local||Maranhão||Alcântara||-2,2717575589536816   -44,401598061154644||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Identificação,"Não há registro de que a Pedra de Itacolomi seja de alguma forma utilizada pelos moradores de Mamuna como área de pesca, de coleta de pequenos crustáceos e moluscos ou objeto de rituais e cerimonias. O que se constatou foi um conjunto de representações sociais sobre esse lugar no que concerne ao sistema religioso e de crenças desses grupos, assim como dos integrantes dos terreiros de mina, na capital São Luís. As músicas entoadas nos rituais de mina, chamadas doutrinas, referem-se à pedra de Itacolomi e a encantados, seres sobrenaturais que, segundo as crenças desses grupos, ali habitariam.",INRC - Município de Alcântara
86,"Local||Maranhão||Alcântara||-2,2716744758218472   -44,40134056908565||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Identificação,"Constituindo-se como um conjunto de recifes, a Pedra Santa compõe um ecossistema economicamente importante para a comunidade, pois possibilita a coleta de pequenos crustáceos, peixes e moluscos que, além de assegurar sua alimentação, têm importância na rede de relações comerciais dentro e fora de Mamuna. O trabalho realizado no lugar, portanto, cumpre uma função de complementar o sustento das famílias deste povoado. A Pedra Santa, porém, não cumpre apenas esta função, integrando, também, o sistema de crenças do grupo, ensejando representações que exprimem não apenas material do lugar. Integra complexo sistema de classificações que envolvem o homem, o entorno natural e a existência de seres sobrenaturais.",INRC - Município de Alcântara
87,"Local||Maranhão||Alcântara||-2,409039073854484   -44,41754111153423||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"A Festa de Samucangaua, realizada em louvor a Santa Maria e a São Benedito é realizada atualmente entre os dias 13 e 15 de agosto. De acordo com as informações colhidas junto aos moradores mais antigos, essa data foi introduzida nos últimos 18 anos. Antes ela era realizada no mês de maio. A mudança no calendário da festa deveu-se principalmente ao problema das chuvas que dificultava o acesso a Samucangaua e impedia a participação de moradores de outras localidades. No mês de agosto, de acordo com os moradores, esse problema não existe, porque já é o período identificado por eles como verão, e isso facilita a participação de parentes e amigos que residem em São Luís ou em localidades próximas. Esse período de estiagem contribui também para a melhoria da qualidade das estradas, facilitando a entrada de carros de transporte de passageiros. Esse momento é igualmente importante porque é o período da safra das culturas plantadas, o que contribui para o bom funcionamento da festa, já que boa parte do arroz, farinha e os derivados da mandioca consumidos durante a festa são oriundos das lavouras dos festeiros ou de sua rede de parentes que colaboram com esses itens.",INRC - Município de Alcântara
88,"Local||Maranhão||Alcântara||-2,4073025376698896   -44,41507348543946||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"Geralmente a festa ocorre na lua cheia de agosto e são quatro dias de festa. Começa numa sexta-feira e termina na segunda. Nos dias de sexta e segunda a participação é basicamente dos moradores de Alcântara (Sede). No sábado e domingo ocorre a participação daqueles que vêm do interior do município. Segundo relatos, a primeira atividade da festa de São Benedito diz respeito à lavagem da Igreja do Rosário dos Pretos. 
A atividade de lavagem da igreja ocorre na sexta-feira a partir das 14 horas. A preparação da igreja ocorre logo na sexta porque na noite da sexta-feira já ocorre o tambor de crioula. Além da lavagem da igreja, na mesma tarde de sexta verifica-se a limpeza e arrumação do santo. Como a festa é realizada em louvor a São Benedito, ele deve estar devidamente limpo e vestido.
Realizada essa etapa de limpeza da igreja e do santo, na parte da noite antes de apresentação do tambor de crioula, por volta das 19:00 ocorre uma ladainha que se estende até as 20:00. A ladainha é organizada por um grupo da igreja do Rosário, tendo à frente seu Nerivaldo, acompanhado por um grupo de religiosas. Consiste da realização de orações e cânticos entoados em latim. Segundo a informante, essa ladainha rezada em latim já virou uma tradição. Ela não envolve a presença de padres, que só participam no sábado e no domingo. Ao final dessa celebração, inicia-se o tambor de crioula. Terminado o tambor, inicia-se a etapa seguinte: o abate do boi.
O boi é abatido de madrugada e a carne é levada às mulheres que se encarregam de cortar, limpar e temperar a carne a ser servida.A atividade dura o dia inteiro.
Na tarde do sábado é feita a decoração da igreja. Essa atividade começa por volta das 14 horas. É também na tarde do sábado que São Benedito é vestido. Em geral a roupa vestida é resultado de promessas. Segundo Sandra, em geral o pagamento das promessas constituem-se na doação de um manto ao santo. O que é designado de roupa do santo, constitui-se de uma indumentária composta de uma camisa branca, um cinto na cintura, um manto, uma sacola e um  resplendor de ouro usado na cabeça. Em relação à roupa do santo, todos os anos ela é renovada.
Na manhã do domingo, por volta das 8:00 da manhã ocorre o que denominam de a missa do pão. Na realidade é um momento em que crianças e pessoas idosas recebem pão e farinha, reproduzindo a lenda de que São Benedito roubava comida para distribuir aos pobres.
A festa se encerra no domingo à tarde com o fim do cortejo e os toques de tambor em louvor ao santo.
O dinheiro que financia a festa é em geral alcançado pela 'jóia' adquirida por meio das Cartas de São Benedito, cartas de convite à celebração e à ajuda com os custos. Não só, nos últimos anos a festa vem contando com o apoio financeiro do Estado.",INRC - Município de Alcântara
89,"Local||Maranhão||Alcântara||-2,409017635146283   -44,41754111153423||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"Dizem que no final do século XIX, os negros revoltados porque o Imperador D. Pedro II não veio visitar a cidade, resolveram simular a coroação de um outro Imperador. O certo é que a festa reproduz o período do Império, com seus personagens como aias, vassalos, mordomos. Segundo as representações do grupo constituído por seus devotos, o Espírito Santo desce à terra representado pelo pombo branco e pela Santa C’roa e, através da coroação do Imperador ou Imperatriz, estabelece seu reinado por alguns dias. A cada ano, a festa se repete, coroando um ano um imperador e, no seguinte, uma imperatriz e assim sucessivamente. 
A festa tenta reproduzir o que o grupo imagina que tenha sido a sociedade imperial. Cidade com arquitetura e ruínas do período colonial e imperial, Alcântara se torna o palco perfeito para tal simulação.
São muitas as transformações verificadas nas últimas décadas, sobretudo após a chegada da luz elétrica, nos anos 80. 
O número de pessoas que acorre à cidade é cada vez maior. Na época da festa a cidade não pode absorver todos os visitantes, pois não há estrutura suficiente de hotéis, pousadas, restaurantes. De umas décadas para cá os jovens passaram a acampar em plena a praça da matriz, o que é considerado muito negativo por vários informantes. Outros, dizem que as “mudanças da festa sempre vieram para melhor”. Para “entreter” essa multidão, e até mesmo “acomoda-la” até que chegue o outro dia, pela manhã, e ela vá embora, atualmente há um show na praça, que pode ser de reggae ou de forró. As caixeiras reclamam bastante que o ruído atrapalha o ritual (e principalmnte os toques de suas caixas) e que a juventude não dá o devido valor à Festa. Outra transformação negativa que atinge o coração da festa é a não reprodução das caixeiras. Atualmente, há somente três senhoras e uma delas é bastante idosa.
Uma das mudanças avaliadas como positivas e decorrente da instalação da energia elétrica é o fato de poder oferecer cerveja também, ao lado dos licores e da cachaça. Por outro lado, isto demanda mais recursos dos festeiros, já que o licor é de fabricação caseira, saindo mais em conta para os realizadores da festa.
Outras mudanças apontadas dizem respeito às tarefas que realizavam todos os ajudantes (cozinheiras, doceiros...) e que, agora, após a ajuda oficial, são remuneradas e, como frisam os informantes, com salário. As cozinheiras estão exigindo remuneração de um salário mínimo, o que encarece bastante a festa para os festeiros, sobretudo os mordomos baixos. Os músicos de sopro sempre foram pagos, mas, segundo os depoimentos, atualmente sua presença é um dos itens mais caros da festa.",INRC - Município de Alcântara
90,"Estadual||Minas Gerais||Catas Altas||-20,075089183158887   -43,40906024942261||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"Os toques dos sinos são compostos por Repiques, Dobres e Badaladas. As badaladas são percussões imprimidas pelo badalo na campânula dos sinos, com essa em repouso. Os dobres são percussões do badalo na campânula dos sinos produzidas pelo movimento do sino sobre o seu eixo, podendo atingir um ângulo de até 180°. O Repique é produzido a partir de badaladas na campânula dos sinos, com caráter mais agitado e bastante ritmado. Essas unidades se combinam de forma específica – caso a caso – e constituem os toques específicos para cada ocasião.
Assim, há toques antes das missas ou outros eventos religiosos, como chamadas (Toque de Chamada para Missas ou de Chamada para Adoração ou Plenário), toques realizados durante celebrações (toque realizado nas Coroações), nas procissões, em ocasiões fúnebres (comunicando falecimentos), ou marcando horários específicos do dia (Toque do Ângelus ou da Ave Maria).
Apenas uma senhora toca regularmente os sinos hoje em Catas Altas. Mas ela não domina a ciência e não consegue executar os toques de acordo com a tradição. Ela assumiu a tarefa no lugar de seu marido, ex-sineiro e zelador da Igreja Matriz, desde que ele adoeceu. A filha do casal ajuda a mãe, na medida de sua disponibilidade, seguindo, como ela, as orientações do pai. Há também um morador, conhecedor dos toques e competente no ofício, que lhe ajuda freqüentemente, na medida que seus horários de trabalho permitem. Há, na cidade, mais um morador que domina o ofício, mas, já de idade avançada, não se dispõe a tocar normalmente. 
Quem vistoria as condições gerais dos sinos são os próprios executantes, que procuram a ajuda da prefeitura quando há problemas maiores. 
A população de Catas Altas, segundo os depoimentos ouvidos, apesar da quase extinção dos sineiros na cidade, se orienta pelos toques de sinos, tanto para a marcação do tempo quanto para as atividades religiosas, sentem sua falta, deixam de ir às missas - e há inclusive quem perca outros compromissos - quando os sinos não tocam (principalmente os sinos das 6 horas). 
Juca Hosken, prefeito de Catas Altas, considera boa medida para a preservação dos toques dos sinos a profissionalização dos sineiros, que poderiam, segundo ele, ser pagos pela prefeitura e poderia haver um programa de ensino dos toques, talvez trazendo sineiros de outras localidades, como São João del-Rei.",INRC - Linguagem dos Sinos em Minas Gerais
91,"Estadual||Minas Gerais||Mariana||-20,373483067302203   -43,416417419130966||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"Os toques dos sinos são compostos por Repiques, Dobres e Badaladas. As badaladas são percussões imprimidas pelo badalo na campânula dos sinos, com essa em repouso. Os dobres são percussões do badalo na campânula dos sinos produzidas pelo movimento do sino sobre o seu eixo, podendo atingir um ângulo de até 180°. O Repique é produzido a partir de badaladas na campânula dos sinos, com caráter mais agitado e bastante ritmado. Essas unidades se combinam de forma específica – caso a caso – e constituem o seguinte repertório sineiro: Anúncios (Chamadas) de Missas (dominicais e semanais), Novenas, Qüinqüídios, Trezenas, Festas das Irmandades, Festas de Santos Padroeiros, Procissões, Avisos Fúnebres de Irmãos e clérigos (padres, bispos e papas), sinais de alerta.
Há os repiques solenes com função de acompanhar a procissão do Santíssimo Sacramento, ou outras procissões e celebrações em solenidades religiosas festivas diversas, há os toques que são tocados durante a Consagração, nas missas, e o toque do Te Deum. Também, nas ocasiões fúnebres, há os toques que anunciam os falecimentos, indicando o sexo do morto ou sua posição hierárquica, quando o falecido é autoridade eclesiástica. 
Tomando por base os entrevistados, pelo menos parte da população identifica a sonoridade dos sinos de cada igreja da cidade – o que exige considerar a sonoridade dos sinos, tanto como a estrutura dos toques, como referência para a população.
Os toques são conhecimento tradicional, transmitidos oralmente, não há regulações escritas sendo seguidas (no entanto, o pai de um dos entrevistados, o ex-sineiro Frederico Ozanan Teixeira Santos, irmão da Ordem de São Francisco, publicou uma regulamentação dos toques). Entrevistados dizem que os toques são tradição dos moradores da cidade, independente da Igreja. Há as comissões festeiras, que tomam as providências inclusive quanto aos toques dos sinos, por isso os padres, segundo depoimentos, não têm influência sobre eles. 
De fato, Padre Paulo Diláscio, nascido em 1929 em São João del-Rei, há 50 anos em Mariana, afirma não haver legislação da Igreja para os toques de sinos – o que há é o costume em cada cidade. A única regra é que não se pode tocar sino nas Quintas e nas Sextas-Feiras Santas e no Sábado de Aleluia.
A manutenção dos sinos é feita pelos próprios sineiros. Quando é necessário fazer algum conserto no sino, chama-se um morador das redondezas de Mariana, de nome Raimundo, que o faz como voluntário (na Igreja do Rosário), ou o senhor João, responsável pela Igreja do Carmo, que também contribui com a manutenção dos sinos de outras igrejas.
Segundo os entrevistados (Ozanan e irmãos e Pacheco, principalmente), o toque que se constitui hoje como uma referência mais forte para a população de Mariana é o de Entrada para as missas. Os demais podem ou não ser tocados ou compreendidos.",INRC - Linguagem dos Sinos em Minas Gerais
92,"Estadual||Minas Gerais||Ouro Preto||-20,387778287699422   -43,50729879457487||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"O Toque de Chamada para Missas ou Repique Completo é executado regularmente em todos os fins de semanas, em várias igrejas da localidade, excetuando-se o período da Quaresma. Este toque é o toque mais tradicional em todas as igrejas de Ouro Preto. É denominado como toque de missa ou chamada para a missa ou Repique Completo devido ao fato de atuar para a cidade como um sinal de chamada dos fiéis à missa dominical (considerando também as missas de sábados) e para as solenidades festivas, geralmente dedicadas a santos padroeiros das igrejas locais. È realizado geralmente 30 minutos antes da celebração. O Toque de Chamada para Missas de Quaresma é tocado durante a Quaresma e traz para a cidade aquele sentimento de acolhimento, reflexão e sacrifício apregoado pela Igreja no Tempo Quaresmal.
Em Missas Especiais - todas as Missas festivas, inclusive na missa matutina do Domingo de Ramos (único momento em que se toca um repique durante a Quaresma) - em momentos solenes da celebração, quando do início do Glória, após o celebrante cantar: “Glória in Excelsis Dei”, e após a Consagração da Eucaristia, assim que o Celebrante diz: “Eis o Mistério da Fé”, toca-se um rápido repique. Em encerramento de festas, precedido de Novenas e/ou Te Deum, no momento da exposição do Santíssimo, na Benção do Santíssimo Sacramento, quando todos em sinal de recolhimento são abençoados pelo Santíssimo nas mãos do celebrante, toca-se um rápido repique. A importância desse toque para a vida local não está somente no fato de ser um momento de respeito e alegria relacionado aos símbolos cristãos, mas também por atuar como um sinalizador dos momentos das cerimônias para as pessoas que não estão acompanhando-as de dentro da Igreja. Nas solenidades festivas em que há o rito do Te Deum, toca-se o Toque do Te Deum. Na noite que precede o primeiro dia da Novena ou Trezena ao Santo (a) Padroeiro (a), às 21:00h, nos dias da Novena ou Trezena às 06:00h e 12:00h e nas noites de Novena ou Trezena às 21:00h, há o Toque de Alvorada - este toque simboliza o início e o momento de festa dos padroeiros locais. Todas as sextas-feiras, desde aquela que antecede o Carnaval até a que antecede a Semana Santa, às 12:00h, às 15:00h e às 18:30h, é tocado o Toque do Setenário das Dores, chamando a população para a celebração que haverá às 19h, em memória das 7 Dores de Nossa Senhora das Dores. Em todas as solenidades que tenham procissões, indicando suas saídas e chegadas, toca-se o Toque de Procissão. Semanalmente, às quintas-feiras, às 17:30h, na Igreja de Nossa Senhora da Conceição de Antônio Dias, toca-se a Chamada para a Adoração ao Santíssimo Sacramento, chamando os fiéis para a Adoração ao Santíssimo Sacramento, que será às 18:00h. Em ocasiões fúnebres, durante o dia do falecimento e quando o corpo do falecido chega ao local de sepultamento, toca-se o Toque Fúnebre, ou Toque de falecimento ou, também, simplesmente Sinal. Comunica o sexo do falecido e à qual Irmandade pertencia.",INRC - Linguagem dos Sinos em Minas Gerais
93,"Estadual||Minas Gerais||Catas Altas||-20,075023682707666   -43,40906561384078||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"Conhecido como Toque do Ângelus, é reproduzido diariamente às 6:00hs, 12:00hs e 18:00hs por um sineiro.
Consiste em 9 badaladas tocadas nos horários explicitados acima. A diferença básica deste para os demais é que o sineiro não necessita de um contato com a torre, pois o sino pode ser executado de dentro da igreja através de uma corda que desce da torre ao interior da igreja.
Este toque relata a sobrevivência de uma prática religiosa antiga na localidade. Sua função em tais horários atua como um chamado à reflexão católica relembrando a Anunciação do Anjo à Maria.
É importante destacar que este Toque às 06:00 hs e às 12:00 hs é chamado de Hora do Ângelus e às 18:00 hs  Ave Maria. Também é importante destacar que a execução deste toque independe de outras atividades religiosas que estejam acontecendo dentro da igreja às 12:00 hs e às 18:00 hs, como por exemplo, casamentos, missas, etc.",INRC - Linguagem dos Sinos em Minas Gerais
94,"Estadual||Minas Gerais||Catas Altas||-20,074978336225072   -43,40902269849716||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"Este toque é conhecido como toque de procissão e foi observado como toque para a procissão à pé. O toque geralmente é executado por 1 sineiro, mas  por ser um toque de longa duração este pode contar com a presença de mais de um sineiro se revezando.
Este toque é executado em apenas 1 sino e consiste em um dobrar constante do sino, atingindo o ângulo de 180° e às vezes de 360°, é tocado durante todo o Trajeto da procissão e geralmente no sino principal da Igreja, ou seja o maior sino.
A importância deste toque para a vida local está no fato do mesmo ser um sinal claro para a comunidade da procissão em movimento pelas ruas da cidade.",INRC - Linguagem dos Sinos em Minas Gerais
95,"Estadual||Minas Gerais||Catas Altas||-20,075028721205868   -43,409108529185325||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Reconhecimento,"Este toque é conhecido como toque de procissão festiva e está presente nas solenidades de procissões, sejam procissões à pé ou procissões com veículos e é geralmente executado por 2 sineiro.
Este toque é executado em 4 sinos consiste em um Dobrar constante de 1 sino (o mais grave da Torre), atingindo o ângulo de 180° e às vezes de 360°, e no Repique dos outros 3 sinos. O Toque é executado durante todo o Trajeto da procissão. 
A importância deste toque para a vida local está no fato do mesmo ser um sinal claro para a comunidade da procissão em movimento pelas ruas da cidade","Registro do Toque dos Sinos em Minas Gerais - tendo como referência São João Del Rei e as cidades de Ouro Preto, Mariana, Catas Altas, Congonhas do Campo, Diamantina, Sabará, Serro e Tiradentes como Patrimônio Cultural do Brasil"
96,"Estadual||Minas Gerais||Catas Altas||-20,074968259226974   -43,40829313764458||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"Este toque tem a função de chamar os fiéis para as solenidades litúrgicas da Adoração e do Plenário sempre nas primeiras Sextas-Feiras e Quintas-Feiras do mês respectivamente às 17:00 hs e é geralmente executado por 1 sineiro que toca os 4 sinos simultaneamente por meio de uma amarração específica das cordas que unem os sinos 2 a 2.
O toque de chamada pra missa é geralmente executado em 4 sinos e é dividido pelas seguintes partes: 
Repique
I.	No início dá-se a Entrada pro repique que são badaladas espaçadas no sino menor que aos poucos vão ganhando velocidade. 
II.	Em seguida há uma badalada em cada sino da torre e inicia-se então o repique 
III.	O repique é feito a 4 sinos tocados simultaneamente terminando com uma badalada simultânea nos 4 sinos. (Tal evento repete-se por 2 vezes sendo intercalado por  pequenas pausas).
Entradinha (para finalizar o toque para a Adoração ou o Plenário)
I.	Inicia-se com badaladas espaçadas no sino menor e que pouco a pouco ganham velocidade, 
II.	Segue-se então uma badalada em cada sino da torre. 
III.	Para finalizar o sino maior inicia uma seqüência de badaladas espaçadas que também aos poucos ganham velocidade. 
Estes 2 eventos duram cera de 6 minutos e culminam no seguinte esquema formal:
    Entrada para o Repique (1 Sino) + Repique 2x (4 sinos) + Entradinha (1 sino)    

A importância deste toque para a vida local está no fato do mesmo ser um sinal claro para a comunidade de convite aos atos da Adoração e do Plenário.É importante destacar que este toque difere-se do toque de Missa somente pelo número de vezes com que é repetido.",INRC - Linguagem dos Sinos em Minas Gerais
97,"Estadual||Minas Gerais||Mariana||-20,373724451302806   -43,41647106331096||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"Este toque é muito usual em grande parte das igrejas de Mariana. Consiste no toque que precede a missas, novenas, trezenas e qüinqüenas em cerca de 30 minutos e é executado por apenas 1 sineiro.
Por via de regra é executado em somente 1 dos sinos, geralmente o maior sino da torre. Tal toque não necessita de um contato do sineiro com a torre, pois pode ser executado de dentro da igreja através de uma corda que desce da torre ao interior da igreja. A sua execução consiste em badaladas espaçadas que alternam em relação à velocidade resultando em uma cadência rítmica diversificada. É comum, também, haver variantes desse toque. 
Este toque envolve um considerável número de executantes, geralmente zeladores, por ser um toque que é usado para chamada de missa em horários diversos.
A relevância deste toque está no fato do mesmo atuar para a comunidade de fiéis católicos como o grande confirmador dos horários das atividades religiosas.
6 – É importante destacar que a Entrada vem hoje substituir a um toque bem mais elaborado denominado Repique. Essa substituição da Entrada pelo Repique vem relatar um desaparecimento da atividade sineira na localidade, pois atualmente o toque vem sendo executado do interior da igreja demonstrando assim uma distância do sineiro para com a torre, e com as especificidades requeridas por determinados toques. Especificidades que só são possíveis através do contato direto do sineiro com o sino.",INRC - Linguagem dos Sinos em Minas Gerais
