,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Identifier,Título
87,Japão,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Japão | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Xícara com pires, confeccionada em porcelana branca fina, pintada, de origem japonesa, de pequeno porte, com motivos decorativos em japonaiserie.",273||86 | 89 | 90 | 426 | 427 | 428 | 429,Pires
88,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",272||240 | 248 a 271 | 273 a 276,Cadeira
89,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",271||240 | 248 a 270 | 272 a 276,Cadeira
90,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",270||240 | 248 a 269 | 271 a 276,Cadeira
91,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",269||240 | 248 a 268 | 270 a 276,Cadeira
92,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",268||240 | 248 a 267 | 269 a 276,Cadeira
93,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",267||240 | 248 a 266 | 268 a 276,Cadeira
94,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",266||240 | 248 a 265 | 267 a 276,Cadeira
95,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",265||240 | 248 a 264 | 266 a 276,Cadeira
96,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",264||240 | 248 a 263 | 265 a 276,Cadeira
97,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",263||240 | 248 a 262 | 264 a 276,Cadeira
98,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",262||240 | 248 a 261 | 263 a 276,Cadeira
99,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",261||240 | 248 a 260 | 262 a 276,Cadeira
100,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",260||240 | 248 a 259 | 261 a 276,Cadeira
101,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",259||240 | 248 a 258 | 260 a 276,Cadeira
102,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",258||240 | 248 a 257 | 259 a 276,Cadeira
103,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",257||240 | 248 a 256 | 258 a 276,Cadeira
104,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",256||240 | 248 a 255 | 257 a 276,Cadeira
105,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",255||240 | 248 a 254 | 256 a 276,Cadeira
106,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",254||240 | 248 a 253 | 255 a 276,Cadeira
107,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",253||240 | 248 a 252 | 254 a 276,Cadeira
108,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",252||240 | 248 a 251 | 253 a 276,Cadeira
109,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",251||240 | 248 a 250 | 252 a 276,Cadeira
110,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",250||240 | 248 | 249 | 251 a 276,Cadeira
111,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",249||240 | 248 | 250 a 276,Cadeira
112,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por hastes horizontais, tendo pernas de secção quadrangular. Apresenta ornamentação em filetes em madeira mais clara e travejamento em “H”.",248||240 | 249 a 276,Cadeira
113,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, de formato retangular, com tampa fixada por dobradiças, tendo espelho de fechadura em metal, apoiada sobre quatro pés.",247,Arca
114,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, de estrutura retangular, composto por gavetas e gavetões, tendo alças em metal.",246,Arcaz
115,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, de estrutura longilínea, recortado nas laterais em linhas sinuosas e ornado por pináculos, com assento em caixa e apoiado sobre três pés recortados.",245,Banco
116,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, contendo duas gavetas com alças em metal dourado, pés de cavalete e travejamento.",244,Mesa
117,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, de estrutura longilínea, recortado nas laterais em linhas sinuosas, com assento em caixa e apoiado sobre pés recortados.",243,Banco
118,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, de estrutura longilínea, recortado nas laterais em linhas sinuosas, com assento em caixa e apoiado sobre três pés recortados.",242,Banco
119,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, de estrutura longilínea, recortado nas laterais em linhas sinuosas, com assento em caixa e apoiado sobre dois pés recortados.",241,Banco
120,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, com encosto composto por hastes horizontais e verticais tendo seis pernas de secção quadrangular. Apresenta ornamentação composta por filetes em madeira clara e dois travejamentos em “H”.",240||248 a 276,Canapé
121,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira clara, de tampo circular, sustentado por coluna central em balaústre e apoiado sobre três pés recortados em curva.",239,Mesa de centro
122,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, com encosto recortado, com braços arrematados por volutas, apoiado sobre quatro pés.",238,Sofá
123,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, de estrutura longilínea, sem encosto, conhecido como “banco de mesa”, com assento em tábua lisa contendo abas em recorte sinuoso, apoiado sobre três pés recortados.",237||236,Banco
124,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, de estrutura longilínea, sem encosto, conhecido como “banco de mesa”, com assento em tábua lisa contendo saia em recorte sinuoso, apoiado sobre três pés recortados.",236||237,Banco
125,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, contendo seis gavetas e apoiado sobre oito pernas.",235,Mesa [de refeitório]
126,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, composto por duas portas e umA GAVETA, apoiado sobre pés recortados.",234,Guarda-louça
127,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, composto por duas portas e duas gavetas, apoiado sobre pés recortados.",233,Aparador
128,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira clara, apoiado sobre quatro pernas retas, com pés de cavalete.",232,Mesa
129,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Objeto confeccionado em madeira, com duas gavetas, apoiada sobre quatro pernas, com tampo retangular dobrável.",231,Mesa [de aba e cancela]
130,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Objeto confeccionado em madeira, com tampo retangular, apoiado sobre quatro pernas e com pés de cavalete.",230,Mesa
131,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, de estrutura longilínea, recortado nas laterais em linhas sinuosas, com assento em caixa e apoiado sobre dois pés recortados.",229,Banco
132,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, com uma gaveta, pernas retilíneas, com ornamentação em embutidos e pés retos.",228,Mesa de encostar
133,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Objeto confeccionado em madeira, de estrutura retangular, com tampa fixada por dobradiças em metal, apoiada sobre quatro pés.",227,Arca
134,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Objeto confeccionado em madeira, com duas gavetas, pernas torneadas, com tampo dobrável.",226,Mesa [de aba e cancela]
135,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Objeto confeccionado em madeira, para encaixe no canto de parede, composto por duas portas, apoiado sobre pés recortados.",225,Armário [de canto]
136,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, com uma gaveta, pernas retilíneas, com ornamentação em embutidos e pés retos.",224,Mesa de encostar
137,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Objeto confeccionado em madeira, com cabeceira entalhada e quatro varais de dossel, apoiada sobre quatro pés, com ornamentação em marchetaria.",223,Leito [de casal]
138,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, com uma gaveta, pernas retilíneas, com ornamentação em embutidos e pés retos.",222,Mesa de encostar
139,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, de estrtuura retangular, com tampa fixada por dobradiças, tendo fechadura em metal, apoiada sobre quatro pés.",221,Arca
140,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, com duas gavetas, pernas retilíneas, com ornamentação em embutidos e pés retos.",220,Mesa de encostar
141,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Objeto confeccionado em madeira, com duas gavetas e pés de lira.",219,Mesa
142,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, com cabeceira e peseira entalhadas, apoiada sobre quatro pés.",218,Leito
143,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, de estrutura retangular, com tampa fixada por dobradiças, apoiada sobre quatro pés.",217,Arca
144,Brasil > [Minas Gerais?],05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, de estrutura retangular delgada, com tampa fixada por dobradiças, tendo fechaduras em metal, apoiada sobre quatro pés.",216,Arca
145,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, com duas gavetas, saia recortada, pernas abauladas, joelheiras proeminentes e pés em sapata.",215,Mesa de encostar
146,Brasil > [Minas Gerais?],05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, com cabeceira entalhada e dossel, apoiada sobre quatro seis.",214,Leito [de casal]
147,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, com um gavetão ornado por volutas e escudos, pernas retas e espessas, com travejamento.",213,Mesa
148,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, com uma gaveta, pernas retilíneas, com ornamentação em embutidos e pés retos.",212,Mesa
149,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, apoiada sobre quatro pernas recortadas em curva, com travejamento em “H” e pés em espiral.",211,Mesa
150,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, de formato retangular, com tampa fixada por dobradiças, tendo fechadura em metal, apoiada sobre quatro pés.",210,Caixa de Esmolas
151,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX > 1822,"Objeto confeccionado em madeira, com gavetas, apoiado sobre pés.",209,Cômoda
152,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Objeto confeccionado em madeira, com cabeceira entalhada, apoiada sobre quatro pés.",208,Leito [de solteiro]
153,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Objeto confeccionado em madeira, de estrutura retangular, com tampa fixada por dobradiças, tendo fechadura em metal, apoiado sobre quatro pés.",207,Arca
154,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Objeto confeccionado em madeira, de formato retangular, com tampa fixada por dobradiças, tendo fechadura em metal, apoiada sobre quatro pés.",206,Arca
155,[Portugal?],05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, com cabeceira entalhada e dossel, apoiada sobre quatro pés.",205,Leito [de casal]
156,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, com duas gavetas, apoiada sobre quatro pernas recortadas em curva, com pés de lira.",204,Mesa
157,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, com duas gavetas, apoiado sobre seis pernas em balaústre.",203,Mesa
158,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, com cabeceira entalhada e varais de dossel, apoiada sobre quatro pés.",202,Leito [de solteiro]
159,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, com seis gavetas e um gavetão, apoiado sobre pés.",201,Cômoda
160,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, de formato retangular, com tampa fixada por dobradiças, tendo fechadura em metal, apoiada sobre quatro pés.",200,Arca
161,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, para encaixe no canto de parede, composto por duas portas almofadadas e apoiado sobre pés recortados.",199,Armário [de canto]
162,Brasil > [Minas Gerais?],05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira (jacarandá), de assento ovalado, encosto trapezoidal e pernas ligeiramente abertas, com travejamento em “H”.",198||197,Cadeira||Cadeira de Bacalhau
163,Brasil > [Minas Gerais?],05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira (jacarandá), de assento ovalado, encosto trapezoidal e pernas ligeiramente abertas, com travejamento em “H”.",197||198,Cadeira||Cadeira de Bacalhau
164,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, composto por duas portas, com quatro prateleiras e apoiado sobre pés recortados.",196,Armário
165,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Objeto confeccionado em madeira recortada e pintada, de estrutura longilínea, recortado nas laterais em linhas sinuosas, com pinturas campestres e assento em tábua corrida. Peça apoiada sobre pés recortados. Policromia: azul, castanho, bege, marrom, amarelo, verde, branco",195,Banco
166,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Objeto confeccionado em madeira, com uma gaveta, saia recortada, pernas abauladas, joelheiras proeminentes e pés em sapata.",194,Mesa de encostar
167,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira, com um gavetão almofadado, pernas em cavalete e travejamento.",193,Mesa de encostar
168,Brasil > [Bahia?],05 Interiores > 05.5 Peça de Mobiliário||Brasil | Mobiliário | Século XIX,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), com tampo dobrável apoiada por coluna central abalaustrada e base recortada em três pés.",192||191,Mesa de encostar
169,Brasil > [Bahia?],05 Interiores > 05.5 Peça de Mobiliário||Brasil | Mobiliário | Século XIX,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), com tampo dobrável apoiada por coluna central abalaustrada e base recortada em três pés.",191||192,Mesa de encostar
170,Brasil > [Rio de Janeiro?],11 Transporte > 11.6 Transporte Terrestre||Brasil | Meios de Transporte | Século XIX | Século XVIII,Não identificado,Século XVIII,"Objeto confeccionado em madeira pintada e dourada, com assento, janelas de vidro e quatro varas para o transporte. Policromia: verde, vermelho, cinza, azul, branco, amarelo, castanho, preto",190,Cadeirinha [de arruar]
171,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||Brasil | Minas Gerais | Religião | Século XIX | Século XVIII,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), com abertura frontal e pintura com rosinhas-de-malabar na parte interna. Policromia: azul, vermelho, branco e verde.",187,Oratório
172,Brasil > Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Não identificado,Século XVIII,"Peça esculpida em quatro partes de madeira, com encaixe nos ombros e laço do perizônio; policromia em bege, branco, verde, vermelho e preto; restos de douramento na base do perizônio.",186,Escultura Religiosa||“Crucifixo”
173,Brasil > Minas Gerais,08 Insígnias,Não identificado,Século XVIII,"Peça entalhada em duas partes de madeira (cedro), encaixada na base.",185,Palma
174,Brasil > Minas Gerais,04 Construção > 04.4 Fragmento de Construção||Brasil | Minas Gerais | Religião | Século XIX | Século XVIII,Não identificado,Século XIX,"Objeto esculpido em pedra-sabão, na técnica da cantaria, composta por bacia e coluna.",184,Pia Batismal
175,Brasil > [Minas Gerais?],11 Transporte > 11.3 Acessório de Transporte Terrestre||Acessório de Transporte | Brasil | Minas Gerais | Século XIX | Século XVIII,Não identificado,Século XIX,"Objeto confeccionado em madeira e metal (ferro), com cano longilíneo e estrutura em madeira contendo vareta de metal para socar munição, além de coronha em madeira.",183,Freio de cavalgadura
176,Brasil > [Rio de Janeiro?],05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Brasil | Século XIX | Século XX | Utensílios Domésticos,Não identificado,Século XIX | Século XX,"Objeto confeccionado em vidro transparente, com pé circular.",181,Cálice
177,Brasil > [Rio de Janeiro?],05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Brasil | Século XIX | Século XX | Utensílios Domésticos,Não identificado,Século XIX | Século XX,"Objeto confeccionado em vidro fosco, ornado por motivos florais pintados e com pé circular.",180,Cálice
178,Brasil > Minas Gerais,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Brasil | Século XIX | Século XVIII | Utensílios Domésticos,Não identificado,Século XIX,"Objeto confeccionado em madeira, com orifícios para encaixe de quatro copos e haste central para manuseio do objeto.",179,Porta-copos
179,Brasil > Minas Gerais,05 Interiores > 05.3 Equipamento de serviços domésticos||Brasil | Minas Gerais | Século XIX | Usos e Costumes,Não identificado,Século XIX,"Objeto confeccionado em metal (ferro), com estrutura inferior espessa e alça sinuosa.",178,Ferro de passar
180,Brasil > Minas Gerais,05 Interiores > 05.3 Equipamento de serviços domésticos||Brasil | Minas Gerais | Século XIX | Usos e Costumes,Não identificado,Século XIX,"Objeto confeccionado em metal (ferro), com estrutura inferior em chapa delgada e alça sinuosa.",177,Ferro de passar
181,Brasil > Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.6 Pintura||Brasil | Família Mourão | Minas Gerais | Pintura | São João del Rei | Século XIX,Edgard Parreiras,Século XX,"Pintura a óleo sobre tela, representando Anna Isabel de Castro Mourão (1848-1893). Policromia: marrom claro, marrom escuro, azul, amarelo, preto.",176||175,Retrato (Pintura)||Anna Isabel de Castro Mourão
182,Brasil > Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.6 Pintura||Brasil | Família Mourão | Minas Gerais | Pintura | São João del Rei | Século XIX,Edgard Parreiras,Século XX,"Pintura a óleo sobre tela, representando Aureliano Martins de Carvalho Mourão (1846-1922). Policromia: marrom claro, marrom escuro, cinza.",175||176,Retrato (Pintura)||Aureliano Martins de Carvalho Mourão
183,Brasil > [Minas Gerais?],02 Artes Visuais/Cinematográfica > 02.6 Pintura||Brasil | Família Mourão | Minas Gerais | Pintura | São João del Rei | Século XIX,Edouard Vienot | Morisset,Século XIX,"Pintura a óleo sobre tela, representando o Comendador João Antônio da Silva Mourão. Policromia: marrom claro, preto, rosa, amarelo, cinza esverdeado e vermelho.",174,Retrato (Pintura)||Comendador João Antônio da Silva Mourão
184,França > Marselha,04 Construção > 04.4 Fragmento de Construção||Construção Civil | França | Século XIX,Brevetes S.G. D. G,Século XIX > 1880,"Objeto em barro cozido, de formato retangular, com inscrições incavas em francês.",171||137,Telha||Telha marselhesa
185,Brasil > [Rio de Janeiro?],02 Artes Visuais/Cinematográfica > 02.6 Pintura||Brasil | Guarda Nacional | Pintura | Século XX,C. Bacchi,Século XX > 1913,"Pintura a óleo sobre tela, representando o Coronel da Guarda Nacional Álvaro da Cunha. Policromia: marrom, verde, amarelo, prateado, dourado, castanho escuro, branco, preto.",170,Retrato (Pintura)||Coronel da Guarda Nacional Álvaro da Cunha
186,[França?] | [Inglaterra?],10 Comunicação > 10.2 Equipamento de Comunicação Escrita||Comunicação | Europa | Século XIX,Não identificado,Século XIX,"Objeto confeccionado em metal (prata), composto por bandeja e cinco recipientes e um castiçal. Sem marca.",169,Tinteiro-escrivaninha
187,Brasil > Minas Gerais,09 Objetos Cerimoniais > 09.3 Objeto de Culto||Brasil | Minas Gerais | Religião | Século XIX | Século XVIII,Não identificado,Século XVIII,"Objeto confeccionado em metal (prata e prata dourada), composta por caixa circular em vidro circundada por raios de sol em metal, com haste contendo ornamentação em relevo e base circular.",168,Ostensório
