Altura (cm),Autor,Classificação,Condições de reprodução,Denominação,Document,Estado de conservação,Largura (cm),Link do Item,Localização atual,Material,Modo de aquisição,Número de registro,Origem,Procedência,Profundidade (cm),Situação,Técnica,Título,Data de aquisição,Armário/Estante/Mapoteca,Diâmetro (cm),Prateleira/Gaveta,Andar,Comprimento (cm),data de produção,Ano de produção,Condições de segurança,Nº anterior,Proteção legal,Conjunto com nº,Temas,Características técnicas,Características iconográficas/ornamentais,Características estilísticas,Espessura (cm),Circunferência (cm)
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36721,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-131/,,metal,Doação,339,Rio de Janeiro,Serro (MG),,Localizado,fundição,2 cruzeiros,07/11/1985,Estante 05,"2,5",03 (caixa),2º,,Séc. XX,1945,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-República | Numismática Século XX,Moeda fundida em metal.,,,"0,22",
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36717,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-130/,,metal,Doação,338,Rio de Janeiro,Serro (MG),,Localizado,fundição,,07/11/1985,Estante 05,"2,6",03 (caixa),2º,,Séc. XX,1913,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-República | Numismática Século XX,Moeda fundida em metal.,,,"0,21",
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36713,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-129/,,metal,Doação,337,Rio de Janeiro,Serro (MG),,Localizado,fundição,,07/11/1985,Estante 05,"2,6",03 (caixa),2º,,Séc. XX,1927,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-República | Numismática Século XX,Moeda fundida em metal.,,,"0,2",
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36709,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-128/,,metal,Doação,336,Rio de Janeiro,Serro (MG),,Localizado,fundição,,07/11/1985,Estante 05,3,03 (caixa),2º,,Séc. XX,1925,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-República | Numismática Século XX,Moeda fundida em metal.,,,"0,19",
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36705,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-127/,,metal,Doação,335,Rio de Janeiro,Serro (MG),,Localizado,fundição,,07/11/1985,Estante 05,"2,5",03 (caixa),2º,,Séc. XX,1901,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-República | Numismática Século XX,Moeda fundida em metal.,,,"0,2",
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36701,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-126/,,metal,Doação,334,Rio de Janeiro,Serro (MG),,Localizado,fundição,1000 réis,07/11/1985,Estante 05,"2,4",03 (caixa),2º,,Séc. XX,1939,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-República | Numismática Século XX,Moeda fundida em metal.,,,"0,21",
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36697,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-125/,,metal,Doação,333,Rio de Janeiro,Serro (MG),,Localizado,fundição,,07/11/1985,Estante 05,"2,7",03 (caixa),2º,,Séc. XIX,1889,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-República | Numismática Século XX,Moeda fundida em metal.,,,"0,19",
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36693,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-124/,,metal,Doação,332,Rio de Janeiro,Serro (MG),,Localizado,fundição,,07/11/1985,Estante 05,"2,8",03 (caixa),2º,,Séc. XX,1901,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-República | Numismática Século XX,Moeda fundida em metal.,,,"0,21",
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36689,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-123/,,metal,Doação,331,Rio de Janeiro,Serro (MG),,Localizado,fundição,2000 réis,07/11/1985,Estante 05,"2,6",03 (caixa),2º,,Séc. XX,1939,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-República | Numismática Século XX,Moeda fundida em metal.,,,"0,24",
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36685,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-122/,,metal,Doação,330,Rio de Janeiro,Serro (MG),,Localizado,fundição,,07/11/1985,Estante 05,"3,2",03 (caixa),2º,,Séc. XIX,1888,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-Império | Numismática Século XIX,Moeda fundida em metal.,,,"0,21",
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36681,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-121/,,metal,Doação,329,Rio de Janeiro,Serro (MG),,Localizado,fundição,400 réis,07/11/1985,Estante 05,3,03 (caixa),2º,,Séc. XX,1901,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-República | Numismática Século XX,Moeda fundida em metal.,,,"0,21",
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36672,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-119/,,metal,Doação,327,Rio de Janeiro,Serro (MG),,Localizado,fundição,,07/11/1985,Estante 05,"3,1",03 (caixa),2º,,Séc. XIX,1888,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-Império | Numismática Século XIX,Moeda fundida em metal.,,,"0,23",
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36658,Ruim,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-116/,,metal,Doação,324,Rio de Janeiro,Serro (MG),,Localizado,fundição,20,07/11/1985,Estante 05,"3,7",03 (caixa),2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-Império | Numismática Século XIX,Moeda fundida em metal.,,,"0,18",
,Não Identificada,05 Interiores > 05.4 Objeto de Iluminação,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Luminária de vidro,36652,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/luminaria-de-vidro-6/,,bronze | metal | vidro,Compra,323,,Minas Gerais,,Localizado,corte | fundição,,1986,,,,2º,,Séc. XX,,Boa,Não encontrado,Federal | Tomb. em conjunto,322,Iluminação | Minas Gerais | Século XX,"Luminária suspensa por corrente e com bocal em metal dourado, tendo cúpula em vidro transparente.",,,,
,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Luminária de vidro,36650,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/luminaria-de-vidro-5/,,bronze | metal | vidro,Compra,322,,Minas Gerais,,Localizado,corte | fundição,,1986,,,,2º,,Séc. XX,,Boa,Não encontrado,Federal | Tomb. em conjunto,323,Iluminação | Minas Gerais | Século XX,"Luminária suspensa por corrente e com bocal em metal dourado, tendo cúpula em vidro transparente.",,,,
,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Lustre,36648,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/lustre-19/,,jacarandá | madeira,Doação,321,Minas Gerais,Serro (MG),,Localizado,entalhe,,1984,,,,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,Iluminação | Minas Gerais | Século XVIII/XIX,"Lustre entalhado em madeira com motivos fitomorfos, bolas, bolachas e frisos. Apresenta quatro braços.","Ornatos: motivos fitomorfos e florais, bolas, bolachas, gomos, volutas.",,,
,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Lustre,36646,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/lustre-18/,,jacarandá | madeira,Doação,320,Minas Gerais,Serro (MG),,Localizado,entalhe,,1984,,,,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,Iluminação | Minas Gerais | Século XVIII/XIX,"Lustre entalhado em madeira com motivos fitomorfos, bolas, bolachas e frisos. Apresenta seis braços.","Ornatos: motivos fitomorfos e florais, bolas, bolachas, gomos, volutas.",,,
,Não identificado,15 Embalagens/Recipientes,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Caixa,36640,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/caixa-3/,,couro | linha | metal,Compra,319,Minas Gerais,Minas Gerais,,Localizado,costura | fundição | lavrado,,1986,Estante 05,,3,2º,,Séc. XX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,Minas Gerais | Século XX | Usos e Costumes,"Caixa retangular confeccionada em couro liso, no tom marrom claro, forrada na parte interna por couro em tom bege.",,,,
,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Lustre,36636,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/lustre-17/,Reserva Técnica 02/ lado direito preso ao teto/ Reserva Técnica 01 [outras partes],bronze | cristal | metal,Compra,318,,Minas Gerais,,Localizado,corte | fundição,Lustre com 6 braços,1986,Estante 07,,04 (caixa),2º,,Séc. XIX,,Boa,215/94,Federal | Tomb. em conjunto,,Iluminação | Minas Gerais | Século XVIII/XIX,"Lustre fundido em metal (bronze), com donzelas em cristal transparente.","Ornatos: motivos florais e fitomorfos, gomos e faixa perolada.",,,
,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Lustre,36634,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/lustre-16/,Reserva Técnica 02/ lado direito preso ao teto,metal,Compra,317,Bélgica,Minas Gerais,,Localizado,fundição,Lustre Belga,1985,,,,2º,,Séc. XIX,,Boa,214/ 94,Federal | Tomb. em conjunto,,Iluminação | Minas Gerais | Século XVIII/XIX,,,,,
,[Casa da Moeda do Brasil],03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Moeda,36630,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/moeda-115/,,metal,Doação,316,Rio de Janeiro,Serro (MG),,Localizado,fundição,1 centavo,07/11/1985,Estante 05,"1,4",03 (caixa),2º,,Séc. XX,1986,Boa,Não encontrado,Federal | Tomb. em conjunto,,Brasil-República | Numismática Século XX,Moeda fundida em metal.,,,"0,12",
,[Casa da Moeda do Brasil],06 Trabalho > 06.3 Equipamento de Artistas/Artesãos,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Molde de medalha,36606,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/molde-de-medalha-20/,,gesso,Doação,311,Rio de Janeiro,Minas Gerais,,Localizado,modelagem,Homenagem a Christiano Ottoni,,Estante 05,"5,2",03 (caixa),2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,Família Ottoni | Minas Gerais | Século XX,"Molde de medalha de gesso modelado, com inscrições em baixo-relevo e em alto-relevo.",,,"0,33",
,[Casa da Moeda do Brasil],06 Trabalho > 06.3 Equipamento de Artistas/Artesãos,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Molde de medalha,36602,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/molde-de-medalha-19/,,gesso,Doação,310,Rio de Janeiro,Minas Gerais,,Localizado,modelagem,Centenário de C. B. Ottoni,,Estante 05,"5,2",03 (caixa),2º,,Séc. XX,1914,Boa,Não encontrado,Federal | Tomb. em conjunto,,Família Ottoni | Minas Gerais | Século XX,"Molde de medalha de gesso modelado, com inscrições em baixo-relevo.",,,"0,35",
,[Montini (Escultor) / Casa da Moeda do Brasil],06 Trabalho > 06.3 Equipamento de Artistas/Artesãos,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Molde de medalha,36598,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/molde-de-medalha-18/,,gesso,Doação,309,São Paulo,Minas Gerais,,Localizado,modelagem,I Centenário da Cidade de Teófilo Ottoni,,Estante 05,5,03 (caixa),2º,,Séc. XX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,Família Ottoni | Minas Gerais | Século XX,"Molde de medalha de gesso modelado, com desenho e inscrições em baixo-relevo.",,,"0,45",
,[Casa da Moeda do Brasil],06 Trabalho > 06.3 Equipamento de Artistas/Artesãos,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Molde de medalha,36594,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/molde-de-medalha-17/,,gesso,Doação,308,Rio de Janeiro,Minas Gerais,,Localizado,modelagem,Centenário de Christiano Ottoni,,Estante 05,"5,1",03 (caixa),2º,,Séc. XX,1911,Boa,Não encontrado,Federal | Tomb. em conjunto,,Família Ottoni | Minas Gerais | Século XX,"Molde de medalha de gesso modelado, com desenho e inscrições em baixo-relevo.",,,"0,48",
,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Imaginária Sacra,36586,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/imaginaria-sacra-15/,,madeira | tinta,Doação,307,Minas Gerais,Minas Gerais,,Localizado,entalhe | policromia,São Francisco dos Espinhos,,Estante 08,,3,2º,,Séc. XIX,,Boa,02.12.41 | 81/94,Federal | Tomb. em conjunto,,Minas Gerais | Religião | Século XIX,,,,,
,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Oratório Portátil,36582,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/oratorio-portatil-24/,,ferro batido | madeira | tinta,Doação,306,Minas Gerais,Minas Gerais,,Localizado,entalhe | policromia,,,Estante 06,,4,2º,,Séc. XVIII/XIX,,Boa,187/94,Federal | Tomb. em conjunto,,Minas Gerais | Mobiliário | Religião | Século XVIII,,,"Oratório de manufatura rústica, em estilo colonial mineiro. Policromia: preto, verde, vermelho.",,
,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Oratório,36578,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/oratorio-6/,Reserva Técnica 02/ sobre mesa nº 21 no centro,folha de ouro | madeira | tinta,Doação,305,Minas Gerais,Igreja da Purificação | Serro (MG),,Localizado,douramento | entalhe | policromia,,,,,,2º,,Séc. XVIII,,Boa,25/88 | 025/1981,Federal | Tomb. em conjunto,,Minas Gerais | Mobiliário | Século XVIII/XIX,,,"O oratório tem as características do estilo mineiro, desenvolvido na região no século XVIII.",,
,Não identificado,05 Interiores > 05.1 Acessório de Interiores,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Peanha,36576,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/peanha-6/,,folha de ouro | madeira,Doação,304,Minas Gerais,Minas Gerais,,Localizado,douramento | entalhe,,,Estante 07,,4,2º,,Séc. XVIII,,Boa,Não encontrado,Federal | Tomb. em conjunto,,Minas Gerais | Religião | Século XVIII/XIX,,,,,
,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Oratório Portátil,36572,Ruim,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/oratorio-portatil-23/,,ferro batido | madeira | tinta,Doação,303,Minas Gerais,Minas Gerais,,Localizado,entalhe | policromia,,,Estante 07,,1,2º,,Séc. XIX,,Boa,112/94 | 85.17,Federal | Tomb. em conjunto,,Minas Gerais | Mobiliário | Religião | Século XIX,,,"Oratório de manufatura erudita, em estilo neoclássico. Policromia: amarelo, verde, vermelho, azul.",,
,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Oratório Portátil,36568,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/oratorio-portatil-22/,,ferro batido | madeira | tinta,Doação,302,Minas Gerais,Minas Gerais,,Localizado,entalhe | policromia,,,Estante 06,,4,2º,,Séc. XVIII/XIX,,Boa,189/94 | 01.002.002,Federal | Tomb. em conjunto,,Minas Gerais | Mobiliário | Religião | Século XVIII,,"Cimalha em ""canga-de-boi"".","Oratório de manufatura rústica, em estilo colonial mineiro. Policromia: azul e vermelho.",,
,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Oratório Portátil,36564,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/oratorio-portatil-21/,,ferro batido | madeira | tinta,Doação,301,Minas Gerais,Igreja da Purificação | Serro (MG),,Localizado,entalhe | policromia,,,,,,1º,,Séc. XVIII,,Boa,27/88 | 01.006.006,Federal | Tomb. em conjunto,,Minas Gerais | Mobiliário | Religião | Século XVIII,,"Ornatos: concha estilizada ""rocaille""; motivos florais típicos da região de Minas Gerais","Oratório de manufatura erudita, em estilo rococó. Policromia: azul claro, amarelo, preto, vermelho, branco e  verde.",,
,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Oratório Portátil,36560,Ruim,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/oratorio-portatil-20/,,ferro batido | madeira | tinta,Doação,300,Minas Gerais,,,Localizado,entalhe | policromia,,,Estante 06,,4,2º,,Séc. XVIII,,Boa,229/94 | 01.001.001,Federal | Tomb. em conjunto,,Minas Gerais | Mobiliário | Religião | Século XVIII,,Ornatos: concha estilizada; motivos florais típicos da região de Minas Gerais,"Oratório de manufatura rústica. Policromia: azul claro, vermelho, branco e  verde.",,
,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Oratório Portátil,36556,Ruim,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/oratorio-portatil-19/,,folha de ouro | madeira | tinta,Doação,299,Minas Gerais,,,Localizado,douramento | entalhe | policromia,,,Estante 06,,3,2º,,Séc. XIX,,Boa,28/88 | 01.007.007,Federal | Tomb. em conjunto,,Minas Gerais | Século XIX,,Ornatos: concha estilizada,"Oratório de manufatura erudita, com elementos do estilo neoclássico. Policromia: azul claro, vermelho, branco e  verde. Douramento.",,
,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Oratório,36552,Ruim,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/oratorio-5/,,folha de ouro | madeira | tinta,Doação,298,Minas Gerais,,,Localizado,douramento | entalhe | policromia,Oratório Lapinha,,Estante 06,,3,2º,,Séc. XVIII/XIX,,Boa,29/88 | 01.008.008,Federal | Tomb. em conjunto,,Minas Gerais | Rococó | Século XVIII,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Chave,,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/chave-7/,,ferro | metal,Doação,297,Minas Gerais,Igreja Bom Jesus do Matosinhos | Serro (MG),,Localizado,batido,,19/09/1985,Estante 05,,7,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,Construção Religiosa | Minas Gerais | Século XIX,Chave em ferro batido.,,,,
,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Crucifixo,36545,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/crucifixo-12/,,folha de ouro | madeira,,296,,Serro (MG),,Localizado,douramento | entalhe,,,Estante 06,,2,2º,,,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,05 Interiores > 05.1 Acessório de Interiores,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Peanha,36543,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/peanha-5/,"Sala ""Quarto de Viúva""/ dentro do oratório nº 40",madeira | tinta,Doação,295,Minas Gerais,Minas Gerais,,Localizado,entalhe | policromia,,,,,,2º,,Séc. XIX,,Boa,109/94 | 26a/88 | 84.38,Federal | Tomb. em conjunto,,Minas Gerais | Mobiliário | Religião | Século XVIII/XIX,,Ornatos: curva; motivos florais típicos da região de Minas Gerais (rosinhas de malabar).,"Peanha com escalonamento em cinco níveis Policromia: azul claro, vermelho, amarelo, verde e branco.",,
,Não identificado,12 Objetos Pessoais > 12.7 Objeto de Devoção Pessoal,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Bolsa de Corporal,36539,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/bolsa-de-corporal-3/,,linha | papel | rígido | tecido,,294,,Serro (MG),,Localizado,bordado | costura,,,Armário 01,,1,2º,,,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,12 Objetos Pessoais > 12.8 Peça de Indumentária,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Manípulo,36537,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/manipulo-3/,,linha | tecido,,293,,Serro (MG),,Localizado,bordado | costura,,,Armário 01,,1,2º,,,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,08 Insígnias,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Coroa,36534,Péssimo,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/coroa-3/,,metal | prata,Doação,292,Minas Gerais,Minas Gerais,,Localizado,fundição,,,Estante 06,,2,2º,,Séc. XVIII,,Boa,Não encontrado,Federal | Tomb. em conjunto,,Minas Gerais | Religião | Século XVIII/XIX,,,,,
,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Cristo Crucificado [fragmento] (Cristo),36532,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/cristo-crucificado-fragmento-cristo-3/,Reserva Técnica 01/ preso a cruz/ sobre a base próximo a janela,madeira | metal | prata | tinta | vidro,Doação,291,Minas Gerais,Minas Gerais,,Localizado,corte | entalhe | fundição | policromia,Cristo Crucificado,,,,,2º,,Séc. XVIII,,Boa,Não encontrado,Federal | Tomb. em conjunto,,Minas Gerais | Religião | Século XVIII/XIX,,,Estilo barroco.,,
,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Imaginária Sacra,36528,Ruim,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/imaginaria-sacra-14/,,madeira | tinta | vidro,Doação,290,[Portugal],Minas Gerais,,Localizado,corte | entalhe | policromia,Menino Jesus,,Armário 01,,4,2º,,Séc. XVIII,,Boa,Não encontrado,Federal | Tomb. em conjunto,,Minas Gerais | Religião | Século XVIII/XIX,,,Estilo barroco.,,
,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Sacrário [fragmento] (porta),36526,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/sacrario-fragmento-porta-3/,,ferro batido | folha de ouro | madeira | metal | tinta,Doação,289,Minas Gerais,Serro (MG),,Localizado,douramento | policromia | recorte,,,Estante 01,,5,2º,,Séc. XVIII,,Boa,163/94 | 85.07,Federal | Tomb. em conjunto,,Minas Gerais | Religião | Século XVIII/XIX,"Porta de sacrário em madeira recortada, pintada e dourada. Espelho de fechadura em ferro batido.","Ornatos: raios de sol, friso abaulado",,,
,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Crucifixo [fragmento] (cruz),36522,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/crucifixo-fragmento-cruz-9/,,madeira | metal | tinta,Doação,288,Minas Gerais,Serro (MG),,Localizado,entalhe | fundição | policromia,,,Estante 04,,3,2º,,Séc. XVIII/XIX,,Boa,41/88 | 041/1981,Federal | Tomb. em conjunto,,Minas Gerais | Religião | Século XVIII/XIX,"Crucifixo em madeira entalhada e policromada nos tons verde, azul e vermelho. Estandarte em metal na extremidade superior.","Ornatos: motivos florais, rocha estilizada e gomos.",,,
