Agente,Descrição,Document,Link do Item,Número do Programa,Título
Herivelto Martins,"Um compositor que tem muito a ver com ele, ao mesmo tempo que deixou uma obra de peso nas chamadas “músicas de meio de ano”, onde firmou seu nome na historia da música popular brasileira. Com composições antológicas e uma história de vida plena, ele é um personagem único, querido e inesquecível. O Estúdio F recebe Herivelto Martins. 

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13733,https://www.funarte.gov.br/estudio-f/estudio-f-herivelto-martins/,12,012 - Herivelto Martins
Ismael Silva,"Um compositor dos mais importantes da história do samba brasileiro. Ele foi fundador da primeira Escola de Samba que se tem noticia: a “Deixa Falar”. Parceiro de Noel Rosa e Lamartine Babo, também assinou parcerias com o cantor Francisco Alves, em acordo financeiro com o Rei da Voz. O Estúdio F recebe Ismael Silva.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",31661,https://www.funarte.gov.br/estudio-f/estudio-f-ismael-silva/,15,015 - Ismael Silva
Jacaré,"O único disco da carreira do pernambucano Jacaré, um dos seus maiores criadores do choro, o Choro Frevado foi gravado em 1985 em Recife, e tornou-se o maior legado que o compositor deixou para a música popular brasileira. É referencia obrigatória a todos os amantes do Choro, que sintetiza a genialidade de uma rica e autêntica escola de cavaquinho.",32167,https://www.funarte.gov.br/estudio-f/estudio-f-jacare/,17,017 - Jacaré
Jamelão,"Um artista à moda antiga, que se tornou o maior intérprete das composições do mestre Lupicínio Rodrigues e teve uma longa trajetória como principal cantor de samba-enredo da Estação Primeira de Mangueira, a mais popular escola do carnaval carioca.

O Estúdio F traz com orgulho algumas das histórias e canções que fazem parte da vida de Jamelão, uma das vozes mais poderosas da música popular brasileira.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13564,https://www.funarte.gov.br/estudio-f/estudio-f-jamelao/,51,051 - Jamelão
Silvio Caldas,"Ao lado de Francisco Alves, Orlando Silva e Carlos Galhardo, ele foi um dos quatro grandes cantores da época de ouro da MPB. Era um sambista cheio de bossa e craque no improviso, mas jamais deixou de lado o romantismo. Com seu canto limpo e apurado, fez da seresta um gênero de destaque no cenário musical.

Em clima de serenata, o Estúdio F - Série Intérpretes recebe Sílvio Caldas.

Leia o roteiro: EF.96.Silvio Caldas

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13383,https://www.funarte.gov.br/estudio-f/estudio-f-silvio-caldas/,96,096 - Silvio Caldas
Sueli Costa,"Ela é uma carioca-mineira que abandonou o curso de Direito para se tornar umas das mais importantes cantoras-compositoras da MPB. Tradutora sensível da alma feminina, sua obra ganhou as vozes de importantes cantoras brasileiras, o que tornou canções como “Medo de Amar”, “Coração Ateu” e “Jura Secreta” sucessos de público e crítica.

Face a Face com Sueli Costa, o Estúdio F está no ar.

Leia o roteiro: EF.98.Sueli Costa

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13378,https://www.funarte.gov.br/estudio-f/estudio-f-sueli-costa/,98,098 - Sueli Costa
Nora Ney,"Nascida em 23 de março de 1922, essa carioca do bairro de Olaria formou-se em Contabilidade pelo Instituto Rui Barbosa, mas, desde menina, sempre apresentou aptidão para a música. Antes de se lançar profissionalmente, ela fez parte do Sinatra-Farney Fã-clube, que promovia festas na residência do cantor Dick Farney no final dos anos 1940. Nesses encontros informais, a futura diva da MPB já mostrava seu talento e, dali, para a profissionalização, foi um pulo. Tornou-se uma das rainhas do rádio na década de 50, além de ser uma referência no canto das dores de amor.

Na contramão dos vozeirões e dos trinados lancinantes, o canto falado de Nora Ney dá o tom no Estúdio F – Série Intérpretes.

Leia o roteiro: EF.99.Nora Ney

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13368,https://www.funarte.gov.br/estudio-f/estudio-f-nora-ney/,99,099 - Nora Ney
Pixinguinha,"Alfredo da Rocha Vianna Filho é um carioca do bairro da Piedade que se tornou um dos nomes mais importantes da história da Música Popular Brasileira. Era o décimo-quarto filho de uma família musical. Logo que nasceu, em 23 de abril de 1897, recebeu da avó africana o apelido de Pizindin, que significa menino bom. Depois, por ter tido varíola - doença popularmente conhecida como bexiga –, passou a ser chamado de Bexiguinha. Da junção desses dois apelidos, surgiu o nome artístico que o consagraria para sempre.

O Estúdio F, comemorando sua centésima edição, carinhosamente apresenta Pixinguinha!

Leia o roteiro: EF.100. Pixinguinha

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13364,https://www.funarte.gov.br/estudio-f/estudio-f-pixinguinha/,100,100 - Pixinguinha
Zé Rodrix,"Filho de um mestre-de-banda, José Rodrigues Trindade nasceu no Rio de Janeiro em 25 de novembro de 1947. Estudou no Conservatório Brasileiro e na Escola Nacional de Música, onde aprendeu, além de teoria musical, harmonia, contraponto, piano, acordeom, flauta, saxofone e trompete. Começou sua carreira nos anos de chumbo, mas decidiu trocar o asfalto quente da repressão pela utopia comunitária e seguiu Brasil afora, erguendo a casa encantada do rock rural.

Com o pé na estrada, o Estúdio F vai de carona na viagem de Zé Rodrix.

Leia o roteiro: EF.104.Zé Rodrix

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13353,https://www.funarte.gov.br/estudio-f/estudio-f-ze-rodrix/,104,104 - Zé Rodrix
Paulo César Pinheiro,"Ele é um carioca que fez da própria obra uma verdadeira cartografia musical brasileira. Tinha uma carreira promissora como jogador de futebol, mas a música o tirou dos gramados e, foi compondo, que ele marcou mais gols do que Pelé. Tem mil canções gravadas e outras mil inéditas ainda guardadas, o que faz dele um recordista entre os compositores no Brasil e, possivelmente, em todo o mundo.

A poesia de Paulo César Pinheiro veio ao nosso encontro. Estúdio F está no ar.

Leia o roteiro: EF.105.Paulo Cesar Pinheiro

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13350,https://www.funarte.gov.br/estudio-f/estudio-f-paulo-cesar-pinheiro/,105,105 - Paulo César Pinheiro
Zé Kéti,"Um compositor vindo do proletariado carioca, que começou a marcar presença nos anos 50 com o ritmo no sangue, a poesia nas palavras e o talento do samba puro. Dono de uma malandragem ingênua, esse portelense de categoria flertou com o cinema e teve atuação fundamental nos anos 60 para manter viva a tradição do samba de morro na MPB.

A voz do morro ecoa no Estúdio F e traz Zé Keti cheio de opinião.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",27182,https://www.funarte.gov.br/estudio-f/estudio-f-ze-keti/,32,032 - Zé Kéti
Elza Soares,"Ela é uma carioca de Padre Miguel que, desde muito cedo, teve contato com a música. Ainda menina, já gostava de dizer no pé e no gogó. Quando ajudava a mãe lavadeira a carregar trouxas de roupa, sua maior distração era cantar. Assim, subia e descia o morro no compasso dos sambas de sucesso até que um dia resolveu soltar a voz no asfalto e se tornar uma estrela.

Talentosa e abusada, Elza Soares dá um show no Estúdio F – Série Intérpretes.

Leia o roteiro: EF.106.Elza Soares

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13342,https://www.funarte.gov.br/estudio-f/estudio-f-elza-soares/,106,106 - Elza Soares
Rosa Passos,"Com apenas três anos de idade, ela começou a estudar piano na Escola de Música da Bahia. Aos cinco, já estava formada em teoria infantil e passou a estudar em casa com o pai e o irmão. Aos quinze, ela trocou o piano pelo violão e, desde então, tem se dedicado a compor e a cantar. Em Cor de Rosa de Passos, Estúdio F está no ar.

Leia o roteiro: EF.107.Rosa Passos

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13338,https://www.funarte.gov.br/estudio-f/estudio-f-rosa-passos/,107,107 - Rosa Passos
Alaíde Costa,"Ela é uma carioca nascida no Méier  que costuma ser definida como a cantora dos músicos. Comparada a um instrumento de afinação irrepreensível, usa seu sentido musical aguçado para traçar a anatomia das canções mais difíceis. Mas sem jamais perder a doçura.

Alaíde Costa canta suavemente no Estúdio F – Série Intérpretes.

Leia o roteiro: EF.108.Alaíde  Costa

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",162250,https://www.funarte.gov.br/estudio-f/estudio-f-alaide-costa/,108,108 - Alaíde Costa
Marcos Valle,"Esse carioca com pinta de surfista é um dos mais importantes compositores da chamada segunda geração da bossa-nova. Mas, para além dos limites do movimento, ele formou, ao lado do irmão, uma das duplas de autores mais importantes da MPB. Seu trabalho ganhou o mundo, conquistando das pistas de dança londrinas ao público japonês. Com sua prancha musical, Marcos Valle vem surfar no Estúdio F.



",13329,https://www.funarte.gov.br/estudio-f/estudio-f-marcos-valle/,110,110 - Marcos Valle
João Pernambuco,"João Pernambuco foi mestre das cordas, ficou conhecido como Poeta do Violão. Compôs mais de cem músicas,  entre valsas, jongos, maxixes, emboladas,  toadas, cocos, prelúdios e choros.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13749,https://www.funarte.gov.br/estudio-f/estudio-f-joao-pernambuco/,6,006 - João Pernambuco
João do Vale,"Um compositor maranhense que tinha como missão cantar a alma nordestina. Homem errante, trabalhou de vendedor de laranjas em São Luís e de pedreiro em Copacabana. Ganhando cinco mil réis por mês, ele sonhava mesmo era viver de sua música. Uma música recheada de poesia natural, sem teoria. Era a voz do povo chegando, de mansinho, ao “sul maravilha”. E chega também ao Estúdio F.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13234,https://www.funarte.gov.br/estudio-f/estudio-f-joao-do-vale/,39,039 - João do Vale
João Roberto Kelly,"Um compositor carioca que ficou conhecido, na boca do povo, como “O Rei das Marchinhas”. O título não comporta a versatilidade de uma artista eclético, que fez samba, sambalanço e música de fossa, foi produtor e apresentador de TV e deu o ar da graça até mesmo na política.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13568,https://www.funarte.gov.br/estudio-f/estudio-f-joao-roberto-kelly/,49,049 - João Roberto Kelly
Lamartine Babo,"Um maioral cuja obra reflete, ao mesmo tempo, o espírito saudoso e alegre do brasileiro. Artista versátil, intuitivo, engraçado e dono de um talento multifacetado, ele fez das ondas do rádio um veículo de alegria e transformou a música de carnaval. Lamartine foi tão magistral na matéria que João de Barro - o saudoso Braguinha -  também uma importante autoridade em se tratando de marchinhas carnavalescas, sempre que indagado sobre o assunto, afirmava categorigamente: “Costumo dividir o carnaval em duas fases: antes e depois de Lamartine”. 

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13722,https://www.funarte.gov.br/estudio-f/estudio-f-lamartine-babo/,21,021 - Lamartine Babo
Luiz Vieira,"Um poeta que traz o nordeste na alma e o Brasil no coração. Criador de mais de 500 composições, ele é dono de uma obra que traça um verdadeiro painel da diversidade de ritmos da música brasileira. E toda essa riqueza é alinhavada com letras que falam de amor, mas que também não esquecem o lado social. Ele é um mestre em improvisar versos e gosta de ser chamado de cantador, porque cantor é aquele que canta como profissão e cantador é aquele pra quem cantar é viver.

O Estúdio F abre as portas para a entrada do eterno “menino passarinho”. Salve o poeta Luiz Vieira!

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13637,https://www.funarte.gov.br/estudio-f/estudio-f-luiz-vieira/,34,034 - Luiz Vieira
Lupicínio Rodrigues,"Um cronista do cotidiano amoroso que transitou entre as próprias tragédias e a arte de poetar. Mestre do samba-canção, ele é dono de uma obra cujas letras transformam os sentimentos em personagens e cujas melodias trazem soluções harmônicas únicas e inesperadas. Compositor intuitivo que viveu até as últimas conseqüências sua trajetória amorosa, fez da dor -de-cotovelo o tema do seu desencanto e a essência de sua criação. O Estúdio F apresenta Lupicínio Rodrigues.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13719,https://www.funarte.gov.br/estudio-f/estudio-f-lupicinio-rodrigues/,22,022 - Lupicínio Rodrigues
Mário Reis,"Um grã-fino que saiu do circuito Copacabana Palace-Jockey-Country Club para fazer uma parada estratégica na Lapa e no Estácio, onde conheceu grandes compositores, cujos trabalhos lançou nos salões da alta roda. Sua forma de cantar sem impostação mudou o curso da música brasileira e, em muito, antecipou a revolução bossa-novista de João Gilberto. Brilhou no rádio e no cinema, mas inovou também ao ser o primeiro cantor a fazer sucesso exclusivamente por meio do disco. Homenageado pelo cineasta Júlio Bressane com o filme “O Mandarim”em 1995, abandonou a carreira no auge aos 28 anos, o que lhe gerou comparações com Greta Garbo. Depois disso, fez quatro retornos memoráveis em discos e shows no quais recordou sucessos como “Dorinha...Meu Amor” – de José Francisco de Freitas – que arrebatou o carnaval de 1929.

O Estúdio F, de traje a rigor, recebe em sua Série Intérpretes o talento e a genialidade de Mário Reis.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13567,https://www.funarte.gov.br/estudio-f/estudio-f-mario-reis/,50,050 - Mário Reis
Maysa,"Uma transgressora que teve a coragem de romper um casamento com a alta sociedade paulistana para seguir a carreira artística. Por meio de composições altamente confessionais, ela expressou a dor de amor com rara sensibilidade. E, como intérprete, buscou em seu canto uma sonoridade moderna sem perder a alma romântica.

Da fossa à bossa, dos olhos verdes ao coração, o Estúdio F – Série Intérpretes é um convite para ouvir Maysa.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13513,https://www.funarte.gov.br/estudio-f/estudio-f-maysa/,59,059 - Maysa
Monsueto,"Um sambista que tinha orgulho de sua negritude e de sua origem proletária. Mesmo depois de consagrado, não deixou de manter ligações com os dramas e alegrias do morros cariocas, locais cujas histórias e ritmos inspiraram suas letras e melodias. Conhecido como “baita negão”, devido aos seus quase dois metros de altura, seu trabalho não se restringiu à música. Atuou também na cinema e na TV. Foi um verdadeiro showman que deixou sua marca registrada e levou a cultura brasileira para além de nossas fronteiras.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13627,https://www.funarte.gov.br/estudio-f/estudio-f-monsueto/,38,038 - Monsueto
Nara Leão,"Uma cantora de voz inconfundível que pode ser considerada “a namoradinha da Música Popular Brasileira”. Intérprete versátil, ela flertou com o samba e a modinha, cantou a resistência do morro pouco depois de se tornar um ícone da suavidade classe média da bossa nova. Artista com “a” maiúsculo, acima de todos os rótulos, ela teve, na música e na vida, suas grandes paixões.

O Estúdio F a recebe, “com açúcar, com afeto”, e torce para que este programa dure uma doce eternidade ao lado dela.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13577,https://www.funarte.gov.br/estudio-f/estudio-f-nara-leao/,46,046 - Nara Leão
Nelson Cavaquinho,"Um instrumentista ímpar que, com apenas dois dedos, arrancava sons impressionantes do cavaquinho e do violão. O toque rústico era acompanhado por sua voz de aço caracterizada por uma rouquidão curtida nas madrugadas boêmias do Rio de Janeiro. Foi um poeta obcecado pela morte, o que não o impediu de criar versos de tamanha beleza como “Tire seu sorriso do caminho que eu quero passar com a minha dor”.

O Estúdio F  pede licença ao poeta e mantém o sorriso para receber a arte de Nelson Cavaquinho.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13641,https://www.funarte.gov.br/estudio-f/estudio-f-nelson-cavaquinho/,33,033 - Nelson Cavaquinho
Nelson Sargento,"Um artista que joga nas onze e marca gol de placa em qualquer trabalho criativo no qual se aventura. Seja na composição de sambas, pintando ou atuando nas telas de TV ou de cinema, ele é um verdadeiro patrimônio cultural brasileiro.

O Estúdio F bate continência e retira o quepe para receber o talento de Nelson Sargento.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13590,https://www.funarte.gov.br/estudio-f/estudio-f-nelson-sargento/,42,042 - Nelson Sargento
,"Um cantor e compositor mineiro que teve suas primeiras lições como sambista nas favelas cariocas, mas que só obteve a consagração na capital paulista. Ícone de São Paulo e do samba, esse cara consagrou-se como um dos grandes intérpretes do gênero graças ao seu talento e à perseverança típica daqueles que não esmorecem diante das dificuldades da vida.

O Estúdio F “Série Intérpretes”  levanta, sacode a poeira, mas quem dá a volta por cima é o genial Noite Ilustrada.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13551,https://www.funarte.gov.br/estudio-f/estudio-f-noite-ilustrada/,54,054 - Noite Ilustrada
Orlando Silva,"Um intérprete que reinou na música popular brasileira, entre os anos 30 e 40. Numa época em que os meios de comunicação não tinham força para impor ídolos, ele alcançou uma posição de destaque graças ao seu talento para interpretar os mais variados gêneros musicais. Sua voz privilegiada lhe valeu legiões de admiradores que o transformaram no Cantor das Multidões.

O Estúdio F – Série Intérpretes revive a chamada Era de Ouro da MPB no canto de Orlando Silva.

Leia o roteiro: EF63.Orlando Silva

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13501,https://www.funarte.gov.br/estudio-f/estudio-f-orlando-silva/,63,063 - Orlando Silva
Patápio Silva,"Patápio Silva nasceu em Itaocara, no Estado do Rio  no dia 22 de outubro de 1880. Logo depois do seu nascimento a família transferiu-se para a cidade mineira de Cataguazes. Desde menino aprendeu a tocar flauta. Devido ao seu  virtuosismo e a beleza das composições que se anunciavam, foi encaminhado  para  a Capital Federal, o Rio de Janeiro, para aperfeiçoar seus estudos. Patápio teve  trajetória brilhante , entrando para o Instituto de Música em 1901,  onde completou o curso com rapidez e com as notas máximas em flauta. Ainda é considerado um dos maiores flautistas do Brasil.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",31145,https://www.funarte.gov.br/estudio-f/estudio-f-patapio-silva/,9,009 - Patápio Silva
