Assuntos;Catalogação Pré MARC;Descrição Física;Entradas Secundárias/Autor;Entradas Secundárias/Série;Notas;Número de chamada;Publicação;Série;Título Principal;Unidade_de_Informação;Endereço Eletrônico;Autor Principal;ISBN;Edição;Outros Títulos;ISSN;Nota de conteúdo;Número de Chamada;Título Uniforme/Original;Coleção;Notas de Resumo;Notas Locais;Acesso Eletrônico;Local e Editora da Publicação;Localização do Artigo;Título do Artigo;Autor do Artigo;Freqüência da Publicação;Título Anterior;Título Chave/Abreviado
Reconcavo baiano  Historia.  Embarcações;;"115 p. : il.; color. ; 15 cm";Programa Monumenta;"Preservação e Desenvolvimento ; n. 7";;363.69  P933  CDP (Rio de Janeiro)  363.69  P314  IPHAN-RJ;Brasília : Iphan/Programa Monumenta, 2007.;"(Preservação e Desenvolvimento ; n. 7)";Patrimônio vivo : Pelotas - RS / Sylvia Maria Braga (Coordenação);IPHAN-RJ(259);Imagem;;ISBN 9788573340617;;;;;;;;;;;;;;;;;
Instituto do patrimônio histórico e artístico nacional (brasil) - história - exposições  Patrimônio cultural - proteção - brasil - história - exposições  Patrimônio cultural - proteção - pará - história - exposições;;99 p. : il. (algumas col.)  21cm;;;Catálogo da exposição realizada no Instituto do Patrimônio Histórico e Artístico Nacional, no Pará, de 13 de dezembro de 2010 a 12 de março de 2011.;363.69098115  P371  IPHAN-RJ;Pará : Iphan, 2010.;;Pedra & alma : 30 anos do Instituto do Patrimônio Histórico e Artístico Nacional no Pará (1979-2009)  organizadores, Aldrin Moura de Figueiredo, Rosangela Marques de Britto, Maria Dorotéa de Lima;IPHAN-RJ(259);;;ISBN 9788560909056;;;;;;;;;;;;;;;;;
;;;;;;;;;;IPHAN-RJ(259);;;;;;;;;;;;;;2005  [s.n.];Revista de Arqueologia do IPHAN   (BR-BrIPH) 24083;Pela preservação do patrimônio arqueológico : uma parceria e muito trabalho /;Hartmann, Analúcia;;;
Pintura popular - brasil  Pintura - coleções;;56 p.  21cm;Schenberg, Mario;;Catálogo da exposição realizada na galeria Mestre Vitalino de 14 de dezembro a 30 de janeiro de 2001;709.81  W158p  IPHAN-RJ;Rio de Janeiro : Iphan, 2010.;;Pintura : coleção Mario Schenberg / pesquisa e textos Garcia Waldeck;IPHAN-RJ(259);;Waldeck, Garcia;ISBN 9788573341812;;;;;;;;;;;;;;;;;
Arte brasileira  Arte barroca - brasil  Arte colonial - brasil;;230 p.  20cm;Jardim, Luís, 1901-1987;Textos escolhidos da Revista do Instituto do Patrimônio Histórico e Artístico Nacional;;709.81  L668p  IPHAN-RJ;[Brasília] : Iphan;(Textos escolhidos da Revista do Instituto do Patrimônio Histórico e Artístico Nacional  7);Pintura e escultura : I / Hannah Levy, Luiz Jardim;IPHAN-RJ(259);;Levy, Hannah;;;;;;;;;;;;;;;;;;
Arte colonial - brasil  Arte sacra - período moderno, 1500 - brasil;;157 p.  20cm;Batista, Nair  Cardoso, Joaquim;Textos escolhidos da Revista do Instituto do Patrimônio Histórico e Artístico Nacional;;709.81  O89p  IPHAN-RJ;[Brasília] : Iphan;(Textos escolhidos da Revista do Instituto do Patrimônio Histórico e Artístico Nacional  8);Pintura e escultura : II / Carlos Ott, Joaquim Cardoso, Nair Batista;IPHAN-RJ(259);;Ott, Carlos, 1908-1997;;;;;;;;;;;;;;;;;;
Planejamento urbano - rio de janeiro (estado);;3v. : il. mapas, plantas  30cm;;;;307.12098153  P712  IPHAN-RJ;Rio de Janeiro : Iphan, 1972.;;Plano de desenvolvimento integrado e proteção do bairro histórico do município de Parati;IPHAN-RJ(259);;;;;;;"Conteúdo incompleto : Obra composta por três volumes: volume I: caracterização e diagnóstico; volume II: proposições; volume II: leias, normas e regulamentos.";;;;;;;;;;;;;
Planejamento urbano - brasília (df)  Patrimônio cultural - proteção - brasília (df)  Patrimônio cultural - proteção - legislação - brasília (df);;103 p. : il. (algumas col.)  17cm;;;;363.69098174  P699  IPHAN-RJ;Brasília : Superintendência Regional do IPHAN, 2007.;;Plano piloto 50 anos : cartilha de preservação de Brasília;IPHAN-RJ(259);;;ISBN 9788573340525;;;;;;;;;;;;;;;;;
Educação patrimonial preservação  Porto Alegre (RS)  Patrimônio. educação;;"108  p. : il.; color. ; 15 cm.";Programa Monumenta;"Preservação e Desenvolvimento ; n. 4";;370.11  P895  IPHAN-PA  363.69  P859pr  IPHAN-AP  363.69  P933  CDP (Rio de Janeiro)  363.69  P895  IPHAN-RJ;Brasília : Iphan/Programa Monumenta, 2007.;"(Preservação e Desenvolvimento ; n. 4)";Praça da Alfândega : Porto Alegre - RS / Sylvia Maria Braga (Coordenação);IPHAN-RJ(259);Imagem;;ISBN 9788573340495;;;;;;;;;;;;;;;;;
Patrimônio cultural - proteção - rio de janeiro (rj)  Praça tiradentes (rio de janeiro, rj) - história  Centros históricos - conservação e restauração - rio de janeiro (rj);;107 p. : il. col.  15cm;;Preservação e Desenvolvimento;;981.53  P895  IPHAN-RJ;Brasília : Iphan, 2007.;(Preservação e Desenvolvimento  3);Praça Tiradentes : calendário cultural : Rio de Janeiro-RJ;IPHAN-RJ(259);;;ISBN 9788573340488;;;;;;;;;;;;;;;;;
Política cultural  Prêmio Rodrigo Melo Franco de Andrade    DetalhesPremio rodrigo melo franco de andrade 2013;;16 p. : il. color;;;PRMFA 2013;363.69  P925  CDP (Brasília)  IPHAN-RJ;Brasília : Iphan, 2013.;;Prêmio Rodrigo Melo Franco de Andrade : 26ª Edição;IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Preservação  Patrimônio material  Arquitetura civil  Monumentos  Arquitetura religiosa  Reabilitação urbana;;"311 p. : il. ; 30 cm";;Arquitetura;;720.288  L992p  IPHAN-ES  IPHAN-RJ  IPHAN-SP  720.288  L992p  CDP (Brasília);Brasília : Iphan, 2016.;"(Arquitetura ; 5)";Preservação do patrimônio edificado : a questão do uso / Cyro Corrêa Lyra;IPHAN-RJ(259);Imagem;Lyra, Cyro Corrêa;ISBN 9788573342871;;;;;;;;;;;;;;;;;
;;;;;;;;;;IPHAN-RJ(259);;;;;;;;;;;;;;2002  [s.n.];Revista de Arqueologia do IPHAN   (BR-BrIPH) 24083;Preservação, educação e patrimônio arqueológico : a experiência do Curso de Capacitação dos Monitores da Ilha do Campeche /;Comerlato, Fabiana;;;
;;;;;;;;;;IPHAN-RJ(259);;;;;;;;;;;;;;2002  [s.n.];Revista de Arqueologia do IPHAN   (BR-BrIPH) 24083;Preservação, educação e patrimônio arqueológico : a experiência do Curso de Capacitação dos Monitores da Ilha do Campeche /;Comerlato, Fabiana;;;
Sítios históricos - olinda (pe);;26 p. : il. col.  20cm;;;Folheto.  Acompanhado de mapa em bolso.;363.690981  P928  IPHAN-RJ;[Recife] : Iphan, 2009.;;Preservar Olinda;IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Prevenção de incêndios - manuais, guias, etc.;;40  p.  20;;;;363.37  P944  IPHAN-RJ;[S.l.]  [s.n.];;Prevenção de incêndios em conjuntos históricos  IPHAN;IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Bens imóveis edificados e integrados - avaliação  de riscos;;10f.  30;Falcão, Vandi Rodrigues  Puccioni, Sílvia N. de Oliveira  Soares, Sandra Branco;;;720.288  G631p  IPHAN-RJ;Brasília : IPHAN, DEPROT, 2001.;;Procedimentos para avaliação de riscos em bens imóveis edificados e integrados ao patrimônio cultural / José Hailou Gomide ... [et al];IPHAN-RJ(259);;Gomide, José Hailon;;;;;;;;;;;;;;;;;;
Processo de fiscalização;;[34]f. : il. col.  30cm;;Caderno de fiscalização;;336.30917  I59  IPHAN-RJ;[Goiânia] : Iphan, 2001.;(Caderno de fiscalização);Procedimentos para fiscalização de núcleos históricos tombados  14. SR IPHAN;IPHAN-RJ(259);;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);;;;;;;;;;;;;;;;;;
Arquitetura - porto alegre (rs);;237 p. : il. (col.)  23cm;;;;720.98165  P839  IPHAN-RJ;Brasília : Iphan/Programa Monumenta, 2010.;;Programa Monumenta : Porto Alegre  Organização: Briane Bicca;IPHAN-RJ(259);;;ISBN 9788573341669;;;;;;;;;;;;;;;;;
;;[6] f.  30;;;Inclui textos em inglês.;363.690981  P962  IPHAN-RJ;[S.l.]  [IPHAN];;Programa nacional do patrimônio imaterial  [Instituto do Patrimônio Histórico e Artístico Nacional];IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Estação rádio-base/erb - instalação  Serviços e telecomunicações - áreas de interesse cultural;;"36 p. : il. (algumas color.) ; 21 x 28 cm";;;;384  R311  IPHAN-RJ  384  R311  IPHAN-ES;Rio de Janeiro : Iphan, [s .d.].;;Recomendações e instruções para a instalação de infra-estrutura de telecomunicações sem fio (Estação Rádio-Base/ERB) em áreas de interesse cultural / Coordenadora do projeto: Jurema K. E. Arnaut;IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Carnaval  Carnaval - brasil;;23  p.  21;;;;394.25  R311  IPHAN-RJ;[Curitiba] : Iphan;;Recordar é viver! : 60 anos de carnaval na Lapa  [texto: Hélina S. Souza Baumel , Maria Thereza B. Lacerda];IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Patrimônio histórico - conservação  Recuperação de imóveis - centros históricos;;303 p.  23cm;Diogo, Érica;;;720.0288  R311  IPHAN-RJ;Brasília : Iphan/Programa Monumenta, 2009.;;Recuperação de imóveis privados em centros históricos  Érica Diogo organizadora;IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Folclore - brasil  Brasil - usos e costumes  Patrimônio cultural - proteção - brasil;;"136 p. ; 30 cm";;;;363.69  R337  2. ed.  IPHAN-RJ;Brasília : Iphan, 2003.;;O registro do patrimônio imaterial : dossiê final das atividades da Comissão e do Grupo de Trabalho Patrimônio Imaterial / [organização Márcia G. de Sant´Anna];IPHAN-RJ(259);;;;2. ed.;;;;;;;;;;;;;;;;
Folclore - brasil  Brasil - usos e costumes  Patrimônio cultural - proteção - brasil;;"136 p. ; 30 cm";;;;363.69  R337  3. ed.  IPHAN-RJ;Brasília : Iphan, 2005.;;O registro do patrimônio imaterial : dossiê final das atividades da Comissão e do Grupo de Trabalho Patrimônio Imaterial / [organização Márcia G. de Sant´Anna];IPHAN-RJ(259);;;;3. ed.;;;;;;;;;;;;;;;;
Folclore - brasil  Brasil - usos e costumes  Patrimônio cultural - proteção - brasil;;"138 p. ; 30 cm";;;;363.69  R337  4. ed.  IPHAN-RJ;Brasília : Iphan, 2006.;;O registro do patrimônio imaterial : dossiê final das atividades da Comissão e do Grupo de Trabalho Patrimônio Imaterial / [organização Márcia G. de Sant´Anna];IPHAN-RJ(259);;;;4. ed.;;;;;;;;;;;;;;;;
Folclore - brasil  Brasil - usos e costumes  Patrimônio cultural - proteção - brasil;;"206 p. ; 30 cm";;;;363.69  R337  IPHAN-RJ;Brasília : Iphan, 2000.;;O registro do patrimônio imaterial : dossiê final das atividades da Comissão e do Grupo de Trabalho Patrimônio Imaterial / [organização Márcia G. de Sant´Anna];IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Instituto do patrimônio histórico e artístico nacional (brasil) - relatórios  Relatórios;;89 p.  30cm;;;Dados retirados da capa.;354  I59r  IPHAN-RJ;Brasília : Iphan, [1997].;;"Relatório de 1996  Instituto do Patrimônio Histórico e Artístico Nacional; [organização Theodoro Joels]";IPHAN-RJ(259);;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);;;;;;;;;;;;;;;;;;
Instituto do patrimônio histórico e artístico nacional (brasil) - relatórios  Relatórios;;55 p.  30cm;;;;354  I59r  IPHAN-RJ;Brasília : Iphan, 2005.;;Relatório de atividades : Departamento do Patrimônio Imaterial  Instituto do Patrimônio Histórico e Artístico Nacional;IPHAN-RJ(259);;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);;;;;;;;;;;;;;;;;;
Instituto do patrimônio histórico e artístico nacional (brasil) - relatórios  Relatórios;;197 p.  33cm;;;;354  I59r  IPHAN-RJ;Brasília : Iphan, [1995].;;Relatório de atividades 1995  Instituto do Patrimônio Histórico e Artístico Nacional;IPHAN-RJ(259);;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);;;;;;;;;;;;;;;;;;
Instituto do patrimônio histórico e artístico nacional (brasil) - relatórios  Relatórios;;3v.  30cm;;;;354  I59r  IPHAN-RJ;[Brasília] : Iphan, 1999.;;Relatório de atividades 1999 : Grupo Tarefa  IPHAN, Programa Monumenta;IPHAN-RJ(259);;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);;;;;Conteúdo incompleto : v,1, Relatório de atividades - v.2. Anexo A - v.3. Anexo B.;;;;;;;;;;;;;
Instituto do patrimônio histórico e artístico nacional (brasil) - relatórios  Relatórios;;2v.  30cm;;;;354  I59r  IPHAN-RJ;[Brasília] : Iphan, 2000.;;Relatório de atividades 2000 : Grupo Tarefa  IPHAN, Programa Monumenta;IPHAN-RJ(259);;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);;;;;Conteúdo incompleto : v,1, Relatório de atividades - v.2. Anexo A.;;;;;;;;;;;;;
Instituto do patrimônio histórico e artístico nacional (brasil) - relatórios  Relatórios;;245 p.  30cm;;;;354  I59r  IPHAN-RJ;[Brasília] : Iphan, 2001.;;Relatório de atividades 2001 : Grupo Tarefa  IPHAN, Programa Monumenta;IPHAN-RJ(259);;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);;;;;;;;;;;;;;;;;;
Instituto do patrimônio histórico e artístico nacional (brasil) - relatórios  Relatórios;;5v.  30cm;;;;354  I59r  IPHAN-RJ;[Brasília] : Iphan, 2002.;;Relatório de atividades 2002 : Grupo Tarefa  IPHAN, Programa Monumenta;IPHAN-RJ(259);;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);;;;;Conteúdo incompleto : v.1. Relatório de atividades 2002 - v.2. Anexo VII: resumo executivo do perfil do projeto - v.3. Anexo VIII:  resumo executivo do perfil do projeto - v.4. Anexo IX: manual para elaboração de projetos - v.5. Anexo X: procedimentos para fiscalização.;;;;;;;;;;;;;
Instituto do patrimônio histórico e artístico nacional (brasil) - relatórios  Relatórios;;4v.  30cm;;;;354  I59r  IPHAN-RJ;[Brasília] : Iphan, 2003.;;Relatório de atividades 2003 : Unidade Central de Gerenciamento, UCG  IPHAN, Programa Monumenta;IPHAN-RJ(259);;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);;;;;;;;;;;;;;;;;;
Museologia - congressos  Museus - congressos;;215 p.  25cm;;;;069  R382  IPHAN-RJ;Ouro Preto, MG : IPHAN, Departamento de museus e centros culturais, 2006.;;Relatório do 2º fórum nacional de museus : o futuro se constrói hoje  equipe de produção do relatório: organização : Claudia M. P. Storino, Mário Chagas;IPHAN-RJ(259);;Fórum Nacional de Museus (2. : 2006 : Ouro Preto, MG);;;;;;;;;;;;;;;;;;
Conservação e restauração - pintura;;20 p.  25cm;;Publicações do Patrimônio Histórico e Artístico Nacional;;751.73  M921r  IPHAN-RJ;Rio de Janeiro : Iphan, 1969.;(Publicações do Patrimônio Histórico e Artístico Nacional  23);Restauração de pinturas em descolamento / Edson Motta;IPHAN-RJ(259);;Motta, Edson;;;;;;;;;;;;;;;;;;
Arqueologia  Patrimônio arqueológico  Arqueologia - brasil;;v. : il.  30;;;;;Florianópolis : Superintendência Regional do IPHAN;;Revista de Arqueologia do IPHAN  Organização e edição de: Anderson Loureiro;IPHAN-RJ(259);;;;;;;;930.1  IPHAN-RJ;;Y  2002  1  1  a  2  2005  1  1  a;;;;;;;;;;
Patrimônio cultural - proteção  Patrimônio cultural;;"v. : il. ; 25 cm.";;;;;Brasília : Iphan, 1937.;;Revista do Serviço do Patrimônio Histórico e Artístico Nacional / Instituto do Patrimônio Histórico e Artístico Nacional;IPHAN-RJ(259);;;;;;ISSN 0102-2571;;363.690981  IPHAN-RJ;;2  1938  1  1  a  3  1939  1  1  a  4  1940  1  1  a  5  1941  1  1  a  6  1942  1  1  a  9  1945  1  1  a  14  1959  1  1  a  17  1969  1  1  a  18  1978  1  1  a  20  1984  1  1  a  21  1986  1  1  a  22  1987  1  1  a  4  1990  1  1  a  23  1994  1  1  a  24  1996  1  1  a  25  1997  1  1  a  27  1998  1  1  a  28  1999  1  1  a  29  2001  1  1  a  31  2005  1  1  a  33  2007  1  1  a  34  2011  1  1  a;;;;;;;;Semestral;Continuação de : Revista do Serviço do Patrimônio Histórico e Artístico Nacional;Rev. Patrim. Hist. Artist. Nac.
Icó - ce  Cultura popular  Patrimonio historico  Monumento historico;;"80 p. : il; color ; 15 cm";Programa Monumenta;"Preservação e Desenvolvimento ; n. 10";;363.69  P933  CDP (Rio de Janeiro)  363.69  R484  IPHAN-RJ;Brasília : Iphan/Programa Monumenta, 2008.;"(Preservação e Desenvolvimento ; n. 10)";Ribeira dos Icós : Icó - CE / Sylvia Maria Braga (Coordenação);IPHAN-RJ(259);Imagem;;ISBN 9788573340792;;;;;;;;;;;;;;;;;
Urbanismo - brasil  Arte colonial  Arquitetura - brasil;;376 p. : il.;Smith, Robert Chester;Obras de Referência;;720  S658r  CDP (Brasília)  720  S639r  IPHAN-AP  720  S658r  CDP (Rio de Janeiro)  724.1  S642r  IPHAN-PE  724.1  S658  IPHAN-RJ;Brasília : Iphan, 2012.;"(Obras de Referência ; v.1)";Robert Smith e o Brasil : arquitetura e urbanismo /;IPHAN-RJ(259);Imagem;Smith, Robert Chester;ISBN 9788573342260;;;;;;;;;;;;;;;;;
Arquitetura - Brasília (DF);;"55  p. : il. color. ; 21 cm";;;;720.98174  I59r  IPHAN-SC  CDP (Brasília)  IPHAN-PA  IPHAN-RJ;Brasília : Iphan, 2016.;;"Roteiro dos acampamentos pioneiros no Distrito Federal / Instituto do Patrimônio Histórico e Artístico Nacional. Superintendência do Iphan no Distrito Federal; organização Carlos Madson Reis, Sandra Bernardes Ribeiro; elaboração do texto José Mauro de Barros Gabriel";IPHAN-RJ(259);Imagem;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil). Superintendência do Iphan no Distrito Federal.;ISBN 9788573343052;;;;;;;;;;;;;;;;;
Patrimônio cultural - proteção - estudo e ensino.;;35  p.  17;;;Inclui índice.;363.69  R843  IPHAN-RJ;Fortaleza : IPHAN, 4, 2007.;;Roteiro para a salvaguarda do patrimônio cultural material;IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
;;80 p.  25cm.;;;"""Separata da Revista do Patrimõnio Histórico e Artístico Nacional, v. 13, 1956.""";759.3  J27r  IPHAN-RJ;Rio de Janeiro : Iphan, 1956.;;Rugendas no Brasil : obras inéditas / David James;IPHAN-RJ(259);;James, David.;;;;;;;;;;;;;;;;;;
Bens registrados  Sustentabilidade  Bem cultural  Patrimônio cultural imaterial  Salvaguarda de bens  Centro nacional de folclore e cultura popular;;"359 p. : il. color ; 26 cm.";Alencar, Rívia Ryker Bandeira de  coord.;;;363.690981  I64s  IPHAN-SP  IPHAN-ES  IPHAN-PR  IPHAN-RJ  IPHAN-SC;Brasília : Iphan, 2018.;;Saberes, fazeres, gingas e celebrações : ações para a salvaguarda de bens registrados como patrimônio cultural do Brasil 2002-2018 / Instituto do Patrimônio Histórico e  Artístico Nacional (Brasil);IPHAN-RJ(259);Imagem;;ISBN 9788573343472;;;;;;;;;;;;;;;;;
Mariana - mg  Memória  Patrimonio imaterial  Culinária  Musica;;"99 p. : il.; color. ; 15 cm";Programa Monumenta;"Preservação e Desenvolvimento ; 14";;363.69  P933  CDP (Rio de Janeiro)  363.69  S117  IPHAN-RJ;Brasília : IPHAN / Programa Monumenta, 2009.;"(Preservação e desenvolvimento ; 14)";Os sabores de Mariana: Mariana - MG / Braga, Sylvia Maria Nelo (Coordenação);IPHAN-RJ(259);Imagem;;ISBN 9788573341225;;;;;;;;;;;;;;;;;
Ouro preto (mg)  Conservacao e restauração  Patrimonio cultural  Monumento historico  Patrimonio historico  Cidades historicas;;"96 p. : il.; color. ; 15 cm";Instituto do Patrimônio Histórico e Artístico Nacional  Programa Monumenta;"Preservação e Desenvolvimento ; n. 12";;363.69  P933  CDP (Rio de Janeiro)  IPHAN-RJ  363.69  S182  IPHAN-RJ;Brasília : IPHAN/Programa Monumenta, 2008.;"(Preservação e Desenvolvimento ; n. 12)";Salvaguarda do patrimônio : Ouro Preto - MG / Sylvia Maria Braga  (Coordenação);IPHAN-RJ(259);Imagem;;ISBN 9788573340877;;;;;;;;;;;;;;;;;
;;;;;;;;;;IPHAN-RJ(259);;;;;;;;;;;;;;2002  [s.n.];Revista de Arqueologia do IPHAN   (BR-BrIPH) 24083;Salvamento arqueológico da Barragem do Rio São Bento, Siderópolis/SC /;Lavina, Rodrigo;;;
;;;;;;;;;;IPHAN-RJ(259);;;;;;;;;;;;;;2002  [s.n.];Revista de Arqueologia do IPHAN   (BR-BrIPH) 24083;Salvamento arqueológico da Barragem do Rio São Bento, Siderópolis/SC /;Lavina, Rodrigo;;;
Patrimônio cultural  Memória cultural - ouro preto (mg);;"342 p. ; 27cm";;"Pesquisa e Documentação do IPHAN;2";;363.69981  S713s  IPHAN-RJ;Rio de Janeiro : Iphan, 2008.;"(Pesquisa e Documentação do IPHAN;2)";Salvemos Ouro Preto : a campanha em benefício de Ouro Preto - 1945-1950 / Juliana Sorgine;IPHAN-RJ(259);;Sorgine, Juliana;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Cultura popular - brasil  Política cultural - brasil;;36 p. : il. algumas color  28;;;Texto em português com tradução paralela em espanhol.;390.0981  S187  IPHAN-RJ;Brasília : IPHAN, Departamento do Patrimônio Imaterial, 2006.;;Os sambas, as rodas, os bumbas, os meus e os bois : a trajetória da salvaguarda do patrimônio cultural imaterial no Brasil =  La trayectoria de la salvaguardia del patrimonio cultural inmaterial en Brasil  [Redação: Rogério Menezes];IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Patrimônio cultural - proteção - são luís (ma)  Edifícios históricos - são luís (ma)  São luís (ma) - história;;570 p. : il. (algumas col.)  28cm;;Edições do Senado Federal;;363.69098121  S239  IPHAN-RJ;Brasília : Iphan, 2007.;(Edições do Senado Federal  85);São Luís : cidades históricas, inventário e pesquisa;IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Arte sacra - piauí  Artesanato - piauí;;99 p. : il. col,  23cm;Moura, Cássia;;;709  P654s  IPHAN-RJ;Teresina : Iphan, c2009.;;"Senhores de seu ofício : arte santeira do Piauí / textos Áurea Pinheiro; fotografias Cássia Moura";IPHAN-RJ(259);;Pinheiro, Áurea;ISBN 9788573341355;;;;;;;;;;;;;;;;;
Sociologia urbana - ouro preto (mg)  Patrimônio cultural - preservação - ensino - ouro preto (mg);;59 p. : il. col.  20cm;;;;307.76098151  S478  IPHAN-RJ;[Belo Horizonte] : Iphan, [2010?].;;Sentidos urbanos : patrimônio e cidadania  [organização Simone Monteiro Silvestre Fernandes];IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Patrimônio cultural - congressos;;87 p.  21cm;;;;363.69  F692s  IPHAN-RJ;Brasília : Iphan, 2010.;;Sintese preliminar das discussões : subsídios para a II CNC : Sistema Nacional do Patrimônio Cultural : desafios, estratégias e experiências para uma nova gestão;IPHAN-RJ(259);;Fórum Nacional do Patrimônio Cultural;;;;;;;;;;;;;;;;;;
Tiradentes (mg) - bibliografia  Tiradentes (mg) - fontes  Tiradentes (mg) - resumos;;136 p.  22cm;;;Inclui índice.;016.918151  C559s  IPHAN-RJ;Rio de Janeiro : Iphan, 1996.;;Sítio histórico de Tiradentes : guia bibliográfico  Márcia Romeiro Chuva, Maria de Fátima Oliveira Pinheiro (org.);IPHAN-RJ(259);;;ISBN 8573340053;;;;;;;;;;;;;;;;;
Cidades históricas - brasil  Bens culturais - proteção - brasil  Sítios históricos - conservação e restauração - brasil;;455 p. : il.  28cm;;Programa Monumenta. Cadernos técnicos;;354  B823s  IPHAN-RJ;Brasília : Iphan, 2005.;(Programa Monumenta. Cadernos técnicos  3);Sítios históricos e conjuntos urbanos de monumentos nacionais : Volume I : Norte, Nordeste e Centro-oeste;IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Cidades históricas - brasil  Bens culturais - proteção - brasil  Sítios históricos - conservação e restauração - brasil;;391 p. : il.  28cm;;Programa Monumenta. Cadernos técnicos;;354  B823s  IPHAN-RJ;Brasília : Iphan, 2005.;(Programa Monumenta. Cadernos técnicos  4);Sítios históricos e conjuntos urbanos de monumentos nacionais : Volume II : Sudeste e Sul;IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Educação patrimonial  Bens culturais - brasil - preservação;;35 p.  18x25cm;;;;363.69  S677  IPHAN-RJ;Fortaleza : Iphan, 1999.;;Sobral : patrimônio de todos : roteiro para a preservação do patrimônio cultural  [Olga Gomes de Paiva, coord.];IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Instituições beneficentes - lapa (pr)  Lapa - Patrimônio cultural  Lar educandário são vicente de paulo;;"46 p. : il. algumas color ; 21";;;Inclui entrevistas, contatos e entrevistas informais, documentoa de cartório.;362.732  F862s  IPHAN-RJ;Curitiba : Iphan, 1999.;;O sonho de Dona Eugênia / Fátima e Silva de Freitas;IPHAN-RJ(259);;Freitas, Fátima e Silva de;;;;;;;;;;;;;;;;;;
Urbanismo  Brasília (DF)  Superquadra  Planejamento urbano - brasília (df);;"99 p. : il. color ; 23 cm";Pinto, Francisco Ricardo Costa  coord.  Rayk, Washington  Ilustrador  Reis, Carlos Madson  coord.  Ribeiro, Sandra Bernardes  coord.  Vasques, Claudia Marina  Texto e edição;;;711.4098174  I59s  ACERVO GERAL  IPHAN-AP  711.4098174  S959s  IPHAN-PR  711.4098174  I59s  CDP (Brasília)  IPHAN-SP  IPHAN-RJ;Brasília : Superintendência do Iphan do Distrito Federal, 2015.;;"Superquadra de Brasília : preservando um lugar de viver / Superintendência do Iphan no Distrito Federal ; organização e coordenação Carlos Madson Reis, Sandra Bernardes Ribeiro, Francisco Ricardo Costa Pinto.";IPHAN-RJ(259);Imagem;Superintendência do Iphan No Distrito Federal;;;;;;;;;;;;;;;;;;
Bens culturais - proteção - brasil  Proteção e gestão de bens culturais - tesauro;;396 p.  22cm;;Série Técnica;;R025.49  T336  IPHAN-RJ;Rio de Janeiro : Iphan, 2006.;(Série Técnica);Tesauro para bens móveis e integrados;IPHAN-RJ(259);;;ISBN 8573340428;;;;;;;;;;;;;;;;;
Patrimônio cultural - proteção - tiradentes (mg)  Tiradentes (mg) - história  Edifícios históricos - tiradentes (mg);;183 p. : il. (algumas col.)  28cm;;Edições do Senado Federal;;363.69098151  T596  IPHAN-RJ;Brasília : Iphan, 2007.;(Edições do Senado Federal  83);Tiradentes : cidades históricas, inventário e pesquisa;IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
Parati (rj) - história;;77 p., [23]p de estampas  25cm;;;Possui duas folhas dobradas.;981.53  A663t  IPHAN-RJ;Rio de Janeiro : Iphan, 1960.;;Tricentenário de Parati : noticis históricas / J.S.A. Pizarro e Araujo e outros;IPHAN-RJ(259);;Araújo, José de Souza Azevedo Pizarro e,  1753-1830;;;;;;;;;;;;;;;;;;
Planejamento urbano - goiás;;42 f.  21;;;;711.4  U73  IPHAN-RJ;[Pirenópolis, GO] : [IPHAN], [200-?].;;Urbispirenópolis : programa de reabilitação urbana de sítios históricos  [organização] Instituto do Patrimônio Histórico e Artístico Nacional;IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
