Acervo,Altura,Autor,Categoria,Classificação,Coleção,Comprimento,Código Thesaurus,Data de aquisição,Data de produção,Denominação,Destaque no acervo,Document,Fonte de aquisição,Histórico/Observação,Largura,Link do Item,Local de produção,Marcas/Inscrições,Material,Modo de aquisição,Número de registro,Procedência,Resumo descritivo,Situação,Técnica,Título,Diâmetro,Tema,Outros números,Profundidade,Peso,Exposições
Artes Visuais,197,Indígena,Caça/Guerra > Arma Branca de Haste,01 Caça e Guerra > 01.2 Arma,Acervo Museológico,,01.02.14,Não identificada,Não identificada,Lança,,77458,Não identificada,Modo de aquisição e data sem registro.,,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/lanca/,Não identificado,Ausência de inscrições,Fibra > Fibra Vegetal | Madeira | Pena,Não identificado,83.124/030.303,Não identificada,"Peça em madeira. Na extremidade superior enfeite de taboca na cor preta e amarelo, formando motivos geométricos. Nas duas extremidades deste enfeite, a mesma fibra vegetal preta firmando este. Atado à parte superior, enfeite de penas de aves, na cor branca e marrom e salpicada de marrom em tons mais escuros. Estas penas são presas em 02 (dois) canudos de bambu e apenas amarela e vermelha. No topo, saliência para o ataque.",Localizado,Não identificada,Lança,,Etnográfico,,,,
Artes Visuais,90,Não identificado,Interiores > Peça de Mobiliário,05 Interiores > 05.5 Peça de Mobiliário,Mobiliário,,05.05.53,16/11/83,Não identificada,Cadeira,Sim,77466,João Ferreira de Lima,"A banca ou mesa de ourives sempre foi acompanhada de um assento, podendo ser um banco ou uma cadeira.  As cadeiras, geralmente sem braços, porém mais confortáveis que os bancos, eram feitas de madeira, muitas vezes com o uso de couro nos assentos para maior comodidade.
	A cadeira pertencente a João Ferraz de Lima foi doada pelo mesmo em 16/11/1983, juntamente com a mesa e outros objetos acima citados. Feita em madeira, com assento em couro trançado, faz parte dos objetos essenciais para a prática da ourivesaria no transcorrer do século XX na Cidade de Goiás.

Para saber mais:
MOTA, Rosa Maria dos Santos. Mobiliário de Ofícios: as bancas de ourives. Universidade Católica Portuguesa, 2016.

RESENDE, Sancha Livia. Um olhar sobre o fazer do ourives em Belo Horizonte – MG. SP: Pontifícia Universidade Católica de São Paulo, 2010. Mestrado em Ciências Sociais.
BRANCANTE, Maria Helena. Os Ourives na História de São Paulo. São Paulo: Árvore da Vida. 1999. ",39,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/cadeira-16/,Não identificado,Ausência de inscrições,Couro | Madeira,Doação,83.128/030.307,João Ferreira da Silva,"Quatro pés roliços ligeiramente recurvados, sustentados por quatro traves roliças nas laterais, uma na parte de traz e uma na parte da frente, com três discos no centro. Assento trançado com seis tiras de couro, espaldar roliço ligeiramente recurvado, tendo o encosto duas traves roliças na horizontal, sustentando três traves roliças na vertical e contendo três discos cada.",Localizado,Técnica em Madeira > Marcenaria | Técnica em Fibra Vegetal > Trançado,Cadeira do Ourives,,Ourivesaria,,43,,
Artes Visuais,80,Não identificado,Interiores > Peça de Mobiliário,05 Interiores > 05.5 Peça de Mobiliário,Mobiliário,,05.05.52,16/11/83,Não identificada,Mesa,,77464,João Ferreira de Lima,"Peça adquirida em 16/11/1983, pertencente a João Ferráz de Lima, antigo ourives da Cidade de Goiás. Foi doada pelo mesmo, juntamente com a cadeira e os apetrechos de ourivesaria – candeeiro de azeite, maçarico (para soldar ouro e prata), burilador ou buril (para raspar e burilar o ouro e prata), pegador de ouro (para pegar os filamentos de ouro) e forma de fundir ouro (com 17 cavidades). 
João Ferráz de Lima, conhecido por João Malheiros, nasceu na Cidade de Goiás em 26/01/1918 e faleceu em 21/05/1988. Aprendeu a profissão com seu pai de criação, Antônio (Tonico) Malheiros, tendo como local de trabalho, a Rua do Carmo e posteriormente, a Rua Atrás da Abadia. Iniciou a profissão de ourives ainda na juventude e a exerceu durante toda a sua vida.
Seus descendentes, Edijari Santos Lima e Wellington de Paula Lima, filho e neto, respectivamente, também se dedicaram ao ofício de ourives, dando continuidade a tradição da família. Foram muito apreciados os anéis de prata, das décadas de 1960 e 1970, trabalhados com esmero, com detalhe de chave e coração, tradição na Semana Santa da Cidade de Goiás, os quais eram adquiridos pelos locais e visitantes durante a Sexta-Feira da Paixão.
Também conhecida como “banca do ourives”, essa peça de mobiliário integrou as oficinas de ourivesaria desde há séculos, adentrando o século XX. Nela se executavam grande parte das operações necessárias para a manufatura de joias e sem joias em ouro e prata.
Sua estrutura é caracterizada pela simplicidade formal, sendo utilizadas para execução, madeiras nativas, com recursos do próprio meio ambiente local, apresentando, com isso, um manifesto caráter regional, enquanto mantém linhas gerais estáveis, sóbrias e arcaizantes, comuns a todas as oficinas e regiões.  
A sua razão de ser encontrou justificação na adequação ao trabalho que sobre elas era executado, e ao local a que se destinavam, mas também às características do seu utilizador, que estabelecia com o móvel uma relação de estreita proximidade, sendo as bancas muitas vezes personalizadas tanto em pormenores técnicos como na adequação ao físico do seu usuário. (MOTA, 2016)
	A ourivesaria é uma arte milenar, exercida no Brasil desde o início da colonização e com maior intensidade após o advento da descoberta das minas de ouro e prata, nos séculos XVII e XVIII. Segundo Brancante (1999): “[...] em seu primeiro século de existência, o Brasil já possuía ourives e riquezas em prata que, se não chegaram até nossos dias, perderam-se devido às pilhagens ocasionais e ao espírito comum da época de refundir pratas velhas para fazer novas peças.” (RESENDE, 2010).
	A arte de se fundir metais em ouro, prata, cobre, de incrustar, encastoar, limar, e banhar a ouro, muito se utilizou desse tipo de mesa ou banca, adaptada para melhor desempenho da profissão.

Para saber mais:
MOTA, Rosa Maria dos Santos. Mobiliário de Ofícios: as bancas de ourives. Universidade Católica Portuguesa, 2016.

RESENDE, Sancha Livia. Um olhar sobre o fazer do ourives em Belo Horizonte – MG. SP: Pontifícia Universidade Católica de São Paulo, 2010. Mestrado em Ciências Sociais.
BRANCANTE, Maria Helena. Os Ourives na História de São Paulo. São Paulo: Árvore da Vida. 1999. ",110,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/mesa-13/,Não identificado,Ausência de inscrições,Madeira,Doação,83.127/030.306,João Ferreira da Silva,"Mesa cavalete com quatro pés quadrangulares sustentados por quatro traves retangulares. Tampo quadrangular recortado nas pontas dianteiras, na frente recorte ovalado, usado para lixar e escorrer o ouro para dentro da gaveta. Na frente embaixo do tampo três gavetas, sendo duas nas laterais e uma maior mais ao fundo, tendo a parte da frente recurvada, as gavetas laterais são que sustentam a do centro.",Localizado,Técnica em Madeira > Marcenaria,Mesa do Ourives,,Ourivesaria,,69,,
Artes Visuais,198,,Caça/Guerra > Arma de Arremesso,01 Caça e Guerra > 01.2 Arma,Acervo Museológico,,01.02.13,Déc. 1960,Século XX,Arco,,13068,Não identificada,"Consta no Inventário de Lígia Martins Costa, 1963. Vide pct. Acervo Museológico.",,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/arco-2/,Não identificado,Ausência de inscrições,Fibra > Fibra Vegetal | Madeira,Doação,83.123.030/302,Não identificada,"Arco em madeira encurvada. Nas duas extremidades enfeite de taboca em preto e amarelo, formando motivos geométricos, atado à extremidade por fibra vegetal trançada formando corda, através da qual a flecha é lançada.",Localizado,Técnica em Fibra Vegetal > Trançado,Arco,,Etnográfico,,,,
Artes Visuais,198,,Caça/Guerra > Arma de Arremesso,01 Caça e Guerra > 01.2 Arma,Acervo Museológico,,01.02.12,Déc. 1960,Século XX,Arco,,77451,Não identificada,"Consta no Inventário de Lígia Martins Costa, 1963. Vide pct. Acervo Museológico.",,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/arco/,Não identificado,Ausência de inscrições,Fibra > Fibra Vegetal | Madeira,Doação,83.122/030.301,Não identificada,"Arco em madeira encurvado para dar o formato de arco. Na extremidade superior enfeite de taboca em preto e amarelo, motivos geométricos. Atado às extremidades duas fibras vegetais trançadas formando corda, através da qual a flecha é lançada. Também na extremidade superior a corda para suporte do arco ao ombro.",Localizado,Técnica em Fibra Vegetal > Trançado,Arco,,Etnográfico,,,,
Artes Visuais,208,,Caça/Guerra > Arma de Arremesso,01 Caça e Guerra > 01.2 Arma,Acervo Museológico,,01.02.11,Déc. 1960,Século XX,Arco (da flecha),,77449,Não identificada,"Consta no Inventário de Lígia Martins Costa, 1963. Vide pct. Acervo Museológico.",,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/arco-da-flecha/,Não identificado,Ausência de inscrições,Madeira | Fibra > Fibra Vegetal > Palha,Doação,83.121/030.300,Não identificada,"Arco de madeira, com forma encurvada. Nas duas extremidades enfeite de taboca em preto e amarelo, formando motivos geométricos. Atado a extremidade fibra vegetal trançado, formando corda, através da qual a flecha é lançada.",Localizado,Técnica em Fibra Vegetal > Trançado,Arco (da flecha),,Etnográfico,,,,
Artes Visuais,55,Não identificado,Construção > Fragmento de Construção,04 Construção > 04.4 Fragmento de Construção,Acervo Museológico,,04.04.36,1983,Não identificada,Elemento arquitetônico decorativo,,77480,Não identificada,"Modo de aquisição sem registro. Há outro parecido, mas não igual, se encontra quebrado e sem a base, está na Sala 02 (Cotidiano). Por falta de documentação constando data de aquisição foi registrada no ano de 1983.Vide 83.137/030.316.",36,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/enfeite-para-fachada-de-casa/,Brasil > Goiás,Ausência de inscrições,Resina,Não identificado,83.137/030.316,Não identificada,"Peça escultórica em betume com base retangular, de onde saem 02 volutas vazadas. Tendo em uma das pontas motivos florais, de onde saem coluna com volutas.",Localizado,Técnica em Metal > Modelagem,Elemento arquitetônico decorativo,,,,,,
Artes Visuais,51,Não identificado,Comunicação > Documento,10 Comunicação > 10.1 Documento,Acervo Museológico,,10.1.03,Déc. 1950,Século XIX,Retrato,,77445,Laura da Costa Nunes,"Vide inscrição na descrição da peça. Vide fardamento em 83.031/030.168. Vide livro de doação de peças, 1954, em pct. Acervo Museológico.",42,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/retrato-3/,Brasil > Goiás,Vide descrição,Madeira | Papel,Doação,83.119/030.298,Laura da Costa Nunes,"Quadro em forma oval, com moldura em madeira pintada de vermelho e mechas pretas, com frisos dourados. No interior a fotografia do busto do Sr. Major Higino da Costa Nunes, veterano da Guerra do Paraguai. Figura de frente, com o rosto levemente à esquerda, olhos ao longe, nariz em bola. Boca fechada, com fisionomia séria, cavanhaque meio longo de cor branca. Túnica de gola alta, redonda, de cor preta, com 04 botões na frente e 03 medalhas presas no lado esquerdo. Na cabeça Um boné preto com faixa branca ao centro e aba preta. Ao fundo da moldura forro de papelão duro, cor marrom, onde estão fixados 02 prendedores e amarrados com cordão torcido de algodão, para sustentação do quadro. Inscrição: “Major Higino da Costa Nunes, Veterano da Guerra do Paraguai 1865-1870. Tomou parte na Retirada da Laguna com o 20º Batalhão de Infantaria de Goiás. Nascido em Sta. Maria de Taguatinga em 1830. Falecido em Goiás em 1909. Tronco de tradicional família goiana.”",Localizado,Fotografia | Técnica em Pintura > Pintura,Retrato Major Higino da Costa Nunes,,Personagem | Personagens,,,,
Artes Visuais,50,Não identificado,Construção > Fragmento de Construção,04 Construção > 04.4 Fragmento de Construção,Acervo Museológico,,04.04.35,1952,Século XVIII,Florão,,77441,Igreja de Nossa Senhora do Pilar de Ouro Fino,Vide peça nº 52.035/030.046.,25,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/florao-5/,Brasil > Goiás,Ausência de inscrições,Madeira,Doação,83.117/030.296,Arraial do Ouro Fino | Igreja de Nossa Senhora do Pilar de Ouro Fino,"Peça em forma de pluma, base em folha de acanto.",Localizado,Técnica em Madeira > Entalhe,Florão,,Religioso,,,,
Artes Visuais,,Não identificado,Interiores > Acessório de Interiores (Acessório de Leito),05 Interiores > 05.1 Acessório de Interiores,Acervo Museológico,192,05.01.06,30/07/1983,Século XX,Colcha,,77439,Célia Maria Corsino,"Colcha artesanal, feita em tear.",147,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/colcha/,Brasil > Goiás,Ausência de inscrições,Algodão,Doação,83.116/030.295,Célia Maria Corsino,"Colcha de algodão, com estampa formando desenhos geométricos nas cores verde e branco.",Localizado,Técnica em Fibra Vegetal > Trançado,Colcha,,,,,,
Artes Visuais,12,Não identificado,Interiores > Acessório de Interiores (Acessório de Leito),05 Interiores > 05.1 Acessório de Interiores,Acervo Museológico,195,05.01.05,30/07/1983,Século XX,Colchão,,77437,Célia Maria Corsino,,140,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/colchao/,Brasil > Goiás,Ausência de inscrições,Algodão | Fibra > Fibra Vegetal > Capim,Doação,83.115/030.294,Célia Maria Corsino,"Colchão de capim, com fundo marrom escuro, com estamparias florais nas cores, bege e amarelo claro.",Localizado,Técnica em Tecido > Costura | Técnica em Fibra Vegetal > Trançado,Colchão,,,,,,
Artes Visuais,46,Não identificado,Interiores > Peça de Mobiliário (fragmento),05 Interiores > 05.5 Peça de Mobiliário,Mobiliário,,05.05.51,1983,Não identificada,Porta de Oratório,,77443,Não identificada,Peça em policromia,23,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/porta-de-oratorio/,Não identificado,Ausência de inscrições,Madeira,Compra,83.118/030.297,Não identificada,"Peça em madeira almofadada ao centro, em duas camadas, uma em faixa mais estreita, arredondada e plana ao centro e a outra circulada por faixa plana com bordas arredondadas. Do lado direito duas marcas onde se prendem as dobradiças. Ao centro do lado esquerdo o local do trinco, possuindo um espelho amarelado. Na parte posterior está esculpida uma cruz e o trinco em ferro.",Localizado,Técnica em Pintura > Pintura,Porta de Oratório,,Religioso,,3,,
Artes Visuais,40,Não identificado,Interiores > Objeto de Iluminação,05 Interiores > 05.4 Objeto de Iluminação,Acervo Museológico,,05.04.14,06/10/1983,Século XIX,Lampião,,77435,João Ferreira da Silva,,Largura:,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/lampiao-2/,Não identificado,Ausência de inscrições,Metal > Ferro | Vidro,Doação,83.114/030.293,João Ferreira da Silva,"Lampião do Vapor Colombo, em forma de cone, hexagonal, armação metálica com a base superior e inferior arrematados com frisos perfurados, tendo 02 arcos em sentido horizontal e outro em sentido vertical, que serve de sustentação para o corpo da peça. Interior de vidro com haste de metal, reforçando o encontro com 06 lados. Superfície da base superior em forma de cone entrecortado, onde está fixado a alça também metálica. Dois lados móveis servindo de abertura, que são fechados por um aro de metal. No interior, fixado na base inferior, um porta vela de metal.",Localizado,Técnica em Metal > Batido | Técnica em Metal > Martelado,Lampião,15,Navegação,,,,
Artes Visuais,35,Não identificado,Interiores > Objeto de Iluminação,05 Interiores > 05.4 Objeto de Iluminação,Acervo Museológico,,05.04.13,06/10/1983,Século XIX,Lampião,,77433,João Ferreira da Silva,Histórico/Observação:,Largura:,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/lampiao/,Não identificado,Um “S” dentro de um círculo.,Metal > Ferro | Vidro,Doação,83.113/030.292,João Ferreira da Silva,"Lampião do Vapor Araguaya “Couto Magalhães”. Peça pentagonal de vidro mais largo na parte superior. Frisos metálicos reforçados nos encontros dos cinco lados. Na parte superior, arrematados por uma coroa metálica em forma arredondada e recortada, trazendo na superfície uma argola de metal anexada na tampa. No interior um porta vela fixado na base inferior.",Localizado,Técnica em Metal > Fundição | Técnica em Papel > Recorte,Lampião,24,Navegação,,,,
Artes Visuais,,Não identificado,Transporte > Acessório de Transporte Terrestre,11 Transporte > 11.3 Acessório de Transporte Terrestre,Acervo Museológico,,11.3.11,26/09/1952,Século XIX,Espora,,77291,Umbelino Galvão de Moura Lacerda,"Par de esporas pertencentes a João Nunes da Silva, tesoureiro da Casa de Fundição que foi expulso, juntamente com outros portugueses, durante a revolta de agosto de 1831. Vide nota do doador no livro de registro dos bens doados ao Museu, 1954, em pct. “Acervo Museológico”. Vide a outra peça sob o nº 83.054/030.219.",Largura:,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/espora-2/,Não identificado,Ausência de inscrições,Metal,Doação,83.111/030.290,Umbelino Galvão de Moura Lacerda,"Hastes em curva trabalhadas em alto relevo, com bolotas de carvalho. Furos nas pontas. No centro da haste é fixado o suporte para a espora também trabalhada.",Localizado,Técnica em Metal > Fundição,Espora,5,,,,,
Artes Visuais,,Não identificado,Objetos Pessoais > Objeto de Adorno,12 Objetos Pessoais > 12.5 Objeto de Adorno,Acervo Museológico,19,12.5.19,1983,Não identificada,Cocar,,77431,Não identificada,Por falta de documentação foi registrada no ano de 1983.,Largura:,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/cocar-4/,Brasil > Goiás,Ausência de inscrições,Fibra > Fibra Vegetal | Pena,Doação,83.110/030.289,Não identificada,"Fibra vegetal fixando as penas de cores: branca, preta e azul.",Localizado,Técnica em Fibra Vegetal > Trançado,Cocar,25,Etnográfico,,,,
Artes Visuais,,Índios Carajás,Objetos Pessoais > Objeto de Adorno,12 Objetos Pessoais > 12.5 Objeto de Adorno,Acervo Museológico,20,12.5.18,29/09/1966,Século XX > 1960,Cocar,,77429,Não identificada,"Faz parte de um conjunto de 03 cocares comprados aos índios em Aruanã, por CR$ 4.000,00, em 29/09/1966. Vide doc. em pct. “Acervo Museológico”. Vide 83.076/030.247 e 83.077/030.248.",Largura:,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/cocar-3/,Brasil > Goiás,Ausência de inscrições,Madeira > Bambu | Fibra > Fibra Vegetal > Palha | Pena,Doação,83.109/030.288,"Aruanã, Goiás","Palha formando rede com penas presas por um pedaço de bambu amarrado com a rede. Um trançado de palha para amarrar no pescoço. Penas nas cores: branca, marrom e preta.",Localizado,Técnica em Fibra Vegetal > Trançado,Cocar,25,Etnográfico,,,,
Artes Visuais,,Índios Carajás,Objetos Pessoais > Objeto de Adorno,12 Objetos Pessoais > 12.5 Objeto de Adorno,Acervo Museológico,43 (fechado),12.5.17,29/09/1966,Século XX > 1960,Colar,,77427,Não identificada,"Faz parte de um conjunto de 03 colares comprados aos índios em Aruanã, por CR$ 5.400, em 29/09/1966. Vide doc. em pct. “Acervo Museológico”.",Largura:,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/colar-2/,Brasil > Goiás,Ausência de inscrições,Pena,Não identificado,83.108/030.287,"Aruanã, Goiás","Fio trançado fixando penas de cores: verde, amarela, azul, branca, rosa e marrom.",Localizado,Técnica em Fibra Vegetal > Trançado,Colar,,Etnográfico,,,,
Artes Visuais,,Não identificado,Objetos Pessoais > Objeto de Adorno,12 Objetos Pessoais > 12.5 Objeto de Adorno,Acervo Museológico,34,12.5.16,1983,Não identificada,Peitoral,,77425,Não identificada,Modo de aquisição sem registro. Por falta de documentação foi registrada no ano de 1983.,18,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/peitoral/,Brasil > Goiás,Ausência de inscrições,Algodão | Ornamento > Madrepérolas | Pena,Não identificado,83.107/030.286,Não identificada,"Adorno de penas, presas por madrepérolas. Fio de algodão trançado formando barbante para amarrar. Penas nas cores: rosa, branca, azul, amarela e marrom.",Localizado,Não identificada,Peitoral,,Etnográfico,,,,
Artes Visuais,,Índios Carajás,Objetos Pessoais > Objeto de Adorno,12 Objetos Pessoais > 12.5 Objeto de Adorno,Acervo Museológico,212,12.5.15,29/09/1966,Século XX > 1960,Faixa,,77423,Não identificada,"Faz parte de um conjunto de 02 cintos comprados aos índios em Aruanã, por CR$ 1.100,00, em 29/09/1966. Vide doc. em pct. “Acervo Museológico”.","8,5",http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/faixa-3/,Brasil > Goiás,Ausência de inscrições,Algodão,Não identificado,83.106/030.285,"Aruanã, Goiás","Faixa de fio de algodão bege e vermelho formando 06 listras, 02 finas e 04 com quadrados. Franja nas extremidades.",Localizado,Técnica em Tecido > Tecelagem,Faixa,,Etnográfico,,,,
Artes Visuais,,Não identificado,Objetos Pessoais > Objeto de Adorno,12 Objetos Pessoais > 12.5 Objeto de Adorno,Acervo Museológico,229,12.5.14,1983,Não identificada,Faixa,,77421,Não identificada,Modo de aquisição sem registro. Por falta de documentação foi registrada no ano de 1983.,8,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/faixa-2/,Não identificado,Ausência de inscrições,Algodão,Não identificado,83.105/030.284,Não identificada,"Faixa de fio de algodão branco com listras lilás, amarelo, roxo e rosa, com franjas nas extremidades.",Localizado,Técnica em Tecido > Tecelagem,Faixa,,Etnográfico,,,,
Artes Visuais,,Índios Carajás,Objetos Pessoais > Objeto de Adorno,12 Objetos Pessoais > 12.5 Objeto de Adorno,Acervo Museológico,224,12.5.13,29/09/1966,Século XX > 1960,Faixa,,77419,Não identificada,"Faz parte de um conjunto de 02 cintos comprados aos índios em Aruanã, por CR$ 1.100,00, em 29/09/1966. Vide doc. em pct. “Acervo Museológico”.",10,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/faixa/,Brasil > Goiás,Ausência de inscrições,Algodão,Não identificado,83.104/030.283,"Aruanã, Goiás","Faixa de fio de algodão bege com decoração marrom claro em duas faixas, motivo central com listras sobrepostas por “x”.",Localizado,Técnica em Tecido > Tecelagem,Faixa,,Etnográfico,,,,
Artes Visuais,,Não identificado,Objetos Pessoais > Peça de Indumentária,12 Objetos Pessoais > 12.8 Peça de Indumentária,Acervo Museológico,107,12.8.13,Déc. 1960,Século XIX | Século XX,Saia / Blusa / Peitilho,,77417,Maria Carlota Guedes,"Vide livro de registro dos bens doados ao museu, 1954, em pct. “Acervo Museológico”.",145,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/saia-blusa-peitilho/,Não identificado,Ausência de inscrições,Algodão,Doação,83.103/030.282,Maria Carlota Guedes,"Traje feminino branco em brocado. Saia: godê em nesgas (7), abotoamento atrás na cintura com colchetes. Na parte de trás, saindo da cintura pregas, formando calda. Blusa: com peitilho em pregas ladeando macho; gola de “padre”; mangas longas, bufantes com pregas. Na parte de trás abotoamento com colchetes. Corpo terminando em curva, moldando a cintura. Peitilho: sobreposto, contornado de renda, prendendo à cintura e gola c/ colchetes. Forro branco.",Localizado,Técnica em Tecido > Costura a Máquina | Técnica em Tecido > Renda,Saia / Blusa / Peitilho (conjunto),,,,,,
Artes Visuais,,Não identificado,Objetos Pessoais > Objeto de Adorno,12 Objetos Pessoais > 12.5 Objeto de Adorno,Acervo Museológico,35,12.5.12,Déc. 1960,Século XX,Adorno indígena,,77413,Não identificada,"Consta no Inventário de Lígia Martins Costa, 1963. Vide pct. Acervo Museológico.",3,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/adorno-indigena-5/,Não identificado,Ausência de inscrições,Madeira > Bambu > Lasca de Bambu | Pena,Não identificado,83.102.IV/030.281,Não identificada,"Lâmina retangular. Em uma extremidade decoração pintada em listras e com fio segurando pena. Na outra, mais afinada, haste arredondada para prender nos lábios.",Localizado,Técnica em Papel > Recorte,Adorno labial,,Etnográfico,,,,
Artes Visuais,,Não identificado,Objetos Pessoais > Objeto de Adorno,12 Objetos Pessoais > 12.5 Objeto de Adorno,Acervo Museológico,45,12.5.11,Déc. 1960,Século XX,Adorno indígena,,77411,Não identificada,"Consta no Inventário de Lígia Martins Costa, 1963. Vide pct. Acervo Museológico.",3,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/adorno-indigena-4/,Não identificado,Ausência de inscrições,Madeira > Bambu > Lasca de Bambu | Pena,Não identificado,83.102.III/030.280,Não identificada,"Lâmina retangular. Em uma extremidade decoração pintada em listras e com fio segurando pena. Na outra, mais afinada, haste arredondada para prender nos lábios.",Localizado,Técnica em Papel > Recorte,Adorno labial,,Etnográfico,,,,
Artes Visuais,,Não identificado,Objetos Pessoais > Objeto de Adorno,12 Objetos Pessoais > 12.5 Objeto de Adorno,Acervo Museológico,36,12.5.10,Déc. 1960,Século XX,Adorno indígena,,77409,Não identificada,"Consta no Inventário de Lígia Martins Costa, 1963. Vide pct. Acervo Museológico.",3,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/adorno-indigena-3/,Não identificado,Ausência de inscrições,Madeira > Bambu > Lasca de Bambu | Pena,Não identificado,83.102.II/030.279,Não identificada,"Lâmina retangular. Em uma extremidade decoração pintada em listras e com fio segurando pena. Na outra, mais afinada, haste arredondada para prender nos lábios.",Localizado,Técnica em Papel > Recorte,Adorno labial,,Etnográfico,,,,
Artes Visuais,,Não identificado,Transporte > Acessório de Transporte Terrestre,11 Transporte > 11.3 Acessório de Transporte Terrestre,Acervo Museológico,"7,5",11.3.10,1954,Não identificada,Passadeira,,77401,Francisco Assis Costa,Peça que serve para enfeitar o cavalo.,5,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/passadeira-3/,Não identificado,Brasão/Símbolo,Metal,Doação,83.100/030.274,Francisco Assis Costa,Passadeira retangular com motivos florais e Brasão da República. É a 1ª à dir.,Localizado,Técnica em Metal > Fundição,Passadeira de Loro,,História do Brasil | República,,,,
Artes Visuais,,Não identificado,Objetos Pessoais > Objeto de Adorno,12 Objetos Pessoais > 12.5 Objeto de Adorno,Acervo Museológico,46,12.5.09,Déc. 1960,Século XX,Adorno indígena,,77407,Não identificada,"Consta no Inventário de Lígia Martins Costa, 1963. Vide pct. Acervo Museológico.",3,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/adorno-indigena-2/,Não identificado,Ausência de inscrições,Madeira > Bambu > Lasca de Bambu | Pena,Não identificado,83.102.I/030.278,Não identificada,"Lâmina retangular. Em uma extremidade decoração pintada em listras e com fio segurando pena. Na outra, mais afinada, haste arredondada para prender nos lábios.",Localizado,Técnica em Papel > Recorte,Adorno labial,,Etnográfico,,,,
Artes Visuais,,Não identificado,Objetos Pessoais > Objeto de Adorno,12 Objetos Pessoais > 12.5 Objeto de Adorno,Acervo Museológico,35,12.5.08,Déc. 1960,Século XX,Adorno indígena,,77415,Não identificada,"Consta no Inventário de Lígia Martins Costa, 1963. Vide pct. Acervo Museológico.",2,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/adorno-indigena/,Não identificado,Ausência de inscrições,Madeira > Bambu > Lasca de Bambu | Pena,Doação,83.102/030.277,Não identificada,"Lâmina retangular. Em uma extremidade decoração pintada em listras e com fio segurando pena. Na outra, mais afinada, haste arredondada para prender nos lábios.",Localizado,Técnica em Papel > Recorte,Adorno labial,,Etnográfico,,,,
Artes Visuais,,Não identificado,Construção > Fragmento de Construção,04 Construção > 04.4 Fragmento de Construção,Acervo Museológico,45,04.04.34,1952,Século XVIII,Cartela,,77403,Igreja de Nossa Senhora do Pilar de Ouro Fino,,27,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/cartela-4/,Não identificado,Ausência de inscrições,Madeira,Doação,83.101.I/030.276,"Cidade de Goiás, Goiás | Igreja de Nossa Senhora do Pilar de Ouro Fino","Cartela de madeira, em forma de coração, frisos em voluta com plumas rosa e centro azul.",Localizado,Técnica em Madeira > Entalhe | Técnica em Pintura > Pintura,Cartela,,Arquitetura,,,,
Artes Visuais,,Não identificado,Construção > Fragmento de Construção,04 Construção > 04.4 Fragmento de Construção,Acervo Museológico,45,04.04.33,1952,Século XVIII,Cartela,,77405,Igreja de Nossa Senhora do Pilar de Ouro Fino,,27,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/cartela-3/,Não identificado,Ausência de inscrições,Madeira,Doação,83.101/030.275,"Cidade de Goiás, Goiás | Igreja de Nossa Senhora do Pilar de Ouro Fino","Cartela de madeira, em forma de coração, frisos em voluta com plumas rosa e centro azul.",Localizado,Técnica em Madeira > Entalhe | Técnica em Pintura > Pintura,Cartela,,Arquitetura,,,,
