Data de abertura,Data de fechamento,Descrição,Document,Link do Item,Local,Local no prédio,Nome da exposição
18 de agosto de 1994,12 de fevereiro de 1995,"São dezesete obras, óleo sobre  tela a maioria, sobre madeira ou cartão as demais, porém, produto, todas, das várias fases da brilhante trajetória do genial artista catarinense. São, na realidade, como mui apropriadamente se designa esta mostra, ESTUDOS, RETRATOS E FATOS.
Fatos, por que?
Porque, se recuarmos no tempo, poderemos, agora, com muita justiça, medir melhor o esforço realizado por Victor Meirelles, desde os primeiros - e, porque não confessar? - canhestros estudos da infância e adolescência, na então Vila de Nossa Senhora do Desterro,passada a Imperial Academia das Belas Artes, até os tempos de proveitosos e dedicados estudos em terras européia. As mudanças que se operam em seus trabalhos, com o passar dos anos, sobretudo na fase do aprendizado, indicam a busca de conscientização, diante da insatisfação com as repetições, os temas sovados, a nenhuma inventiva. Essa preocupação acompanha outra, a da criação. Existe, com efeito, profunda unidade entre as formas que inventa ou recria, não apenas invenção ou recriação de formas puramente plásticas: busca, sobretudo, a vida que se vai fazendo em torno de si, os aspectos que ela toma a sua volta, os objetos de uso, os trajes, as multidões que ela suscita e reune. Essas especulações, como claramente poderemos inferir do grupo de obras ora exposto, estão em íntima harmonia com as transformações que, pouco a pouco, vão sendo introduzidas no cotidiano das gentes, no ultimo quartel no século XIX.
Aqui se encontra o que é, genuinamente, Victor Meirelles: um artista na plena acepção da palavra. Pinturas, através das quais, se revela o conhecedor profundo dos meios, das técnicas e dos procedimentos que contribuem para fazer de suas obras - a par de sua criatividade inerente - objeto de fruição em tudo e por tudo perfeito, preciso, singular, nada lhes ficando por desejar.
Alcídio Mafra de Souza",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/estudos-retratos-e-fatos-2/,Museu Victor Meirelles,Sala de Exposições de Longa Duração - 1° andar,"Estudos, retratos e fatos"
19 de outubro de 2005,11 de novembro de 2005,"Em permeáveis, Rubens Mano apresenta a instalação “tudo entre nós” com um objeto criado a partir da fusão de duas lâmpadas. Também apresenta uma fotografia colorida inédita, intitulada “permeáveis”, na qual aparecem duas lâmpadas numa gambiarra. Rubens cria assim uma relação entre fotografia e objeto, deslocando uma especificidade de um lugar para outro, e entre a obra e o espaço do Museu. Fazem ainda parte da exposição uma mesa com banco onde os visitantes poderão fazer a leitura do texto “Encontro Informal” de Raquel Garbelotti.
O trabalho de Rubens enfoca as relações existentes entre os espaços e os fluxos das cidades e o modo como isto se insere no homem através das suas possibilidades de encontro. No trabalho “Detetor de ausências” realizado para o Arte/Cidade II, Rubens instalou dois cilindros que emitiam fachos de luz em ambos os lados do Viaduto do Chá, no Centro de São Paulo, atingindo o fluxo de pedestres. A superexposição da luz revelava assim uma ausência de volume e a projeção de uma sombra. No trabalho “vazadores” para a 25ª Bienal de São Paulo, ele criou uma passagem similar à entrada oficial da mostra que se assemelhava a um corredor com portas sem fechaduras ou maçanetas onde os visitantes poderiam ter livre acesso ao interior do pavilhão.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/permeaveis-de-rubens-mano/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"Permeáveis, de Rubens Mano"
14 de dezembro de 2016,11 de novembro de 2017,"As obras que compõem esta exposição fazem parte de um movimento de pensamento e de produção que se propôs a refletir e produzir a partir de um lugar específico, um lugar fronteiriço, ambíguo, complexo, cheio de afetos mas também de estranhamentos e tensões: a tríplice fronteira Brasil-Paraguai-Argentina. Estes trabalhos funcionam como fragmentos que desejam pensar cada um à sua maneira sobre este espaço múltiplo, sobre as relações que nele se dão ou podem se dar e sobre as potências e derivações poéticas da noção de fronteira, de estar à margem e no limite.
Rembe em guarani significa margem, borda, orla. Já a palavra Y significa água, rio; a fronteira seria então rembe’y, ou seja, a margem do rio. É interessante pensar que na tríplice fronteira todas as fronteiras são rios – a divisão entre os três países é estabelecida
no local onde o rio Iguaçu deságua no rio Paraná, formando um T que demarca as três margens. Essa relação entre água e fronteira permeia todos os trabalhos propostos para esta exposição, seja através da fluidez encontrada nas trocas fronteiriças e nas águas do rio, seja nas barreiras que muitas vezes o rio e a fronteira podem representar. A proximidade entre a água e a fronteira está presente nos dois vídeos propostos para a exposição: Evaporação e Inundação. Em Evaporação, filmado às margens do rio Paraná a partir da orla paraguaia, a névoa cria uma barreira opaca e não permite ver o outro lado. Aos poucos, a barreira se dissolve e deixa entrever o que está além-fronteira. Já em Inundação, a questão do alagamento das zonas fronteiriças entre Brasil e Paraguai desencadeou o processo de criação do vídeo. Um território imenso foi submerso nos anos 1970 com a construção da monumental barragem de Itaipu, causando um impacto ambiental e social profundo. Além de retirar pessoas de suas terras, isolar populações,
regiões geográficas e separar comunidades indígenas, a inundação silenciou as Setes quedas, consideradas pelo povo Guarani que habitava o local como a voz de Tupã, de Deus. No vídeo, falas fronteiriças tentam continuar a ressoar enquanto a água se impõe
como força silenciadora. A faixa sonora do vídeo foi composta a partir de sons coletados nas regiões de borda e de entrevistas com moradores da cidade fronteiriça de Ñacunday, no Paraguai.
Além de orla, rembe também pode significar lábios – nesse sentido, as aproximações entre os três países criam uma zona em que podem existir idiomas mesclados, atravessados – como o portunhol, o guarani paraguaio ou o jopara (mistura entre espanhol e guarani ou português e guarani). Esta escuta dos idiomas locais
possibilitou trabalhos que lidam com o falar fronteiriço, identificando neles uma potencia de mescla e variação, de criação de outros idiomas e espaços.
Na ação Como falar entre fronteiras, walkie-talkies foram instalados nas margens de cada um dos países, no ponto de maior aproximação entre elas – no caso, nos chamados Marcos das Três Fronteiras. Apesar das margens estarem próximas, não é possível atravessar de um país a outro, sendo necessário passar pelas alfândegas e pontos
de controle para entrar em outro território. Através da instalação temporária dos rádios de comunicação, a proposta foi transpor essa barreira e permitir a troca entre pessoas dos três países, criando um espaço em que pudessem reverberar estes múltiplos idiomas, promover encontros e conversas multilíngues e transfronteiriças.
A instalação sonora Triangulação parte da escuta, captação e edição da programação de três estações de rádio, localizadas na tríplice fronteira Brasil-Paraguai- Argentina. Três rádios posicionados triangularmente no espaço expositivo transmitem faixas sonoras distintas criadas a partir destas edições com a intenção de criar outras relações, diálogos e possibilidades entre as faixas, entre os diferentes idiomas e países. A triangulação de uma onda sonora tem como objetivo localizar a sua fonte, a sua origem pontual. Nesta instalação, porém, Triangulação busca gerar descompassos, aproximações e distanciamentos, divagações e deslocalizações, triangulando um sinal que parece não ter definições exatas.
Já em Sobre tornar-se (Jopara) essa imersão em um ambiente fronteiriço surge na forma de um pertencimento simultâneo a duas nacionalidades. Jopara é um termo de origem guarani que significa mistura, mescla. Sobre tornar-se (Jopara) reproduz as duas
certidões de nascimento da artista legalmente registradas e válidas. Em geral, estes documentos atestam o pertencimento a um único lugar e a uma nacionalidade específica, mas a obra aponta para a possibilidade de uma existência atravessada, simultânea, fluida,
fronteiriça.
A pesquisa a partir deste território decorreu ao longo de alguns anos e resultou em uma série de publicações de artistas, que estarão presentes na exposição para manuseio. Y/Rembe’y traz uma coletânea audiovisual e sonora, compreendendo dois vídeos e três
faixas sonoras. O cartão-postal Santa Lucía, Paraguay e os flipbooks (D)espacio foram dois trabalhos que deram início a esse interesse pela fronteira: o postal é feito a partir de um carimbo que traz um mapeamento de um lugar afetivo, contendo a imagem e o lema (despacio y con buena letra) da escola primária da vila de Santa Lucía, no Paraguai; e os flipbooks são desdobramento de quatro filmes em 35mm gravados nas regiões fronteiriças, colocando em movimento pequenas paisagens atravessadas. O DVD (D)espacio pirata fez parte de uma ação em que estes mesmos quatro filmes são
transformados em DVD pirata e inseridos em bancas de venda destes produtos na tríplice fronteira, comércio informal muito comum nessa região.
A tríplice fronteira está vibrando em muitas direções através das multiplicidades que habitam um mesmo ponto, sempre em processo, em descompasso. A exposição propõe um mergulho nesta fronteira, uma experimentação de habitar/ser/estar no entre, sempre à beira de tornar-se outro.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/y-rembey-de-fran-favero/,Museu Victor Meirelles,,"Y/Rembe’y, de Fran Favero"
29 de junho de 2011,11 de agosto de 2011,"Fotografar a pintura não é um ato simples e inocente, mesmo quando se trata de um convite para uma exposição, um cartaz ou livro. O mundo é muito heterogêneo e complexo, inventar uma nova dramaturgia para poder dar formas ao que sentimos e experimentamos, pode ser um passo para toda essa complexidade que se oferece (...) não podemos ser o tempo todo transparentes, precisamos nos proteger de muitas coisas, dos outros e de nós mesmos também. Por um lado uma imediatez do mundo sobre nós, e do outro a fabricação, a maneira de imaginar nossa vida no mundo, de fabricar quem somos, o que queremos, nossas ficções. As fotografias da arte tem a ver com esse lugar (...). Na fotografia olhamos a imagem de alguém que viveu uma experiência, que esteve olhando para o mundo, por isso a fotografia é uma dupla experiência. Não olho nada sem saber que estou olhando com o meu corpo, com minha história, com a minha cultura, com meu sentimento, com  minha vida. Tenho a sensação que os quadros me dizem: você viu? Mas ainda não viu nada… e como fotógrafo quero saber mais. Me interesso pela reconstrução crítica da tradição pictural. 
Zénon Piéters
Rosângela Cherem",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/o-espectador-fotografo-de-patricia-franca-huchet/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"O espectador fotógrafo, de Patricia Franca-Huchet"
24 de fevereiro de 1999,11 de abril de 1999,"Quando me propus a fazer este trabalho, concebido especialmente para a presente mostra, no Museu Victor Meirelles, tinha como objetivo preencher duas necessidades: uma, de atender a especificidade do museu; a outra, mais decisiva, a vontade própria de trabalhar minha visão poética, em relação às imagens da Ilha de Santa Catarina, que tenho tão vívidas e presente na minha memória.  
Durante o outono de 1998, numa Alemanha mergulhada em pleno inverno europeu, estes trabalhos começaram a serem desenvolvidos no meu atelier, na Faculdade de Belas Artes de Kassel, que fica dentro do Parque Kalrsaue. Lá dentro, a mais de 10.000 km da Ilha, eu me ocupava com imagens que estavam fortemente impregnadas na minha memória. Elas tinham que tomar forma e ter vida própria…imagens da Ilha, que eu em diversas ocasiões, havia registrado em inúmeras fotos - as quais eu já considerava como um referencial para um trabalho a ser desenvolvido numa oportunidade futura…. 
A memória insular compõe-se de uma série de 35 trabalhos, dos quais 16 estão sendo mostrados aqui.  Cada trabalho baseia-se numa foto, a pintura começa de forma realista, para pouco a pouco ser “destruída” por várias grossas camadas de tinta a óleo, abstraindo quase toda pintura original.  Com desenhos-traços-rabiscos tenta-se recuperar algo do motivo original, na busca de que o expectador mais sinta do que veja….
Em alguns trabalhos foi inserido um esquema de uma tomografia computadorizada, elemento que faz parte dos meus trabalhos anteriores, fazendo uma referência ao ser humano, mas no caso dos trabalhos apresentados no MVM, refere-se diretamente à memória.
As imagens aqui mostradas, de forma distorcidas, talvez seja uma oportunidade para os “insulanos” a ver sua própria realidade de uma outra forma, talvez como um forasteiro a vê. 
Talvez seja uma pequena declaração a Ilha....
José De Quadros",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/memoria-insular-de-jose-de-quadros/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"Memória Insular, de José de Quadros"
18 de outubro de 2000,10 de novembro de 2000,"Em sua fase atual Pedro Pires alia ao traço solto e preciso do seu desenho a investigação das possibilidades expressivas de processos e materiais, oriunda de suas experiências como gravador.
 O resultado são composições dinâmicas, quase musicais, onde a fluidez do traço, transparências e texturas estruturam-se em densas tramas compositivas. 
 Partindo da figura humana ou das vivências do Pântano do Sul onde tem seu atelier, o artista fragmenta, descontróe e reelabora signos gráficos intercalados com planos de cor.
 O caráter processual destas experimentações plásticas, sua inventividade e requintada elegância gráfica, inserem-nas no que está sendo produzido de melhor na arte sobre papel feita em Santa Catarina.

João Otávio Neves Filho – “Membro da ABCA”",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/pedro-pires/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Pedro Pires
18 de agosto de 2016,10 de novembro de 2016,"A exposição, com um conjunto de obras provindas do Museu Nacional de Belas Artes/IBRAM/MinC, do Rio de Janeiro, irá discutir um dos temas mais sedutores da arte brasileira no século XIX.  A Paisagem - por três importantes artistas do período: Manuel de Araújo Porto Alegre, Victor Meirelles e Agostinho da Motta. 
Através das obras expostas o público poderá conhecer trabalhos raríssimos da produção dos oitocentos no Brasil.
A partir de Araújo Porto Alegre, então Diretor da Academia Imperial das Belas Artes, Vitor e Agostinho, pensionistas do Império um diálogo é estabelecido.
Com obras do acervo do Museu Nacional de Belas Artes/IBRAM/MinC, a exposição irá revelar um dos capítulos formadores do ensino na Academia Imperial de Belas Artes do Rio de Janeiro, e o desenvolvimento para a   brasileira.
É mais uma parceria institucional Museu Victor Meirelles e Museu Nacional de Belas Artes que cumprem o papel social e político de compartilhar, divulgar e tornar acessível à comunidade um importante segmento do patrimônio artístico e museológico, bem como fomentar e reacender o interesse do público pela história da arte brasileira do século XIX. ",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/porto-alegre-victor-meirelles-e-agostinho-da-motta-paisagem-e-memoria/,Museu Victor Meirelles,,"Porto Alegre, Victor Meirelles e Agostinho da Motta: Paisagem e Memória"
5 de dezembro de 2011,10 de novembro de 2011,"O Museu Victor Meirelles dá início, nesta segunda-feira, dia 5 de dezembro, ao projeto Armazém. Com a proposta de fomentar intervenções experimentais e democratizar ainda mais o acesso dos artistas ao Programa de Exposições do Museu, o Armazém será realizado nos intervalos das exposições temporárias programadas ao longo do ano. 
As mostras ocorrerão no período de uma semana sendo que no último dia será programado um encontro com os artistas participantes, e com os curadores, para uma conversa com o público. Nesta primeira mostra do projeto Armazém, a conversa acontecerá no dia 10 de dezembro, sábado, a partir das 11h, quando será realizado o finissage.
Outra referência para o termo Armazém, escolhido para dar nome ao projeto, é o espaço físico em que se encontra a mostra, situado na parte inferior do Museu Victor Meirelles. A casa, um sobrado tipicamente luso-brasileiro do final do século XVIII, início do século XIX, também foi residência de Victor Meirelles (1832-1903) na infância, quando o andar superior era destinado à moradia e o térreo abrigava um pequeno comércio, disposição típica das moradias da época. Na verdade, neste espaço onde hoje está a Sala de Exposições Temporárias do Museu Victor Meirelles ficava o armazém do pai do artista, o português Antônio Meirelles de Lima.
A primeira intervenção, que abre neste dia 5, às 18 horas, é organizada pela artista e professora Juliana Crispe. A curadoria é intitulada Armazém, e desta primeira exposição organizada por Juliana tomamos emprestado o título Armazém para também dar nome ao projeto. Além das relações com o espaço físico do Museu, a mostra faz referência direta ao grupo Fluxus e ao texto de Arthur C. Danto, O Mundo como Armazém: Fluxus e Filosofia, no livro “O que é Fluxus? O que não é! O porquê”, publicado pelo Centro Cultural do Banco do Brasil/The Gilbert an Lila Silverman Collection Foundation, no ano de 2002.
Juliana pensou em obras de arte que criam relações com o público, como livro de artista, publicação de artista, caderno de artista, caderno de desenho, diário de artista, diário de bordo, postais, panfletos, cartazes, fanzines, lambe-lambe, stickers, adesivos, cartões, múltiplos, carimbos, objetos etc. A proposta não está no valor monetário da obra de arte, mas sim no valor subjetivo da arte. “Armazém é um espaço propositor de relações com a Arte e, por este motivo, tocar, experimentar, levar algo consigo e participar do jogo faz parte desta mostra”, avalia Juliana. Dentre os participantes encontram-se artistas que vivem e trabalham em Santa Catarina, Paraná, Rio Grande do Sul, São Paulo e Minas Gerais.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/armazem/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Armazém
27 de junho de 2012,9 de agosto de 2012,"“Sou uma pessoa que anda mais olhando pro chão do que pra frente. Até descobri uma angulagem que me permite olhar pro chão e pra frente ao mesmo tempo. Assim, continuo com minhas coletas sem parecer deprimido (ou sem ser surpreendido)”. A frase, extraída do Trabalho de Conclusão de Curso do artista Bil Lühmann, é uma pequena pista daquilo que estará sendo mostrado na sua exposição Tudo Começa com C que o Museu Victor Meirelles abre nesta quarta-feira, dia 27 de junho, às 19 horas.
 Tanto pela frase acima como pelo título da mostra, Tudo Começa com C, os trabalhos de Lühmann são um convite para que o visitante conheça o universo das coincidências, correlações e conexões propostas pelo artista através dos objetos coletados – e colecionados – por ele.
 Antes da abertura da mostra, às 18 horas, acontece o tradicional Encontro com o Artista, quando Bil conversará com o público sobre o seu trabalho e sua trajetória artística.
A exposição é constituída por quatro módulos: colas, bilhetes, botões e a publicação de artista intitulada Tudo Começa com C. Os três primeiros módulos são formados por coleções de objetos encontrados ou descartados.  São botões de roupas encontrados no chão, pela rua, que foram reunidos e dispostos no espaço expositivo do museu. Em seguida, uma série de pequenos papéis usados como colas em provas de química, física e trigonometria complementam o módulo bilhetes, encerrando o último bloco com a coleção de cerca de 200 bilhetes recolhidos ao longo dos anos, incluindo avisos, recados e listas diversas.
 Não há uma data certa de quando o artista começou a juntar objetos com o objetivo de iniciar essas coleções.  Mas por volta de 2006 Bil começa a guardar bilhetes que encontra, pensando em memórias paralelas ou perdidas, sendo que o ele só volta a mexer nessa coleção cinco anos mais tarde.
 O quarto trabalho, que dá título à exposição, é a publicação de artista Tudo Começa com C.  Nela o artista reúne uma série de desenhos e anotações, a maioria de dimensões reduzidas, que registram o processo de coletar, colecionar e classificar objetos. Além de comentar as coleções de bilhetes e botões, tem também um inventário das casas onde o artista já morou, das pessoas que conheceu, as coincidências numéricas, além de anotações sobre objetos, filmes e leituras diversas.
 Há ainda as coleções que não foram selecionadas para a exposição do Museu Victor Meirelles, sobre as quais Bil menciona: “Coleciono chaves encontradas na rua. Tenho cerca de 50 chaves. Também acabei ficando com uma coleção de band-aid’s, que era do meu irmão. Quando pequeno tive coleção de figurinhas, latas de bebidas, maços de cigarro e pontas quebradas de lápis de cor. Junto muitas coisas que encontro, independente de serem artigos de coleção”.
 Formado em Artes Plásticas pela Universidade do Estado de Santa Catarina, em 2011, Bil Lühmann já mostrava seus trabalhos pelo país afora, antes mesmo de concluir o curso de graduação. Entre as suas participações em mostras coletivas estão a Feira de Publicações, na Galeria Vermelho, em São Paulo; a Mostra de Vídeo Desvenda, que esteve em Porto Alegre e Recife; Faça Algo Errado, no Museu de Arte de Joinville e a Mostra Até 1/2 Quilo, que foi montada em Salvador, Goiás, Londrina, João Pessoa e também no Badesc, em Florianópolis.
 Com Tudo Começa com C, Lühmann faz a sua primeira exposição individual da carreira.
 “Quanto à escolha dos objetos, comecei com os botões, por exemplo, quando encontrei um na rua e fiquei pensando qual tinha sido o caminho que aquele botão já tinha percorrido, quem tinha sido dono dele, pra quem ele estava fazendo falta neste momento. Gosto das fabulações que são criadas com o possível passado do objeto,” revela Bil, nos convidando a fabular junto com ele.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/tudo-comeca-com-c-de-bil-luhmann/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"Tudo Começa com C, de Bil Lühmann"
20 de junho de 2007,9 de agosto de 2007,"A artista veio de Amsterdã, onde mora desde 1989, especialmente para montar a exposição no Museu Victor Meirelles, que contará com instalações e assemblages criadas com lixo que a artista coletou em Florianópolis, pinturas, e trabalhos em grafite. Uma das intenções da artista é “abrir” o olhar do espectador para a beleza inesperada de objetos cotidianamente rejeitados. Outra faceta das produções de Renata é a utilização de fotografias como forma de se referir a outros espaços, “acho muito interessante esse diálogo entre o real e a representação - as duas e três dimensões comentando sobre a mesma coisa”, diz a artista.
Os trabalhos realizados dentro e fora do museu, que dialogam com o espaço e entre si, são composições onde os objetos vêm e vão – da rua para o museu, do museu para a rua, do público ao privado e vice versa, “sendo essa a própria natureza do lixo” como diz Renata. ",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/gratis-de-renata-de-andrade/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"Grátis, de Renata de Andrade"
16 de novembro de 2017,9 de fevereiro de 2018,"Inaugurado em 15 de novembro de 1952, o Museu Victor Meirelles (MVM) comemora seus 65 anos de existência com a abertura da exposição “Acervo MVM em perspectiva”. A presente mostra tem por finalidade difundir e ampliar o acesso público ao acervo artístico e patrimonial do Museu, constituído pelas coleções “Victor Meirelles” - formada por 86 (oitenta e seis) obras, entre pinturas e desenhos, produzidas por Victor Meirelles e outros artistas a ele relacionados, a exemplo de Tommaso Minardi, seu professor na Itália, Léon Cogniet, seu professor na Academia de Belas Artes em Paris e de seis artistas que foram alunos de Meirelles, e a coleção “XX e XXI” – composta por obras de artistas modernos e contemporâneos, perfazendo até o presente um total de 122 (cento, vinte e duas) obras de arte inventariadas no Museu Victor Meirelles. 
Em processo permanente de formação, o acervo do Museu Victor Meirelles foi constituído a partir da cessão e transferência de obras do artista Victor Meirelles de Lima (1832 -1903), oriundas da coleção do Museu Nacional de Belas Artes, bem como de doações de instituições e colecionadores particulares, aquisições e generosas doações feitas, a partir de 1994, por artistas selecionados pelo edital de exposições temporárias do Museu Victor Meirelles.
O conjunto de obras que se apresenta nesta exposição é um recorte de um panorama singular temporal da produção artística acadêmica, moderna e contemporânea presente no acervo. As obras escolhidas representam a multiplicidade da linguagem das artes visuais, colocando lado a lado, obras de um dos maiores artistas brasileiros do século XIX, o pintor Victor Meirelles, e de artistas modernos e contemporâneos, reunindo pinturas, desenhos, gravuras, fotografias, objetos, vídeo-arte e outros suportes. 
Com isso, o MVM reafirma o seu compromisso social e político de compartilhar, divulgar e disponibilizar este acervo artístico e cultural, como forma de incentivar e fortalecer o interesse do público pela história da arte e pelo patrimônio, bem como de permitir a apropriação, a preservação e o conhecimento dessas coleções. 
Dessa forma, somos profundamente gratos a todos que tornaram possível a formação desse acervo e a sua atual exposição, que mostra não só os trabalhos do nosso patrono, mas também a evolução destas coleções que integram obras de outros artistas ao acervo do Museu Victor Meirelles. ",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/acervo-mvm-em-perspectiva/,Museu Victor Meirelles,"Sala de Exposições Temporárias - Térreo Sede Provisória: Rua Rafael Bandeira, 41",Acervo MVM em perspectiva
17 de junho de 2015,8 de agosto de 2015,"O humano e o animal: um encontro. O devir do homem à condição animal: uma metamorfose. A degeneração. A finitude. Aquilo que resta. Essas são algumas das questões que percorrem as fotografias e os objetos da exposição Ter as costas livres, de Julia Amaral. Neste dia 17 de junho de 2015, às 19h, a mostra será aberta ao público no Museu Victor Meirelles.
O programa da exposição inclui a “Conversa com a Artista”, que ocorrerá na abertura da exposição, às 18h; e também “A poética da espreita: Julia Amaral”, no dia 14 de julho, às 18h30, um encontro onde será discutida a trajetória da artista assim como os trabalhos presentes na exposição. Os convidados são Edélcio Mostaço, crítico, ensaísta e professor do Curso de Artes Cênicas do Centro de Artes da Udesc e Marina Moros, artista e professora, doutora pelo Programa de Pós-Graduação em Literatura da Universidade Federal de Santa Catarina e Pós-Doutora em Antropologia Visual pela mesma universidade.
A exposição Ter as costas livres faz parte do projeto Memória em trânsito que propõe estudar e divulgar as obras dos artistas catarinenses pertencentes ao acervo do Museu Victor Meirelles. Com isso, o Museu visa ampliar o entendimento da poética desses artistas, estimulando a elaboração de outros discursos sobre as obras desses artistas. A primeira exposição do projeto foi “Entorno”, de Fernando Lindote.
Durante a exposição, que estará aberta até o dia 8 de agosto, a obra “Pedras-grito”, 2002, de Julia Amaral, pertencente ao acervo do Museu Victor Meirelles, ocupará o espaço da alcova, que pertence ao núcleo de exposição de longa duração.

Fortuna crítica
“O que temos é a coisa em si, destacada de seu contexto, devolvida à condição de coisa mesma, sem nenhum dos artifícios que a tradição pictórica sugeriu como adequados para minimizar o impacto da brutal realidade do natural. Não há promessa, quimera ou projeto de futuro nesses animais duplamente mortos: mortos antes da arte, mortos depois da arte. Como num catálogo de taxidermia, os bichos estão alinhados como espécimes, como exemplos de formatos e cores, como variações da vida sobre o planeta, engrandecidos pela lente da câmera e, portanto, retirados de sua escala original de grandeza.” (Edélcio Mostaço, Julia Amaral e os oximoros, 2010).
“Um gato doméstico trouxe à casa, entre os dentes, um diminuto anfíbio (um sapo?) que caçou em suas andanças galantes e violentas; dirigiu o olhar para sua dona e depositou o animal diante dos seus pés, empurrando-o para mais próximo dela com a pata. Havia brincado, mas a imobilidade já o desinteressava. A dona recebeu o animal como um presente inadequado, jogou-o no lixo sorrateiramente para que o gato não se ofendesse com o gesto. De um animal para outro.” (Ana Lucia Vilela, Veludo negro ou como ocupar o espaço de um corpo insignificante, 2009)
“Pedras voam, pássaros nunca morrem, cogumelos viram preciosidades. A intervenção da artista sobre as coisas faz com que adquiram nova gravidade ainda que resguardem suas formas e continuem a responder pelos nomes de ‘pedra’, ‘pássaro’ e ‘cogumelo’”. (Fernando Boppré, O peso das coisas, 2007)
“Em seu Abecedário, Deleuze começa falando dos animais, logo na letra A. Diz não gostar da domesticação dos animais, da humanização que se atribui a animais domésticos. De considerar o animal como membro da família. Ele diz ser importante não ter uma relação humana com o animal e sim uma relação animal com o animal. É uma afirmação que Clarice Lispector também faz, quando fala que não humaniza os bichos, e vê isso como uma ofensa. Penso que esse é um ponto chave pras questões que meus trabalhos discutem. Não humanizar animais domésticos é difícil, um gato ou um cachorro. Não humanizar uma pulga, uma barata é mais fácil. A raposa que encontrei morta era do mato, totalmente selvagem. Se perdeu na dimensão grande de água da piscina e acabou caindo e se afogando. Talvez os bichos não tenham medo da morte. Nós, muitas vezes, temos. A leveza do corpo da raposa, da imagem que ficou registrada na fotografia parece sobrenatural. Mas de forma nenhuma é sobrenatural, justamente, ela é uma imagem também selvagem. De um animal para o outro. Deleuze define o animal como o ser à espreita, um ser, fundamentalmente, à espreita. Nunca está tranqüilo. Ele diz que o escritor e o filósofo estão também à espreita. Eu me arrisco a dizer que também os fotógrafos e os artistas.” (Julia Amaral, Bestiário, 2013).",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/ter-as-costas-livres-memoria-em-transito-julia-amaral/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Ter as costas livres - Memória em trânsito: Julia Amaral
22 de fevereiro de 2014,8 de maio de 2014,"A exposição celebra os 85 anos de Eli Heil e reúne desenhos realizados dos anos 60 aos 90. O uso do papel como suporte para os desenhos a lápis, a nanquim ou a caneta apresentam o modo peculiar da artista de ocupar a folha virgem. Encontramos desenhos em papéis de distintos tamanhos, gramaturas, técnicas e um deles em papelão duro que ela esfola com agulha, tesoura e estilete, mas não rompe. O papel resiste ao excesso de preenchimento e ficções elaboradas pela artista ao longo de 40 anos de sua trajetória. Esta exposição apresenta trabalhos em branco e preto, invadidos por azuis e amarelos que transbordam pela escala de cinzas.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/eli-heil-em-preto-branco/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Eli Heil em Preto & Branco
11 de outubro de 2006,7 de novembro de 2006,"A exposição traz, pela primeira vez a Santa Catarina, uma série de obras de Leonilson, presença marcante no país na década de 80, incluindo diversas linguagens como desenho, pintura, bordado, escultura e gravura. 
O bordado “Deserto”, de 1991, que intitula a mostra, é um pedaço de tecido fino e translúcido na cor de um forte alaranjado. Ricardo Resende, em seu texto de apresentação da mostra, aponta a noção de deserto, definido como um lugar sem paredes, mas ainda de clausura, para pensar a obra de Leonilson. Ricardo comenta ainda a influência do pensamento do semiólogo francês Roland Barthes, com o livro inspirador do tema da Bienal de São Paulo de 2006, “Como viver junto”, como possibilidade de se pensar a arte contemporânea e “comentar” as escolhas de trabalhos do artista plástico Leonilson, feitas para a esta exposição no Museu Victor Meirelles, em Florianópolis.
No encontro “O ‘José’ e o Projeto Leonilson”, Ricardo Resende pretende traçar um histórico do artista e abordar a forma como o Projeto Leonilson vem trabalhando para a permanência, circulação e valorização da obra de Leonilson. O projeto promove hoje uma importante política de divulgação, através do empréstimo de obras para exposições no Brasil e no exterior, doações ou mesmo facilitando a aquisição de obras por instituições museológicas brasileiras e internacionais. Estratégias fundamentais para a permanência do seu legado.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/deserto-de-leonilson/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"Deserto, de Leonilson"
