Altura (cm),Autor,Características Estilísticas,Características Iconográficas/Ornamentais,Características técnicas,Classificação,Data de produção,Denominação,Document,Largura (cm),Link do Item,Local de produção,Material,Número de registro,Profundidade (cm),Resumo Descritivo,Técnica,Dados históricos,Referências Bibliográficas/Arquivísticas,Temas,Diâmetro (cm),Título,Comprimento (cm),Conjunto com n°,Marcas/Inscrições,Espessura (cm),Peso (Kg)
"82,1",Não identificado,"Peça com características desenvolvidas na região de Minas Gerais, datável do final do século XVIII ou início do séc. XIX.","Ornatos: discos, estrangulamentos, bolas, losangos, frisos","Objeto confeccionado em madeira, com duas gavetas, pernas torneadas, com tampo dobrável.",05 Interiores > 05.5 Peça de Mobiliário,Século XIX | Século XVIII,Mesa [de aba e cancela],30840,,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/mesa-de-aba-e-cancela/,Brasil > Minas Gerais,Madeira | Metal,226,,"Mesa de aba e cancela, confeccionada em madeira clara (jacarandá mineiro), com tampo circular, pernas torneadas e duas gavetas, comumente identificada como “gate-leg table” (mesa com perna que se movimenta como portão). Tampo circular liso, composto por três tábuas, sendo duas delas dobráveis. Apresenta estrutura em caixa com duas gavetas almofadadas, dispostas nas extremidades da mesma, ornadas por losango central emoldurado por friso, contendo puxador circular em madeira mais escura. Gavetas com orifício para encaixe da chave (sem espelho de fechadura). Peça apoiada sobre quatro pernas, cada uma ornada com duas estruturas retangulares verticais, de secção quadrangular, que intercalam decoração em balaústre composta por discos, estrangulamentos e bola. Apresenta travejamento retangular com hastes com a mesma padronagem decorativa das pernas. Peça com dois prolongamentos em estrutura de madeira, que compõem as pernas laterais. Cada estrutura é composta por quatro hastes que se fecham para redução do tamanho da mesa. Movimentação das laterais do tampo feita através de dobradiças de ferro (dispostas duas de cada lado).",Fundição | Marcenaria,"Sobre mesa: ""Peça de mobiliário feita de madeira ou outro material sólido e resistente, e que consta de um tampo horizontal repousando sobre suportes e situado normalmente até 80 cm do chão (...) Mesa de aba e cancela. Mesa cujo tampo pode ser aumentado por duas abas laterais que abaixam e levantam por meio de dobradiças; tem quatro pernas fixas e duas móveis que giram como cancela e sustentam as abas. É originária da Holanda, passou à Inglaterra e daí a Portugal no séc. XVII. De várias dimensões, com tampos retangulares, redondos ou ovais, essas mesas aparecem no Brasil no século seguinte."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 245-246.",,160,,,,,,
"192,5",Não identificado,"Peça com características desenvolvidas na região de Minas Gerais, datável do final do séc. XVIII ou início do século XIX.","Ornatos: linhas sinuosas, estruturas retangulares, colchete","Objeto confeccionado em madeira, para encaixe no canto de parede, composto por duas portas, apoiado sobre pés recortados.",05 Interiores > 05.5 Peça de Mobiliário,Século XIX | Século XVIII,Armário [de canto],30836,"109,5",http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/armario-de-canto-2/,Brasil > Minas Gerais,Madeira,225,"67,5","Armário [de canto], de grandes dimensões, confeccionado em madeira clara, de formato triangular, contendo duas portas e apoiado sobre base. Objeto composto por cimalha com friso escalonado (não original) e por duas portas, fixadas por duas dobradiças em ferro e ornadas, na parte frontal, por duas estruturas retangulares almofadadas, estas dispostas verticalmente em cada folha de porta. Na parte superior, apresenta tramela de madeira para fechamento do móvel. Parte interna em madeira (cedro), composta por cinco prateleiras em formato triangular. Na parte frontal inferior, estrutura triangular vazada com recorte sinuoso, arrematado nas laterais por estruturas em colchete.",Marcenaria,"Sobre armário: "" Móvel de grande ou pequeno porte, com uma ou mais portas, e que se destina a guardar roupas, alimentos e objetos diversos (...). Os modelos portugueses feitos no Brasil em jacarandá ou vinhático têm em geral dois corpos da mesma largura ou portas com dois batentes, e alguns têm divisões e nichos. Os entablamentos são simples, e a base, com grossa moldura, se apóia em pés de garra ou em bolas; às vezes têm gavetas na parte inferior (...) Outros, sobretudo em Minas, têm moldura e almofadas pintadas em cores, ou decoração de motivos florais, ingênuos e campestres. Embora não tenha sido muito comum na época colonial, o armário, já no séc. XVIII era encontrado em fazendas, engenhos e casas senhoriais; pintado ou entalhado, sua feitura era, em geral, rústica."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 30-31.",,,,,,,,
"77,5",Não identificado,"Peça de manufatura singela, com características do estilo D. Maria I, datável do início do século XIX, com influência do estilo Sheraton.","Ornatos: quadrado, quadriculado, filetes simples, traços diagonais Sobre estilo Sheraton: ""Sheraton, Thomas (1751-1806). Expoente do Neoclássico no mobiliário inglês cujo nome designa um estilo elegante e delicado que marcou a arte da ebanistaria européia na última década do séc. XVIII (...) Nos móveis Sheraton, linhas sóbrias dominam as superfícies planas (pintadas ou incrustadas), com filetes claros, embutidos, retilíneos ou curvos e com painéis folheados, geométricos ou delicadamente figurativos, com coloridos contrastantes (...). Dada a penetração das modas e costumes ingleses em Portugal, o estilo Dona Maria I mostrou-se grandemente marcado pelo gosto Sheraton."" (1) Sobre estilo D. Maria I; ""Estilo decorativo luso-brasileiro que floresceu durante o reinado de D. Maria I de Portugal (1777-1792) e a regência de seu filho D. João (...). No estilo Dona Maria, o Neoclássico francês e o inglês foram se mesclando com elementos e Império; motivos pompeianos convivem evoluídos de modelos anteriores. O estilo se estende por duas décadas do séc. XIX, ou seja, pelo reinado de D. João VI e pelo de D. Pedro I no Brasil independente. Com a vinda da família real para o Brasil em 1808, adquirimos excelente acervo de peças Dona Maria, bem como mão-de-obra especializada no mobiliário, na ourivesaria, etc."" (2)","Objeto confeccionado em madeira, com uma gaveta, pernas retilíneas, com ornamentação em embutidos e pés retos.",05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Mesa de encostar,30832,"45,5",http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/mesa-de-encostar-8/,Brasil > Minas Gerais,Madeira,224,,"Mesa de encostar confeccionada em madeira clara, de linhas retilíneas, com ornamentação em embutidos, com uma gaveta retangular central contendo dois puxadores. Peça com tampo em formato retangular, ligeiramente saliente, ornado por frisos simples em madeira clara e escura, intercalando ornamentação em traços diagonais seriados. Apresenta estrutura em caixa, com gaveta contendo dois puxadores quadrados em madeira mais escura, ornados por quadriculado em madeira mais clara, na técnica da marchetaria, além de dupla de filetes claros que se cruzam nas quatro extremidades da gaveta. Peça apoiada sobre quatro pernas retilíneas, que se afinam para baixo, ornadas por dupla de filetes em madeira mais clara. Pés retos.",Marcenaria | Marchetaria,"Sobre mesa: "" Peça de mobiliário feita de madeira ou outro material sólido e resistente, e que consta de um tampo horizontal repousando sobre suportes e situado normalmente até 80 cm do chão (...) Mesa de encostar. Mesa cuja caixa tem três faces decoradas e é reta na parte de trás para ser posta de encontro à parede. No mobiliário luso-brasileiro do séc. XVIII, essas mesas, de jacarandá ou vinhático, têm pernas em curva e contracurva com joelheiras trabalhadas, avental recortado, não raro tampo arredondado na frente e dos lados, alargando para trás."" (3)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 348.||MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 119.||MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 245-246.",,,,"87,7",,,,
230,Não identificado,"Peça de manufatura singela, de linhas retilíneas, com características do estilo D. Maria I, datável do final do século XVIII ou início do século XIX, com influência do estilo Sheraton.","Ornatos: figura feminina, motivos florais e fitomorfos, medalhão, laço, frisos, linhas sinuosas, filetes","Objeto confeccionado em madeira, com cabeceira entalhada e quatro varais de dossel, apoiada sobre quatro pés, com ornamentação em marchetaria.",05 Interiores > 05.5 Peça de Mobiliário,Século XIX | Século XVIII,Leito [de casal],30828,"124,5",http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/leito-de-casal-3/,Brasil > Minas Gerais,Madeira | Metal,223,,"Leito [de casal] confeccionado em madeira (jacarandá mineiro), em estilo D. Maria I, com ornamentação em madeira mais clara (marchetaria) e quatro varais de dossel, apoiado sobre quatro pés. Móvel composto por cabeceira em três tábuas de madeira, arrematada por estrutura abaulada recortada. Cabeceira ornada ao centro por medalhão circular com o monograma “FIL” (?), em madeira mais clara, circundado por frisos simples que intercalam ornamentação seriada em linhas sinuosas. Medalhão ladeado por duas figuras femininas, contrapostas, cada uma delas com o rosto de perfil (voltado para o centro), com cabelos presos, trajando túnica cintada, contendo dois botões circulares na altura de cada coxa, além de tecido esvoaçante envolvendo o corpo e sendo segurado na extremidade por uma de suas mãos. Tem o outro braço estendido para cima, segurando o medalhão, além de pés descalços. Medalhão encimado por laço de fita e folhagens, emoldurado por série de flor-de-lótus e tendo folhagens na parte inferior. Conjunto apoiado sobre base escalonada ornada por volutas e por motivos fitomorfos.  Nas laterais e na parte superior da cabeceira, ornamentação em filetes, além de motivos florais e fitomorfos, além de laço, este último disposto na parte superior. Abaixo da cabeceira, travessa em tábua lisa. Móvel apoiado sobre quatro pés de secção quadrangular, que se prolongam compondo os quatro varais de sustentação do dossel (este inexistente), encimados por quatro bilros torneados. Cada uma das quatro faces do varal apresenta ornamentação em madeira mais clara (pau-cetim?), em série de flor-de-liz inseridas em emolduramento composto por filetes. Cabeceira fixada por quatro pequenas estruturas pontiagudas de metal (ferro) e travessas laterais fixadas por outras quatro estruturas no mesmo metal.",Fundição | Marcenaria | Marchetaria,"Sobre estilo Sheraton: ""Sheraton, Thomas (1751-1806). Expoente do Neoclássico no mobiliário inglês cujo nome designa um estilo elegante e delicado que marcou a arte da ebanistaria européia na última década do séc. XVIII (...) Nos móveis Sheraton, linhas sóbrias dominam as superfícies planas (pintadas ou incrustadas), com filetes claros, embutidos, retilíneos ou curvos e com painéis folheados, geométricos ou delicadamente figurativos, com coloridos contrastantes (...). Dada a penetração das modas e costumes ingleses em Portugal, o estilo Dona Maria I mostrou-se grandemente marcado pelo gosto Sheraton."" (1) Sobre estilo D. Maria I; ""Estilo decorativo luso-brasileiro que floresceu durante o reinado de D. Maria I de Portugal (1777-1792) e a regência de seu filho D. João (...). No estilo Dona Maria, o Neoclássico francês e o inglês foram se mesclando com elementos e Império; motivos pompeianos convivem evoluídos de modelos anteriores. O estilo se estende por duas décadas do séc. XIX, ou seja, pelo reinado de D. João VI e pelo de D. Pedro I no Brasil independente. Com a vinda da família real para o Brasil em 1808, adquirimos excelente acervo de peças Dona Maria, bem como mão-de-obra especializada no mobiliário, na ourivesaria, etc."" (2)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 348.||MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 119.",,,,207,,Monograma: “FIL” (?),,
"84,6",Não identificado,"Peça de manufatura singela, com características do estilo D. Maria I, datável do início do século XIX, com influência do estilo Sheraton.","Ornatos: filetes Sobre estilo Sheraton: ""Sheraton, Thomas (1751-1806). Expoente do Neoclássico no mobiliário inglês cujo nome designa um estilo elegante e delicado que marcou a arte da ebanistaria européia na última década do séc. XVIII (...) Nos móveis Sheraton, linhas sóbrias dominam as superfícies planas (pintadas ou incrustadas), com filetes claros, embutidos, retilíneos ou curvos e com painéis folheados, geométricos ou delicadamente figurativos, com coloridos contrastantes (...). Dada a penetração das modas e costumes ingleses em Portugal, o estilo Dona Maria I mostrou-se grandemente marcado pelo gosto Sheraton."" (1) Sobre estilo D. Maria I: ""Estilo decorativo luso-brasileiro que floresceu durante o reinado de D. Maria I de Portugal (1777-1792) e a regência de seu filho D. João (...). No estilo Dona Maria, o Neoclássico francês e o inglês foram se mesclando com elementos e Império; motivos pompeianos convivem evoluídos de modelos anteriores. O estilo se estende por duas décadas do séc. XIX, ou seja, pelo reinado de D. João VI e pelo de D. Pedro I no Brasil independente. Com a vinda da família real para o Brasil em 1808, adquirimos excelente acervo de peças Dona Maria, bem como mão-de-obra especializada no mobiliário, na ourivesaria, etc."" (2)","Objeto confeccionado em madeira, com uma gaveta, pernas retilíneas, com ornamentação em embutidos e pés retos.",05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Mesa de encostar,30824,50,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/mesa-de-encostar-7/,Brasil > Minas Gerais,Madeira,222,,"Mesa de encostar confeccionada em madeira clara, de linhas retilíneas, com ornamentação em embutidos, com uma gaveta retangular central. Peça com tampo em formato retangular, ligeiramente saliente, composto por tábua inteiriça, ornado por filetes em madeira clara. Apresenta estrutura em caixa, com as laterais e a parte posterior lisas, tendo, na parte frontal, gaveta com dois puxadores em madeira torneada em tom mais escuro, apresentando orifício para encaixe da chave (sem espelho de fechadura). Gaveta emoldurada por filetes em madeira mais clara. Peça apoiada sobre quatro pernas retilíneas, decoradas por filete em madeira mais clara. Pés retos.",Marcenaria | Marchetaria,"Sobre mesa: "" Peça de mobiliário feita de madeira ou outro material sólido e resistente, e que consta de um tampo horizontal repousando sobre suportes e situado normalmente até 80 cm do chão (...) Mesa de encostar. Mesa cuja caixa tem três faces decoradas e é reta na parte de trás para ser posta de encontro à parede. No mobiliário luso-brasileiro do séc. XVIII, essas mesas, de jacarandá ou vinhático, têm pernas em curva e contracurva com joelheiras trabalhadas, avental recortado, não raro tampo arredondado na frente e dos lados, alargando para trás."" (3)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 348.||MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 119.||MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 245-246.",,,,"89,7",,,,
"66,3",Não identificado,"Peça com características desenvolvidas na região de Minas Gerais, datável do séc. XIX.",Ornatos: friso,"Objeto confeccionado em madeira, de estrtuura retangular, com tampa fixada por dobradiças, tendo fechadura em metal, apoiada sobre quatro pés.",05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Arca,30820,53,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/arca-6/,Brasil > Minas Gerais,Madeira | Metal,221,,"Arca confeccionada em madeira, de estrutura retangular e linhas retilíneas, com tampa móvel, apoiada sobre quatro pés. Peça composta por caixa retangular com tampa em tábua lisa e inteiriça, emoldurada por friso e fixado à estrutura do móvel através de duas dobradiças externas em ferro batido. Na parte frontal da tampa, ao centro, contém vestígios de fechadura (alavanca), em ferro batido, para trancar o móvel. Apresenta corpo composto por quatro faces em tábua lisa, sendo três delas emolduradas por friso. Ao centro da face frontal, espelho de fechadura, em ferro batido, de formato retangular, fixada por quatro pregos em metal e com orifícios para encaixe da chave. Peça sustentada por quatro pés retos, de secção quadrangular. Parte posterior lisa. Apresenta a parte interna oca.",Fundição | Marcenaria,"Sobre arca: "" Móvel em forma de grande caixa, com tampa geralmente plana e retangular, e que se destina a guardar roupas, alfaias, valores, etc. Foi utilizada desde tempos muito recuados (conhecem-se arcas do antigo Egito), e sua presença é assinalada em diferentes regiões (...) Em Portugal, a arca teve papel primordial como “móvel de guarda”, tal como no resto da Europa. No séc. XVI foi influenciada pela arte moçárabe, decorada com filetes formando inscrustações geométricas, ou com as tradicionais e elaboradas ferragens; estas, mais tarde foram substituídas pelo metal amarelo rendilhado à maneira indo-portuguesa. No séc. XVII detacam-se as arcas entalhadas com tremidos, losangos, etc.; suas dimensões são maiores. A arca adapta-se ao Brasil colonial e segue os modelos portugueses; temos notáveis exemplares deste período, em especial os de jacarandá, com almofadas contornadas por molduras e tremidos, algumas dotadas de gavetões na parte de baixo."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 27.",,,,104,,,,
"78,8",Não identificado,"Peça de manufatura singela, com características do estilo D. Maria I, datável do início do século XIX, com influência do estilo Sheraton.","Ornatos: filetes, retângulos. Sobre estilo Sheraton: "" Sheraton, Thomas (1751-1806). Expoente do Neoclássico no mobiliário inglês cujo nome designa um estilo elegante e delicado que marcou a arte da ebanistaria européia na última década do séc. XVIII (...) Nos móveis Sheraton, linhas sóbrias dominam as superfícies planas (pintadas ou incrustadas), com filetes claros, embutidos, retilíneos ou curvos e com painéis folheados, geométricos ou delicadamente figurativos, com coloridos contrastantes (...). Dada a penetração das modas e costumes ingleses em Portugal, o estilo Dona Maria I mostrou-se grandemente marcado pelo gosto Sheraton."" (1) Sobre estilo D. Maria I: "" Estilo decorativo luso-brasileiro que floresceu durante o reinado de D. Maria I de Portugal (1777-1792) e a regência de seu filho D. João (...). No estilo Dona Maria, o Neoclássico francês e o inglês foram se mesclando com elementos e Império; motivos pompeianos convivem evoluídos de modelos anteriores. O estilo se estende por duas décadas do séc. XIX, ou seja, pelo reinado de D. João VI e pelo de D. Pedro I no Brasil independente. Com a vinda da família real para o Brasil em 1808, adquirimos excelente acervo de peças Dona Maria, bem como mão-de-obra especializada no mobiliário, na ourivesaria, etc."" (2)","Objeto confeccionado em madeira, com duas gavetas, pernas retilíneas, com ornamentação em embutidos e pés retos.",05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Mesa de encostar,30816,49,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/mesa-de-encostar-6/,Brasil > Minas Gerais,Madeira,220,,"Mesa de encostar confeccionada em madeira clara, de linhas retilíneas, com ornamentação em embutidos, contendo duas gavetas retangulares. Peça com tampo em formato retangular, composto por duas tábuas, saliente, contornado por filetes que intercalam ornamentação em dupla seriada de retângulos em madeira mais clara. Apresenta estrutura em caixa, com duas gavetas contendo quatro puxadores (dois em cada gaveta), em madeira mais escura. Parte frontal das gavetas ornada por dupla seriada de retângulos em madeira mais clara. Na gaveta direita do móvel, destaca-se orifício para encaixe da chave (sem espelho de fechadura). Peça apoiada sobre quatro pernas retilíneas, de secção quadrangular, que se afinam para baixo, ornadas por filetes em madeira mais clara. Pés retos.",Marcenaria | Marchetaria,"Sobre mesa: ""Peça de mobiliário feita de madeira ou outro material sólido e resistente, e que consta de um tampo horizontal repousando sobre suportes e situado normalmente até 80 cm do chão (...) Mesa de encostar. Mesa cuja caixa tem três faces decoradas e é reta na parte de trás para ser posta de encontro à parede. No mobiliário luso-brasileiro do séc. XVIII, essas mesas, de jacarandá ou vinhático, têm pernas em curva e contracurva com joelheiras trabalhadas, avental recortado, não raro tampo arredondado na frente e dos lados, alargando para trás."" (3)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 348.||MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 119.||MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 245-246.",,,,88,,,,
"79,7",Não identificado,"Peça com características desenvolvidas na região de Minas Gerais, datável do século XVIII ou XIX.","Ornatos: friso, pés de lira, volutas, bilro","Objeto confeccionado em madeira, com duas gavetas e pés de lira.",05 Interiores > 05.5 Peça de Mobiliário,Século XIX | Século XVIII,Mesa,30812,"86,5",http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/mesa-6/,Brasil > Minas Gerais,Madeira,219,,"Mesa confeccionada em madeira clara e escura, contendo duas gavetas, na parte frontal do móvel, e pés de lira. Peça com tampo em formato retangular, composto por tábua inteiriça, emoldurado por friso em meia-cana. Apresenta estrutura em caixa, com duas gavetas retangulares, contornadas por friso escalonado em madeira mais escura, contendo quatro puxadores em bilro (dois em cada gaveta), além de três pequenas estruturas verticais escalonadas que intercalam as duas gavetas. Laterais da caixa almofadadas, bem como as duas estruturas retangulares da parte posterior. Peça apoiada sobre quatro pernas com recorte sinuoso, tendo os pés de lira, arrematados por volutas. Apresenta travejamento composto por traves lisas, de secção quadrangular, estando as traves laterais ligeiramente mais elevadas que as traves frontal e posterior.",Marcenaria,"Sobre mesa: ""Peça de mobiliário feita de madeira ou outro material sólido e resistente, e que consta de um tampo horizontal repousando sobre suportes e situado normalmente até 80 cm do chão (...) Mesa mineira. Mesa com tampo de madeira leve emoldurado de jacarandá e que se prolonga nas cabeceiras, para além da caixa, com gavetas profundas lisas, almofadadas ou com outras decorações (espinhas de peixe, doce-de-leite, goivados). Os pés são fortes e ora retos (em cavalete), unidos por travessas. Esse tipo de mesa apareceu em Minas Gerais, São Paulo, Goiás, no séc. XVII, e foi fabricado até o séc.XIX. Em Minas, essa mesa, quando rústica, era conhecida como “Dona Maria pobre”."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 245-246.",,,,144,,,,
115,Não identificado,"Peça com características desenvolvidas na região de Minas Gerais, datável do século XVIII.","Ornatos: volutas, estruturas circulares, balaústre","Objeto confeccionado em madeira, com cabeceira e peseira entalhadas, apoiada sobre quatro pés.",05 Interiores > 05.5 Peça de Mobiliário,Século XVIII,Leito,30808,"131,3",http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/leito/,Brasil > Minas Gerais,Madeira,218,,"Leito [de viúvo?] confeccionado em madeira (jacarandá mineiro) torneada, composto por cabeceira e peseira recortadas, com ornatos em relevo, apoiada sobre quatro pés. Móvel com cabeceira recortada em curvas e contracurvas, ornada por seis volutas contrapostas, duas a duas, cercadas por estruturas circulares. Peça sustentada por quatro pés formados por hastes verticais torneadas. Apresenta na cabeceira, travessa horizontal, de secção quadrangular, intercalada por duas linhas formadas por seis estruturas em balaústre, com estrangulamento, discos e frisos. Peseira formada por duas travessas horizontais unidas por linha formada por seis estruturas em balaústre. Nas quatro extremidades do objeto, hastes verticais salientes, contendo orifício para encaixe do restante dos varais (inexistentes). Estrado formado por nove tábuas.",Marcenaria,,,,,,205,,,,
61,Não identificado,"Peça com características desenvolvidas na região de Minas Gerais, datável do final do século XVIII ou início do séc. XIX.","Ornatos: círculos, denticulados, estrela, frisos, bolacha","Objeto confeccionado em madeira, de estrutura retangular, com tampa fixada por dobradiças, apoiada sobre quatro pés.",05 Interiores > 05.5 Peça de Mobiliário,Século XVIII,Arca,30802,53,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/arca-5/,Brasil > Minas Gerais,Madeira | Metal,217,,"Arca confeccionada em madeira clara e escura, de estrutura retangular e linhas retilíneas, com tampa móvel, apoiada sobre quatro pés. Peça composta por caixa retangular com tampa em tábua lisa e inteiriça, emoldurada por friso e fixada à estrutura do móvel através de três dobradiças em ferro batido. Na parte frontal do móvel, orifício para encaixe da chave. Apresenta corpo composto por quatro faces em tábua lisa, sendo três delas emolduradas por friso espesso ornado internamente por círculos seriados. Peça apoiada sobre base escalonada e sustentada por quatro pés em bolacha (em madeira mais escura). Apresenta a parte interna oca, contendo compartimento em formato de caixa retangular, com tampa móvel, disposto à direita, ornado, ao centro, por estrela de seis pontas circundada por estrutura hexagonal e círculo. Extremidade da tampa com frisos e laterais denticuladas. Não possui espelho de fechadura.",Fundição | Marcenaria,"Sobre arca: "" Móvel em forma de grande caixa, com tampa geralmente plana e retangular, e que se destina a guardar roupas, alfaias, valores, etc. Foi utilizada desde tempos muito recuados (conhecem-se arcas do antigo Egito), e sua presença é assinalada em diferentes regiões (...) Em Portugal, a arca teve papel primordial como “móvel de guarda”, tal como no resto da Europa. No séc. XVI foi influenciada pela arte moçárabe, decorada com filetes formando inscrustações geométricas, ou com as tradicionais e elaboradas ferragens; estas, mais tarde foram substituídas pelo metal amarelo rendilhado à maneira indo-portuguesa. No séc. XVII detacam-se as arcas entalhadas com tremidos, losangos, etc.; suas dimensões são maiores. A arca adapta-se ao Brasil colonial e segue os modelos portugueses; temos notáveis exemplares deste período, em especial os de jacarandá, com almofadas contornadas por molduras e tremidos, algumas dotadas de gavetões na parte de baixo."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 27.",,,,116,,,,
"32,5",Não identificado,"Peça com características do estilo barroco, datável da segunda metade do século XVIII.","Ornatos: volutas, concheados, medalhões, flor-de-liz","Objeto confeccionado em madeira, de estrutura retangular delgada, com tampa fixada por dobradiças, tendo fechaduras em metal, apoiada sobre quatro pés.",05 Interiores > 05.5 Peça de Mobiliário,Século XVIII,Arca,30794,76,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/arca-4/,Brasil > [Minas Gerais?],Madeira | Metal,216,,"Arca confeccionada em madeira clara, recortada e entalhada, de estrutura retangular, com tampa móvel, apoiada sobre quatro pés. Peça composta por estrutura delgada, contendo tampa ligeiramente abaulada, fixada através de duas dobradiças longilíneas, em ferro batido, dispostas na parte interna do móvel. Na superfície do objeto, medalhão em relevo, emoldurado por volutas e concheados, contendo a seguinte inscrição incava: “ESTA (ladeada por duas flores-de-liz estilizadas)/ C. HE. DE V./ A. C. (ladeados por duas flores-de-liz)”. Apresenta tampa emoldurada por friso recortado em curva nas laterais, contendo três espelhos de fechadura recortados em ferro batido, sendo espelho central em dimensões maiores. Peça cercada por borda escalonada, com as laterais recortadas em curvas e ornadas, ao centro, por medalhão em relevo (disposto um de cada lado), cercado por voluta e concheado. Na parte inferior das laterais do móvel, ornato em volutas. Objeto sustentado sobre quatro pés em volutas, contendo decoração central em flor-de-liz estilizada. Parte interna oca e lisa, em madeira escura (jacarandá).",Entalhe | Fundição,"Sobre arca: "" Móvel em forma de grande caixa, com tampa geralmente plana e retangular, e que se destina a guardar roupas, alfaias, valores, etc. Foi utilizada desde tempos muito recuados (conhecem-se arcas do antigo Egito), e sua presença é assinalada em diferentes regiões (...) Em Portugal, a arca teve papel primordial como “móvel de guarda”, tal como no resto da Europa. No séc. XVI foi influenciada pela arte moçárabe, decorada com filetes formando inscrustações geométricas, ou com as tradicionais e elaboradas ferragens; estas, mais tarde foram substituídas pelo metal amarelo rendilhado à maneira indo-portuguesa. No séc. XVII detacam-se as arcas entalhadas com tremidos, losangos, etc.; suas dimensões são maiores. A arca adapta-se ao Brasil colonial e segue os modelos portugueses; temos notáveis exemplares deste período, em especial os de jacarandá, com almofadas contornadas por molduras e tremidos, algumas dotadas de gavetões na parte de baixo."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 27.",,,,80,,Na tampa do móvel: “ESTA/ C. HE. DE. V/ A. C.”,,
